sequence,global_trade,direction,first_booking,last_booking,entry_signal_label,entry_fill_bar_label,exit_signal_label,exit_fill_bar_label,entry_price,exit_price,fragment_start_price,fragment_end_price,inherited_at_peak,continues_after_trough,fragment_bars,full_trade_bars,fragment_log_pnl,fragment_geometric_pct,peak_nav_contribution_pp,cumulative_drawdown_pct,fragment_mfe_log_bp,fragment_giveback_log_bp,overnight_gap_log_bp,full_trade_log_pnl,full_trade_geometric_pct,full_trade_mfe_log_bp,entry_threshold_log_bp,observed_shape_not_causal_verdict
11,131,-1,2021-03-11 13:12:00,2021-03-11 13:12:00,2021-03-11 11:27:00,2021-03-11 13:07:00,2021-03-11 13:07:00,2021-03-11 13:12:00,1266.9400000000001,1272.7,1266.9400000000001,1272.7,False,False,1,1,-0.0045360837571494271,-0.45258112673843509,-0.43644938126222721,4.0008369624389246,0,45.360837571494272,0,-0.0045360837571494271,-0.45258112673843509,0,18.703458849176172,窗口内未获顺向开盘浮盈
12,132,1,2021-03-11 13:17:00,2021-03-11 14:27:00,2021-03-11 13:07:00,2021-03-11 13:12:00,2021-03-11 14:22:00,2021-03-11 14:27:00,1272.7,1258.6800000000001,1272.7,1258.6800000000001,False,False,15,15,-0.011077075236488435,-1.1015950341792877,-1.0575220128754559,5.0583589753143805,0,110.77075236488436,0,-0.011077075236488435,-1.1015950341792877,0,29.308666156578216,窗口内未获顺向开盘浮盈
13,133,-1,2021-03-11 14:32:00,2021-03-11 14:57:00,2021-03-11 14:22:00,2021-03-11 14:27:00,2021-03-11 14:52:00,2021-03-11 14:57:00,1258.6800000000001,1267.1800000000001,1258.6800000000001,1267.1800000000001,False,False,6,6,-0.0067304063458154808,-0.67078078883819592,-0.63685028860130943,5.6952092639156904,0,67.304063458154815,0,-0.0067304063458154808,-0.67078078883819592,0,28.612902612479381,窗口内未获顺向开盘浮盈
14,134,1,2021-03-12 09:37:00,2021-03-12 09:57:00,2021-03-11 14:52:00,2021-03-11 14:57:00,2021-03-12 09:52:00,2021-03-12 09:57:00,1267.1800000000001,1258.8199999999999,1267.1800000000001,1258.8199999999999,False,False,5,5,-0.0066191848958499023,-0.6597326346691077,-0.62215948054236136,6.3173687444580517,8.9134650486910179,75.105314007190046,-34.955392382488249,-0.0066191848958499023,-0.6597326346691077,8.9134650486910179,28.343314600968551,有顺向开盘浮盈但全部回吐并倒亏
15,135,-1,2021-03-12 10:02:00,2021-03-12 11:17:00,2021-03-12 09:52:00,2021-03-12 09:57:00,2021-03-12 11:12:00,2021-03-12 11:17:00,1258.8199999999999,1261.3199999999999,1258.8199999999999,1261.3199999999999,False,False,16,16,-0.001984017411784699,-0.19820505502171318,-0.18568371082583468,6.5030524552838864,60.077468454925054,79.917642572772053,0,-0.0019840174117846986,-0.19820505502171315,60.077468454925054,29.39252472484651,有顺向开盘浮盈但全部回吐并倒亏
16,136,1,2021-03-12 11:22:00,2021-03-15 09:42:00,2021-03-12 11:12:00,2021-03-12 11:17:00,2021-03-15 09:37:00,2021-03-15 09:42:00,1261.3199999999999,1237.3900000000001,1261.3199999999999,1237.3900000000001,False,False,27,27,-0.019154469020158556,-1.8972187866679635,-1.7738416537794399,8.2768941090633259,12.439537141951201,203.98422734353676,-93.9774883883738,-0.019154469020158556,-1.8972187866679635,12.439537141951201,29.910672597184575,有顺向开盘浮盈但全部回吐并倒亏
17,137,-1,2021-03-15 09:47:00,2021-03-16 09:37:00,2021-03-15 09:37:00,2021-03-15 09:42:00,2021-03-15 14:57:00,2021-03-16 09:37:00,1237.3900000000001,1227.04,1237.3900000000001,1227.04,False,False,45,45,0.0083995575865562829,0.84349328465253026,0.7736782386647767,7.5032158703985496,178.48807846927249,94.492502603709653,-32.243215030207061,0.0083995575865562812,0.84349328465253004,178.48807846927249,31.510176382015111,顺向开盘浮盈超过后续回吐
18,138,1,2021-03-16 09:42:00,2021-03-16 10:17:00,2021-03-15 14:57:00,2021-03-16 09:37:00,2021-03-16 10:12:00,2021-03-16 10:17:00,1227.04,1221.99,1227.04,1221.99,False,False,8,8,-0.0041240876245472709,-0.41155952536181767,-0.38067932573873087,7.8838951961372805,36.687736130693345,77.928612376166058,0,-0.0041240876245472709,-0.41155952536181767,36.687736130693345,33.013951532510937,有顺向开盘浮盈但全部回吐并倒亏
19,139,-1,2021-03-16 10:22:00,2021-03-16 11:07:00,2021-03-16 10:12:00,2021-03-16 10:17:00,2021-03-16 11:02:00,2021-03-16 11:07:00,1221.99,1220.9100000000001,1221.99,1220.9100000000001,False,False,10,10,0.00088419507172776083,0.088458608742642053,0.08148462473741569,7.8024105713998644,66.753126746241733,57.911176028964128,0,0.0008841950717277604,0.088458608742642011,66.753126746241733,21.302042522358512,顺向开盘浮盈超过后续回吐
20,140,1,2021-03-16 11:12:00,2021-03-16 14:37:00,2021-03-16 11:02:00,2021-03-16 11:07:00,2021-03-16 14:32:00,2021-03-16 14:37:00,1220.9100000000001,1219.9200000000001,1220.9100000000001,1219.9200000000001,False,False,23,23,-0.00081119951351688057,-0.081087058014105928,-0.074760312827581998,7.8771708842274464,14.48688453920766,22.598879674376469,0,-0.00081119951351688014,-0.081087058014105887,14.48688453920766,20.639190481347189,有顺向开盘浮盈但全部回吐并倒亏
21,141,-1,2021-03-16 14:42:00,2021-03-17 09:57:00,2021-03-16 14:32:00,2021-03-16 14:37:00,2021-03-17 09:52:00,2021-03-17 09:57:00,1219.9200000000001,1231.26,1219.9200000000001,1231.26,False,False,9,9,-0.0092527524739714415,-0.9210077481604465,-0.84845839398087763,8.7256292782083236,43.210805842833139,135.73833058254755,26.334695368095659,-0.0092527524739714415,-0.9210077481604465,43.210805842833139,20.082862783764501,有顺向开盘浮盈但全部回吐并倒亏
22,142,1,2021-03-17 10:02:00,2021-03-17 11:12:00,2021-03-17 09:52:00,2021-03-17 09:57:00,2021-03-17 11:07:00,2021-03-17 11:12:00,1231.26,1229.5,1231.26,1229.5,False,False,15,15,-0.001430452624480476,-0.14294300147813954,-0.13047032509000411,8.856099603298329,33.648634925875328,47.95316117068009,0,-0.0014304526244804765,-0.1429430014781396,33.648634925875328,21.826064072584657,有顺向开盘浮盈但全部回吐并倒亏
23,143,-1,2021-03-17 11:17:00,2021-03-17 13:52:00,2021-03-17 11:07:00,2021-03-17 11:12:00,2021-03-17 13:47:00,2021-03-17 13:52:00,1229.5,1233.8800000000001,1229.5,1233.8800000000001,False,False,13,13,-0.0035560933479335246,-0.35497779362662918,-0.32354060665347184,9.1796402099518009,5.6136127511968832,41.17454623053213,0,-0.0035560933479335246,-0.35497779362662918,5.6136127511968832,17.386324335959245,有顺向开盘浮盈但全部回吐并倒亏
24,144,1,2021-03-17 13:57:00,2021-03-18 10:27:00,2021-03-17 13:47:00,2021-03-17 13:52:00,2021-03-18 10:22:00,2021-03-18 10:27:00,1233.8800000000001,1242.75,1233.8800000000001,1242.75,False,False,24,24,0.0071629899706014922,0.71887055467307226,0.65288082417880311,8.5267593857729977,133.95788788155758,62.327988175542657,15.997288720757158,0.0071629899706014931,0.71887055467307237,133.95788788155758,17.179429037975389,顺向开盘浮盈超过后续回吐
25,145,-1,2021-03-18 10:32:00,2021-03-18 11:07:00,2021-03-18 10:22:00,2021-03-18 10:27:00,2021-03-18 11:02:00,2021-03-18 11:07:00,1242.75,1247.8399999999999,1242.75,1247.8399999999999,False,False,8,8,-0.0040873906074058849,-0.40790485959737999,-0.37312379369663917,8.8998831794696365,9.0163346659903727,49.890240740049222,0,-0.0040873906074058849,-0.40790485959737999,9.0163346659903727,16.251896681430374,有顺向开盘浮盈但全部回吐并倒亏
26,146,1,2021-03-18 11:12:00,2021-03-18 13:17:00,2021-03-18 11:02:00,2021-03-18 11:07:00,2021-03-18 13:12:00,2021-03-18 13:17:00,1247.8399999999999,1242.24,1247.8399999999999,1242.24,False,False,7,7,-0.0044978550415970212,-0.44877548403640022,-0.40883499021906466,9.3087181696887011,0,44.978550415970211,0,-0.0044978550415970212,-0.44877548403640022,0,15.990049371927716,窗口内未获顺向开盘浮盈
27,147,-1,2021-03-18 13:22:00,2021-03-18 14:47:00,2021-03-18 13:12:00,2021-03-18 13:17:00,2021-03-18 14:42:00,2021-03-18 14:47:00,1242.24,1242.9300000000001,1242.24,1242.9300000000001,False,False,18,18,-0.0005552940183009723,-0.055513987111124957,-0.050346346506191519,9.3590645161948931,27.084559021770943,32.637499204780667,0,-0.00055529401830097121,-0.055513987111124853,27.084559021770943,16.108328001078981,有顺向开盘浮盈但全部回吐并倒亏
28,148,1,2021-03-18 14:52:00,2021-03-19 09:47:00,2021-03-18 14:42:00,2021-03-18 14:47:00,2021-03-19 09:42:00,2021-03-19 09:47:00,1242.9300000000001,1237.5899999999999,1242.9300000000001,1237.5899999999999,False,False,5,5,-0.0043055554878188426,-0.42962998720765933,-0.3894206395239741,9.7484851557188676,0,43.055554878188424,-142.12005058604183,-0.0043055554878188426,-0.42962998720765933,0,16.05121575470648,窗口内未获顺向开盘浮盈
29,149,-1,2021-03-19 09:52:00,2021-03-19 10:32:00,2021-03-19 09:42:00,2021-03-19 09:47:00,2021-03-19 10:27:00,2021-03-19 10:32:00,1237.5899999999999,1241.2,1237.5899999999999,1241.2,False,False,9,9,-0.0029127135031524684,-0.29084756687077923,-0.26249433498860553,10.010979490707472,33.264972582417492,62.392107613942173,0,-0.002912713503152468,-0.29084756687077923,33.264972582417492,21.200454673070798,有顺向开盘浮盈但全部回吐并倒亏
30,150,1,2021-03-19 10:37:00,2021-03-19 11:27:00,2021-03-19 10:27:00,2021-03-19 10:32:00,2021-03-19 11:22:00,2021-03-19 11:27:00,1241.2,1237.0899999999999,1241.2,1237.0899999999999,False,False,11,11,-0.003316806159014181,-0.3311311633902882,-0.29798169053595336,10.308961181243426,1.9334257141391369,35.101487304280944,0,-0.003316806159014181,-0.3311311633902882,1.9334257141391369,18.59627402996351,有顺向开盘浮盈但全部回吐并倒亏
31,151,-1,2021-03-19 13:07:00,2021-03-19 14:42:00,2021-03-19 11:22:00,2021-03-19 11:27:00,2021-03-19 14:37:00,2021-03-19 14:42:00,1237.0899999999999,1229.1300000000001,1237.0899999999999,1229.1300000000001,False,False,20,20,0.0064552453886587624,0.64761253895032755,0.58085041370508073,9.7281107675383449,106.37663342939906,41.824179542811436,0,0.0064552453886587624,0.64761253895032755,106.37663342939906,18.865772909165788,顺向开盘浮盈超过后续回吐
32,152,1,2021-03-19 14:47:00,2021-03-22 10:32:00,2021-03-19 14:37:00,2021-03-19 14:42:00,2021-03-22 10:27:00,2021-03-22 10:32:00,1229.1300000000001,1238.1099999999999,1229.1300000000001,1238.1099999999999,False,False,15,15,0.0072794212594871942,0.73059806529820526,0.65952467624049715,9.0685860912978473,136.63920534296136,63.844992748089425,0.73156159984358149,0.0072794212594871942,0.73059806529820526,136.63920534296136,21.037671164756777,顺向开盘浮盈超过后续回吐
33,153,-1,2021-03-22 10:37:00,2021-03-22 11:22:00,2021-03-22 10:27:00,2021-03-22 10:32:00,2021-03-22 11:17:00,2021-03-22 11:22:00,1238.1099999999999,1241.0599999999999,1238.1099999999999,1241.0599999999999,False,False,10,10,-0.0023798298562012084,-0.23770003061899203,-0.2161439987032665,9.2847300900011138,25.474424124537538,49.272722686549628,0,-0.002379829856201208,-0.237700030618992,25.474424124537538,18.861848720704327,有顺向开盘浮盈但全部回吐并倒亏
34,154,1,2021-03-22 11:27:00,2021-03-23 10:37:00,2021-03-22 11:17:00,2021-03-22 11:22:00,2021-03-23 10:32:00,2021-03-23 10:37:00,1241.0599999999999,1247.22,1241.0599999999999,1247.22,False,False,37,37,0.0049512213932136322,0.49634989444507632,0.45026514644385118,8.8344649435572631,106.59629190375099,57.084077971614676,31.806233843090055,0.004951221393213634,0.49634989444507654,106.59629190375099,18.023094074664428,顺向开盘浮盈超过后续回吐
35,155,-1,2021-03-23 10:42:00,2021-03-24 09:47:00,2021-03-23 10:32:00,2021-03-23 10:37:00,2021-03-24 09:42:00,2021-03-24 09:47:00,1247.22,1241.02,1247.22,1241.02,False,False,36,36,0.00498345242525405,0.49958904771881529,0.45545302843623681,8.3790119151210263,106.96668529597463,57.132161043434124,20.967508056148379,0.00498345242525405,0.49958904771881529,106.96668529597463,14.877203725489393,顺向开盘浮盈超过后续回吐
