sequence,global_trade,direction,first_booking,last_booking,entry_signal_label,entry_fill_bar_label,exit_signal_label,exit_fill_bar_label,entry_price,exit_price,fragment_start_price,fragment_end_price,inherited_at_peak,continues_after_trough,fragment_bars,full_trade_bars,fragment_log_pnl,fragment_geometric_pct,peak_nav_contribution_pp,cumulative_drawdown_pct,fragment_mfe_log_bp,fragment_giveback_log_bp,overnight_gap_log_bp,full_trade_log_pnl,full_trade_geometric_pct,full_trade_mfe_log_bp,entry_threshold_log_bp,observed_shape_not_causal_verdict
1,1256,1,2022-10-24 09:50:00,2022-10-24 10:20:00,2022-10-21 14:45:00,2022-10-21 14:50:00,2022-10-24 10:15:00,2022-10-24 10:20:00,968.96000000000004,965.82000000000005,985.10000000000002,965.82000000000005,True,False,7,12,-0.019765677415440247,-1.9571617094711062,-1.9571617094711113,1.9571617094711113,0,197.65677415440248,0,-0.0032458499227814102,-0.32405878467634464,165.19827492658834,23.607658360134536,窗口内未获顺向开盘浮盈
2,1257,-1,2022-10-24 10:25:00,2022-10-24 10:40:00,2022-10-24 10:15:00,2022-10-24 10:20:00,2022-10-24 10:35:00,2022-10-24 10:40:00,965.82000000000005,977.89999999999998,965.82000000000005,977.89999999999998,False,False,4,4,-0.012429933872036159,-1.2353001329379074,-1.211123311738993,3.1682850212101044,0,124.29933872036159,0,-0.012429933872036159,-1.2353001329379074,0,31.247200294195519,窗口内未获顺向开盘浮盈
3,1258,1,2022-10-24 10:45:00,2022-10-24 13:30:00,2022-10-24 10:35:00,2022-10-24 10:40:00,2022-10-24 13:25:00,2022-10-24 13:30:00,977.89999999999998,970.48000000000002,977.89999999999998,970.48000000000002,False,False,16,16,-0.0076166208555655526,-0.75876879026485911,-0.73472883233728359,3.9030138535473879,21.145436329259024,97.311644884914543,0,-0.0076166208555655535,-0.75876879026485922,21.145436329259024,31.880985106778667,有顺向开盘浮盈但全部回吐并倒亏
4,1259,-1,2022-10-24 13:35:00,2022-10-24 14:40:00,2022-10-24 13:25:00,2022-10-24 13:30:00,2022-10-24 14:35:00,2022-10-24 14:40:00,970.48000000000002,970.84000000000003,970.48000000000002,970.84000000000003,False,False,14,14,-0.00037088167239481158,-0.037081290428922511,-0.035634002526407915,3.9386478560737959,90.466505968192664,94.175322692140767,0,-0.00037088167239481158,-0.037081290428922511,90.466505968192664,32.990349813431621,有顺向开盘浮盈但全部回吐并倒亏
5,1260,1,2022-10-24 14:45:00,2022-10-25 09:40:00,2022-10-24 14:35:00,2022-10-24 14:40:00,2022-10-25 09:35:00,2022-10-25 09:40:00,970.84000000000003,959.69000000000005,970.84000000000003,959.69000000000005,False,False,6,6,-0.011551360488656903,-1.1484899674508644,-1.1032549919706369,5.0419028480444332,28.080515877538069,143.59412076410709,-67.479013694618942,-0.011551360488656903,-1.1484899674508644,28.080515877538069,34.988343132788138,有顺向开盘浮盈但全部回吐并倒亏
6,1261,-1,2022-10-25 09:45:00,2022-10-25 09:55:00,2022-10-25 09:35:00,2022-10-25 09:40:00,2022-10-25 09:50:00,2022-10-25 09:55:00,959.69000000000005,975.92999999999995,959.69000000000005,975.92999999999995,False,False,3,3,-0.016780546883119116,-1.6640537743485653,-1.5801537997066961,6.6220566477511289,33.190720376818071,200.99618920800924,0,-0.016780546883119116,-1.6640537743485653,33.190720376818071,33.790203944215691,有顺向开盘浮盈但全部回吐并倒亏
7,1262,1,2022-10-25 10:00:00,2022-10-25 10:20:00,2022-10-25 09:50:00,2022-10-25 09:55:00,2022-10-25 10:15:00,2022-10-25 10:20:00,975.92999999999995,959.41999999999996,975.92999999999995,959.41999999999996,False,False,5,5,-0.017061927316529849,-1.6917196930107643,-1.5796930566184253,8.2017497043695542,0,170.61927316529849,0,-0.017061927316529849,-1.6917196930107643,0,39.552886234028435,窗口内未获顺向开盘浮盈
8,1263,-1,2022-10-25 10:25:00,2022-10-25 11:20:00,2022-10-25 10:15:00,2022-10-25 10:20:00,2022-10-25 11:15:00,2022-10-25 11:20:00,959.41999999999996,965.80999999999995,959.41999999999996,965.80999999999995,False,False,12,12,-0.006638192283429132,-0.6616208156883937,-0.60735633239362707,8.8091060367631808,27.972630130174039,94.35455296446537,0,-0.0066381922834291311,-0.6616208156883937,27.972630130174039,39.526956884149222,有顺向开盘浮盈但全部回吐并倒亏
9,1264,1,2022-10-25 11:25:00,2022-10-25 14:00:00,2022-10-25 11:15:00,2022-10-25 11:20:00,2022-10-25 13:55:00,2022-10-25 14:00:00,965.80999999999995,971.97000000000003,965.80999999999995,971.97000000000003,False,False,14,14,0.0063578122901789321,0.63780660792493948,0.58162154752334772,8.2274844892398331,163.49193969113563,99.913816789346299,0,0.0063578122901789321,0.63780660792493948,163.49193969113563,39.866237956722145,顺向开盘浮盈超过后续回吐
10,1265,-1,2022-10-25 14:05:00,2022-10-26 09:55:00,2022-10-25 13:55:00,2022-10-25 14:00:00,2022-10-26 09:50:00,2022-10-26 09:55:00,971.97000000000003,980.45000000000005,971.97000000000003,980.45000000000005,False,False,17,17,-0.0086867101589265146,-0.86490897037072678,-0.79374871898743038,9.0212332082272635,14.723221587757433,101.59032317702258,-11.52393916953327,-0.0086867101589265146,-0.86490897037072678,14.723221587757433,40.839078249413184,有顺向开盘浮盈但全部回吐并倒亏
