lookback,weight,slope_sd_per_sigma,entry_per_sigma,exit_per_sigma
1,0.06666666666666667,0.15974265755445574,0.5435935346037678,0.46887656360919455
2,0.13333333333333333,0.15872031915049542,0.5092869848846462,0.43061646161024414
3,0.2,0.15748522858265238,0.48666594111033507,0.4056550666592929
4,0.26666666666666666,0.1562143057529717,0.4692300912033001,0.3865897362221744
5,0.3333333333333333,0.15494249128274803,0.4547871181180062,0.3709291942644543
