year,slow_conflict,chop,bars,share,days_present,pnl_log,mean_pnl_bps,negative_log_sum,slow_log_pnl,work_log_pnl,residual_log_pnl,overnight_gap_log_pnl
all,False,False,33596,0.57748899889989,1203,2.124033283118557,0.6322280280743412,-24.651749832215526,3.775387306281975,6.401624282532568,-8.052978305695962,0.5140164069682942
all,False,True,4926,0.08467409240924093,511,0.28465989962727073,0.5778723094341671,-3.3428227054140462,0.398523264806233,1.1574535726767867,-1.2713169378557558,-0.03615138163095519
all,True,False,16743,0.2877990924092409,1057,0.6702811459899906,0.40033515259510877,-12.993039545901526,-1.5249255877881578,6.712437612575018,-4.517230878796866,0.017874939037147437
all,True,True,2911,0.050037816281628164,356,0.04420623684534167,0.15185928150237604,-2.1288228976786843,-0.2204744417469338,1.1571877542233382,-0.8925070756310663,-0.0011204005902988173
2021,False,False,6704,0.5747599451303155,240,0.4495777402159017,0.6706111876728844,-4.633449228327919,0.6531202603157147,1.3890603156187584,-1.5926028357185675,0.10296742159808317
2021,False,True,951,0.08153292181069959,102,-0.016488796282335808,-0.17338376742729555,-0.6629571668324765,0.07497004612834376,0.18057756724217305,-0.27203640965284653,0.0009105536388188673
2021,True,False,3358,0.28789437585733885,204,0.0338736077644656,0.10087435308060037,-2.275462506028373,-0.28043048168189666,1.1397078911270238,-0.8254038016806575,-0.00916241734901443
2021,True,True,651,0.05581275720164609,76,0.09777616685386649,1.5019380469103916,-0.3958423490901135,-0.0458309218584702,0.30379706721860217,-0.16018997850626382,0.0030497933876645986
2022,False,False,6881,0.5923725895316805,242,0.37594492997344453,0.5463521726107318,-5.3549628952028225,0.8468465571624133,1.3367709138613284,-1.8076725410502892,0.08486582331374039
2022,False,True,984,0.08471074380165289,98,0.11541890192070711,1.1729563203323894,-0.7440167575877812,0.08252234992734801,0.32558562058194307,-0.29268906858858756,-0.0350635175001425
2022,True,False,3219,0.27711776859504134,206,0.12461437143283093,0.38712137754840303,-2.58930323455163,-0.3125166804829554,1.4666248850794936,-1.0294938331637051,0.07320377005382309
2022,True,True,532,0.04579889807162534,66,-0.06188231440324816,-1.1632013985572962,-0.4387108780267075,-0.046554604675341074,0.20235277873537288,-0.21768048846328433,0.007102822692207276
2023,False,False,6622,0.5700757575757576,241,0.18370321019824776,0.2774134856512349,-3.7893372991292895,0.5603541066934514,0.8953931536392461,-1.2720440501344508,0.08512138571945971
2023,False,True,1056,0.09090909090909091,113,0.06397809176078179,0.6058531416740699,-0.5478391520720249,0.07019232380942103,0.21553971246181453,-0.22175394451045205,-0.004126629231891415
2023,True,False,3283,0.2826274104683196,212,0.058626360055562224,0.17857557129321422,-2.0186944258633766,-0.22415757762781185,1.0074235451616178,-0.7246396074782461,0.08727733414441619
2023,True,True,655,0.05638774104683195,73,-0.03221390829459236,-0.4918153938105703,-0.4072547699386426,-0.036953509578958266,0.17020172225150296,-0.16546212096713317,-0.0045711473438733875
2024,False,False,6684,0.5754132231404959,239,0.8469796319741009,1.2671747934980564,-5.44451395551573,0.9878266157906594,1.6113823352074546,-1.7522293190240124,0.24466887787565592
2024,False,True,971,0.08359159779614325,93,0.04322190559496489,0.44512776101920587,-0.6961562602500714,0.088357742230942,0.17770387571535506,-0.22283971235133987,0.031201053313479006
2024,True,False,3388,0.2916666666666667,218,0.2731865337657443,0.8063356958847234,-3.227502137677004,-0.3816876697627512,1.727590588677649,-1.0727163851491532,-0.06923630694964683
2024,True,True,573,0.04932851239669422,73,0.06314089651148086,1.1019353666925107,-0.4518780235240881,-0.04497040507514383,0.2638647675724695,-0.15575346598584755,0.030642393829420966
2025,False,False,6705,0.5748456790123457,241,0.26782777075686187,0.3994448482578104,-5.429486454039761,0.7272397663197365,1.1690175642057814,-1.6284295597686422,-0.0036071015386449495
2025,False,True,964,0.08264746227709191,105,0.07852979663315274,0.8146244464019993,-0.6918533686716919,0.08248080271017823,0.258046796675501,-0.26199780275252993,-0.029072841851219146
2025,True,False,3495,0.29963991769547327,217,0.17998027297138758,0.5149650156549002,-2.8820772417811433,-0.3261331782327429,1.3710907025292334,-0.8649772513251041,-0.06420744086243062
2025,True,True,500,0.042866941015089165,68,-0.02261460382216518,-0.4522920764433036,-0.4351368770991324,-0.04616500055902045,0.21697141844539064,-0.19342102170853748,-0.037344263155718274
