trading_day,pnl_log,open,slow_conflict,chop,slow_log_pnl,work_log_pnl,residual_log_pnl,overnight_gap_log_pnl
2021-01-04,0.01679552442454456,1423.48,0.20833333333333334,0.0,0.006105898909600421,0.014233278330559956,-0.003543652815613807,0.0042478726048080975
2021-01-05,-0.006614234793296691,1425.65,0.375,0.5416666666666666,0.0023232567413908334,-0.0008412863383528146,-0.008096205196334721,-0.006306231882028602
2021-01-06,-0.014585021007220372,1413.86,0.7083333333333334,0.25,-0.001290042651686682,0.003859376655929732,-0.017154355011463306,0.0034393060033412843
2021-01-07,0.006405798658335355,1380.98,0.2916666666666667,0.0,0.0016184886600459358,0.022134245865220815,-0.017346935866931736,-8.480805116176048e-05
2021-01-08,-0.034845297109675044,1378.04,0.3958333333333333,0.5,0.0008270601576194497,-0.001342728749442898,-0.0343296285178501,0.00015194874291661473
2021-01-11,0.0187644170370488,1392.16,0.1875,0.0625,0.0013307279537582706,0.03052702367676552,-0.013093334593476225,0.004782776682583848
2021-01-12,-0.01457106757948681,1405.17,0.16666666666666666,0.5416666666666666,0.0006637308112900503,-0.00210285040922812,-0.013131947981549826,-0.0008560751279082344
2021-01-13,-0.015034033815699522,1409.06,0.6041666666666666,0.5625,3.0609569631009914e-05,0.006999647576947127,-0.02206429096227859,-0.004862838755403347
2021-01-14,0.02964368236183832,1446.17,0.2916666666666667,0.3125,0.00250442575593552,0.05568952445657461,-0.028550267850671017,-0.0009667811917914944
2021-01-15,-0.005537740589272932,1447.21,0.3958333333333333,0.0,0.00307754126714143,0.010898772723571249,-0.019514054579984712,-0.002477460870442977
2021-01-18,-0.011753838766788776,1480.43,0.3125,0.3541666666666667,0.004611211690956213,0.017076871515402218,-0.03344192197314657,-0.0026008176796468887
2021-01-19,0.012374817130044444,1444.96,0.9166666666666666,0.0,-0.004405420095168384,0.026125147347788365,-0.009344910122575142,-0.0028381626960645133
2021-01-20,0.00603803917275323,1480.49,0.3125,0.14583333333333334,0.002792980771809058,0.017177266436685525,-0.013932208035742223,-0.004698347641752998
2021-01-21,-0.004040657170741225,1482.75,0.4375,0.1875,0.0014242090393924434,0.00966001926907584,-0.015124885479209033,0.0028310490412815064
2021-01-22,0.020271838127568432,1485.02,0.4791666666666667,0.0,0.0007323372459578613,0.02642013973615349,-0.006880638854542078,-0.00024958430851376045
2021-01-25,0.0017122650823080765,1498.7,0.2708333333333333,0.0,0.0020696463723977564,0.014736444703003351,-0.015093825993093519,-0.0030794653806254105
2021-01-26,-0.015089554461755975,1478.02,0.8125,0.0,-0.0008105115088863028,0.00838025478896322,-0.022659297741834,0.00040045385304548147
2021-01-27,0.0027933535184808816,1458.3,0.0,0.0,-0.00031018801536865023,0.019107737531616084,-0.01600419599776668,0.002054096413368121
2021-01-28,0.012576445488693081,1419.81,0.125,0.020833333333333332,0.0045970093768288225,0.016675310954886308,-0.008695874843022831,0.011704510174330779
2021-01-29,-0.006179110900829122,1420.97,0.3333333333333333,0.041666666666666664,0.0036301437556685336,0.01195664226641346,-0.021765896922908673,-0.009583988622946769
2021-02-01,0.00020014881840758262,1422.51,0.5,0.5208333333333334,0.000594308813118602,0.016577985752525906,-0.01697214574723671,-0.0019569615627624474
2021-02-02,-0.007570810905100205,1436.07,0.7708333333333334,0.4166666666666667,-0.0008217713519894018,0.008004874537363059,-0.014753914090473469,-0.0012459569609777818
2021-02-03,0.003182517719022701,1412.0,0.375,0.0,0.0015507718468122308,0.014341907138413428,-0.012710161266203543,-0.0014335124198991895
2021-02-04,0.015225390260606299,1392.65,0.3333333333333333,0.0,0.004428834218039683,0.030492938517105612,-0.019696382474540086,0.005732101149922316
2021-02-05,0.022104562341126403,1372.69,0.3958333333333333,0.0,0.00243157909491553,0.021103115368789956,-0.001430132122579253,0.0014479147543230945
2021-02-08,-0.0005279364493888663,1382.2,0.4583333333333333,0.0,0.0009769689160780207,0.011084962308636113,-0.012589867674102334,-0.0021528533611010927
2021-02-09,0.014666159360719288,1432.6,0.5625,0.0,0.0005865362624699957,0.019024667654337732,-0.004945044556088372,-0.0047554707070958935
2021-02-10,-0.010995465415789631,1438.21,0.08333333333333333,0.0,0.0028027369718507805,0.006252507945461269,-0.020050710333101823,-0.002040351984810423
2021-02-18,-0.004827983210617258,1429.36,0.6041666666666666,0.375,0.0005167937689663712,0.015708397840651867,-0.021053174820237518,0.014356925081458943
2021-02-19,0.01972658739878353,1426.37,0.2916666666666667,0.0,0.0011435254913194706,0.025662239556693417,-0.007079177649227809,0.0025491637984842086
2021-02-22,0.01362491312467891,1389.7,0.0,0.0,0.002000956043170868,0.020367475635197058,-0.008743518553688864,0.002552922032669523
2021-02-23,-0.0018284922410954096,1389.73,0.5833333333333334,0.0,-0.0010088000223056476,0.017746336865909457,-0.018566029084699412,0.013246377896072855
2021-02-24,-0.008262766309242815,1365.8,0.22916666666666666,0.0,0.004153090639721933,0.002902386460731786,-0.015318243409694884,-0.002291461898778497
2021-02-25,0.00023955561806788595,1350.92,0.25,0.0,0.004363605814436733,0.003332014526501309,-0.007456064722870387,0.005986555470281571
2021-02-26,-0.0004987640181342574,1327.96,0.375,0.0,0.003533053019346241,0.009058000380280873,-0.013089817417760649,0.02234135476698515
2021-03-01,-0.0018686548093674266,1358.73,0.8125,0.1875,-0.002382254007439355,0.00933228587002391,-0.008818686671951265,-0.01080450790041688
2021-03-02,0.006888749493541537,1351.67,0.3333333333333333,0.0,0.001344420009184652,0.017290508817457514,-0.011746179333100265,0.010903859904396662
2021-03-03,-0.008127523104032851,1358.73,0.6875,0.3958333333333333,-0.000528254734042416,-0.0003276605896514184,-0.007271607780340028,-0.0015025631516269978
