sample_minutes,ratio,cutoff_gain,cutoff_phase_delay_minutes,low_frequency_delay_minutes,low_frequency_delay_relative_error,single_sample_impulse_first_weight
30.0,4.0,0.7071067811865476,14.999999999999998,15.000000000000002,0.21460183660255172,0.49999999999999994
15.0,8.0,0.7071067811865475,14.999999999999998,18.106601717798213,0.0519405510314801,0.2928932188134525
5.0,24.0,0.7071067811865476,14.999999999999998,18.98938528181288,0.005718111707841977,0.11633650601051981
1.0,120.0,0.7071067811865466,14.999999999999977,19.094229648512805,0.00022847350459598292,0.025517716642560112
0.25,480.0,0.7071067811865523,15.000000000000135,19.09832046255302,1.4278982330306889e-05,0.006502518659224336
0.05,2400.0,0.7071067811865633,15.000000000000432,19.09858226271837,5.711577274469803e-07,0.0013072864516988415
0.016666666666666666,7200.0,0.707106781186545,14.999999999999936,19.09859195899322,6.346196335105247e-08,0.00043614203781285754
