minutes,symbol,class,count,rate,mean_abs_simple_bp,max_abs_simple_bp,squared_return_share,high_vol_capture,high_vol_squared_capture
1,000688.SH,large_and_unexpected,305,0.002642294031014468,55.29800217589826,302.85483854289924,0.10314435091064945,0.5901639344262295,0.8673245677065781
1,000688.SH,large_only,1886,0.0163389066966993,38.96670285146736,140.4711636948985,0.2500544207029578,0.9803817603393425,0.9886258137983356
1,000688.SH,ordinary,113102,0.9798319327731092,6.149003947913136,29.076877089054534,0.6404827176573186,0.4367650439426359,0.6611309302900452
1,000688.SH,unexpected_only,137,0.0011868664991769903,23.52373748363596,28.864992596804445,0.006318510729074215,0.0,0.0
1,000852.SH,large_and_unexpected,284,0.002460365589534783,44.40234846671159,129.47382377040145,0.0978626707347073,0.9330985915492958,0.9685715119677558
1,000852.SH,large_only,540,0.00467815992376332,36.65982706544331,79.58373565068706,0.11562114391422007,1.0,1.0
1,000852.SH,ordinary,114274,0.9899852724594993,4.701128743736987,29.041736335434056,0.7604805389919393,0.6485639778077253,0.8450876414852175
1,000852.SH,unexpected_only,332,0.002876202027202634,22.280502723717508,28.957808967201018,0.026035646359133233,0.3433734939759036,0.4585015452361085
5,000688.SH,large_and_unexpected,70,0.0031376064545047063,115.63933365752926,355.4573557771497,0.09650793727706171,0.5714285714285714,0.8383360519331234
5,000688.SH,large_only,426,0.019094576423128642,87.63830550873823,262.05918119173424,0.28997118741575156,0.9882629107981221,0.9943181236692119
5,000688.SH,ordinary,21764,0.9755266696548633,13.865392196241027,62.556797768246774,0.603569409251084,0.43746553942290023,0.6738458031609014
5,000688.SH,unexpected_only,50,0.0022411474675033617,48.93116017915422,62.2028526148996,0.009951466056102571,0.0,0.0
5,000852.SH,large_and_unexpected,55,0.002465262214253698,106.72686679402624,359.8609095266108,0.10763391550938743,0.8545454545454545,0.916054751049355
5,000852.SH,large_only,156,0.006992380098610489,83.56265689988467,173.96895121172236,0.15137580843140175,1.0,1.0
5,000852.SH,ordinary,22033,0.9875840430300313,11.610395469763935,62.301837699727386,0.7220201700699208,0.5258022057822357,0.763291717471346
5,000852.SH,unexpected_only,66,0.0029583146571044374,45.886510411104524,62.16970931034206,0.01897010598928999,0.09090909090909091,0.13499420505894993
