minutes,symbol,basis,events,rate,daily_fano,after5_rate,no_recent_rate,serial_risk_difference,high_vol_rate,low_vol_rate,vol_risk_difference,high_vol_time_share,high_vol_capture,high_vol_first_capture,first_events,subsequent_events,top_1pct_days_share,clusters,single_event_clusters,events_in_multi_event_clusters,max_cluster_events,after30_rate
1,000852.SH,raw,824,0.0071385255132981,13.608215317339322,0.1182170542635659,0.0040771271387113,0.1141399271248545,0.010728612743726,0.0,0.010728612743726,0.6500303214069133,0.9769417475728156,0.960698689956332,458,366,0.2160194174757281,458,337,487,18,0.0521239102207382
1,000852.SH,standardized,616,0.0053365676167374,2.218236825158313,0.0634980988593156,0.0039804964539007,0.0595176024054148,0.0050511108445617,0.0056377154996323,-0.0005866046550705,0.6500303214069133,0.6152597402597403,0.5968819599109132,449,167,0.0795454545454545,449,348,268,9,0.0224457560894504
1,000688.SH,raw,2191,0.0189812007277137,24.87058628272685,0.1566723527096181,0.0092478364515021,0.1474245162581159,0.039453216146846,0.0010979429715503,0.0383552731752957,0.4455340899246297,0.9260611592879964,0.8555667001003009,997,1194,0.1798265632131447,997,646,1545,43,0.0783524027459954
1,000688.SH,standardized,442,0.0038291605301914,2.4919879585655,0.0478887744593202,0.0030752150007049,0.0448135594586153,0.0035000388893209,0.0050699131333354,-0.0015698742440144,0.4455340899246297,0.4072398190045249,0.3381088825214899,349,93,0.1131221719457013,349,296,146,14,0.0177463255307566
5,000852.SH,raw,211,0.0094576423128641,5.92313266225373,0.2115384615384615,0.0075558772961722,0.2039825842422892,0.0172121417670001,0.0,0.0172121417670001,0.528641864634693,0.962085308056872,0.9580838323353292,167,44,0.3127962085308057,167,136,75,5,0.1231527093596059
5,000852.SH,standardized,121,0.0054235768713581,1.331773785943583,0.0916666666666666,0.0049571879224876,0.086709478744179,0.0044938104120739,0.0084839542604205,-0.0039901438483465,0.528641864634693,0.4380165289256198,0.4272727272727272,110,11,0.1322314049586777,110,99,22,2,0.0308943089430894
5,000688.SH,raw,496,0.0222321828776333,7.436200346574248,0.2385892116182572,0.0174546454095656,0.2211345662086915,0.04618312963334,0.0012156998957971,0.0449674297375428,0.4474226804123711,0.9294354838709676,0.9081364829396326,381,115,0.2036290322580645,381,316,180,7,0.1453423120089786
5,000688.SH,standardized,120,0.005378753922008,1.1382575757575757,0.017094017094017,0.0053169918442752,0.0117770252497418,0.00400721298337,0.0083362278568947,-0.0043290148735246,0.4474226804123711,0.3333333333333333,0.3305084745762712,118,2,0.1166666666666666,118,116,4,2,0.0139318885448916
