minutes,symbol,basis,forecast,event_rate,mean_prediction,brier,log_loss
1,000852.SH,raw,constant,0.0071385255132981,0.0017598409496783,0.007116497214429,0.0470251429361235
1,000852.SH,raw,clock_only,0.0071385255132981,0.0024413611598485,0.007023248993478,0.0417227226250353
1,000852.SH,raw,volatility_and_recent_tail,0.0071385255132981,0.004565490864552,0.0067509367078715,0.0351903089914534
1,000852.SH,standardized,constant,0.0053365676167374,0.0051061395042392,0.0053081417599244,0.0332546317119888
1,000852.SH,standardized,clock_only,0.0053365676167374,0.0057830824637547,0.0051662684560582,0.0272065842345481
1,000852.SH,standardized,volatility_and_recent_tail,0.0053365676167374,0.0050250104387857,0.0052299218807602,0.0307842272592418
1,000688.SH,raw,constant,0.0189812007277137,0.0082501574898715,0.0187360700356204,0.099189877791219
1,000688.SH,raw,clock_only,0.0189812007277137,0.0089227998891864,0.0183149733982053,0.0984349976363039
1,000688.SH,raw,volatility_and_recent_tail,0.0189812007277137,0.0122786449198156,0.0174156357276766,0.0757617254304719
1,000688.SH,standardized,constant,0.0038291605301914,0.0049038589353106,0.0038156530364874,0.0252595511740563
1,000688.SH,standardized,clock_only,0.0038291605301914,0.0055810785852802,0.0037847926384826,0.0216542910733706
1,000688.SH,standardized,volatility_and_recent_tail,0.0038291605301914,0.004559455951134,0.0037794419806878,0.0237284209240066
5,000852.SH,raw,constant,0.0094576423128641,0.0021379660915587,0.0094217729747308,0.060264655301548
5,000852.SH,raw,clock_only,0.0094576423128641,0.0028069756330625,0.0093619479665558,0.0564367780719351
5,000852.SH,raw,volatility_and_recent_tail,0.0094576423128641,0.0042961445446074,0.0090028866039267,0.0480677810015295
5,000852.SH,standardized,constant,0.0054235768713581,0.0046497024788446,0.0053947605668539,0.0337650404273934
5,000852.SH,standardized,clock_only,0.0054235768713581,0.0053153368370759,0.0053276568812022,0.0310217577916033
5,000852.SH,standardized,volatility_and_recent_tail,0.0054235768713581,0.0046938460616557,0.0053783687869168,0.0330462276764946
5,000688.SH,raw,constant,0.0222321828776333,0.0079089794575845,0.0219430670783409,0.1153622405707951
5,000688.SH,raw,clock_only,0.0222321828776333,0.0085702341137123,0.0216694145627413,0.1165141287974824
5,000688.SH,raw,volatility_and_recent_tail,0.0222321828776333,0.0102923583177663,0.0211700421549492,0.0961925211681005
5,000688.SH,standardized,constant,0.005378753922008,0.0053972430702987,0.0053498232701031,0.0334698893372676
5,000688.SH,standardized,clock_only,0.005378753922008,0.0060618729096989,0.0052838604929544,0.0305073032943103
5,000688.SH,standardized,volatility_and_recent_tail,0.005378753922008,0.005130674106074,0.0053570997244613,0.0334514543461342
