trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped
0,0,32,2021-01-04 09:35:00,2021-01-04 13:45:00,1.0,33,0.019153775498002044,0.022987232515263797,-0.0010925113751891454,0.003833457017261753,False,False,True
1,33,42,2021-01-04 13:50:00,2021-01-04 14:35:00,-1.0,10,-0.0027657862641396022,0.0004299817147799622,-0.003243569359707102,0.0031957679789195643,False,True,False
2,43,50,2021-01-04 14:40:00,2021-01-05 09:45:00,1.0,8,-0.0029560832337064,0.0006042168900840994,-0.006854558445317174,0.0035603001237904993,False,True,False
3,51,54,2021-01-05 09:50:00,2021-01-05 10:05:00,-1.0,4,-0.0031458185535045338,0.00020443338538870832,-0.0031458185535045338,0.003350251938893242,False,True,False
4,55,60,2021-01-05 10:10:00,2021-01-05 10:35:00,1.0,6,-0.0031246726573937117,0.0023511340133039304,-0.0031246726573937117,0.005475806670697642,False,True,False
5,61,74,2021-01-05 10:40:00,2021-01-05 13:15:00,-1.0,14,-0.0009229349986010158,0.0046912288153605685,-0.0014439113482023994,0.005614163813961584,False,True,False
6,75,102,2021-01-05 13:20:00,2021-01-06 10:05:00,1.0,28,-0.0023124657795046363,0.007038353892188664,-0.0023124657795046363,0.0093508196716933,False,True,False
7,103,109,2021-01-06 10:10:00,2021-01-06 10:40:00,-1.0,7,-0.003677692133521188,0.002091459696293513,-0.0037761415552102114,0.005769151829814701,False,True,False
8,110,113,2021-01-06 10:45:00,2021-01-06 11:00:00,1.0,4,-0.005076224608939229,7.032200448727787e-05,-0.005076224608939229,0.005146546613426507,False,True,False
9,114,140,2021-01-06 11:05:00,2021-01-06 14:45:00,-1.0,27,0.0005373303296705206,0.004335144068702547,-0.001920714644177739,0.0037978137390320263,False,False,False
10,141,148,2021-01-06 14:50:00,2021-01-07 09:55:00,1.0,8,-0.006164560994291727,0.0006221455738478949,-0.006164560994291727,0.006786706568139622,False,True,False
11,149,168,2021-01-07 10:00:00,2021-01-07 13:05:00,-1.0,20,0.01027799441423265,0.014174977927038254,0.0,0.0038969835128056032,False,False,False
12,169,172,2021-01-07 13:10:00,2021-01-07 13:25:00,1.0,4,-0.0043590006589723455,0.0004671940054142052,-0.0043590006589723455,0.004826194664386551,False,True,False
13,173,186,2021-01-07 13:30:00,2021-01-07 14:35:00,-1.0,14,0.004689985219201536,0.009985351792624282,0.0,0.005295366573422746,False,False,False
14,187,194,2021-01-07 14:40:00,2021-01-08 09:45:00,1.0,8,-0.007938977443076202,0.0026950874466114792,-0.007938977443076202,0.010634064889687682,False,True,False
15,195,204,2021-01-08 09:50:00,2021-01-08 10:35:00,-1.0,10,-0.008381412000805092,0.0,-0.008381412000805092,0.008381412000805092,True,False,False
16,205,212,2021-01-08 10:40:00,2021-01-08 11:15:00,1.0,8,-0.0026793607350697884,0.0037925439549130724,-0.0026793607350697884,0.006471904689982861,False,True,False
17,213,222,2021-01-08 11:20:00,2021-01-08 13:35:00,-1.0,10,-0.004751119645419849,0.004087303374443547,-0.004751119645419849,0.008838423019863397,False,True,False
18,223,230,2021-01-08 13:40:00,2021-01-08 14:15:00,1.0,8,-0.005202015626994053,0.0,-0.006213634776827183,0.005202015626994053,True,False,False
19,231,236,2021-01-08 14:20:00,2021-01-08 14:45:00,-1.0,6,-0.003224520750271922,0.0023596081182808044,-0.003224520750271922,0.005584128868552727,False,True,False
20,237,263,2021-01-08 14:50:00,2021-01-11 11:30:00,1.0,27,0.012272391603583982,0.01940916183234385,-0.0008196692042076448,0.007136770228759869,False,False,False
21,264,282,2021-01-11 13:05:00,2021-01-11 14:35:00,-1.0,19,0.0042850594739218635,0.013034009025585781,0.0,0.008748949551663918,False,False,False
22,283,290,2021-01-11 14:40:00,2021-01-12 09:45:00,1.0,8,-0.0041012465722110834,0.0025144052673060943,-0.0041012465722110834,0.006615651839517178,False,True,False
23,291,294,2021-01-12 09:50:00,2021-01-12 10:05:00,-1.0,4,-0.0076196463875409185,0.0,-0.0076196463875409185,0.0076196463875409185,True,False,False
24,295,311,2021-01-12 10:10:00,2021-01-12 11:30:00,1.0,17,0.0022553089844917357,0.005197453729316073,0.0,0.0029421447448243375,False,False,False
25,312,317,2021-01-12 13:05:00,2021-01-12 13:30:00,-1.0,6,-0.003270100088801427,0.0,-0.003270100088801427,0.003270100088801427,True,False,False
26,318,327,2021-01-12 13:35:00,2021-01-12 14:20:00,1.0,10,0.0005985975892783772,0.0033731164964281857,-0.0007558848847775829,0.0027745189071498085,False,False,False
27,328,337,2021-01-12 14:25:00,2021-01-13 09:40:00,-1.0,10,-0.00625665610127293,0.0009907306914058635,-0.00625665610127293,0.007247386792678794,False,True,False
28,338,343,2021-01-13 09:45:00,2021-01-13 10:10:00,1.0,6,-0.004960922584754369,0.0011957365285873022,-0.004960922584754369,0.006156659113341671,False,True,False
29,344,356,2021-01-13 10:15:00,2021-01-13 11:15:00,-1.0,13,-0.004281050317891574,0.0027500925717392774,-0.004281050317891574,0.007031142889630851,False,True,False
30,357,361,2021-01-13 11:20:00,2021-01-13 13:10:00,1.0,5,-0.006039952988499547,0.0,-0.006039952988499547,0.006039952988499547,True,False,False
31,362,375,2021-01-13 13:15:00,2021-01-13 14:20:00,-1.0,14,0.0005917434145156835,0.009467000899245619,-0.002768694895679316,0.008875257484729934,False,False,False
32,376,389,2021-01-13 14:25:00,2021-01-14 10:00:00,1.0,14,0.0016246725726231977,0.012543837008415961,-0.0005635511001073964,0.010919164435792763,False,False,False
33,390,395,2021-01-14 10:05:00,2021-01-14 10:30:00,-1.0,6,-0.009432060032729814,0.0028449115625938564,-0.009432060032729814,0.01227697159532367,False,True,False
34,396,417,2021-01-14 10:35:00,2021-01-14 13:50:00,1.0,22,0.031061222582317662,0.040987588330302534,0.0,0.009926365747984871,False,False,False
35,418,435,2021-01-14 13:55:00,2021-01-15 09:50:00,-1.0,18,0.0026907227435060475,0.01167786043570855,-0.002758509423869304,0.008987137692202503,False,False,False
36,436,454,2021-01-15 09:55:00,2021-01-15 11:25:00,1.0,19,-0.0036539756991517394,0.003674826809916418,-0.0060514140697463855,0.007328802509068158,False,True,False
37,455,469,2021-01-15 11:30:00,2021-01-15 14:10:00,-1.0,15,0.005436933391670382,0.01472296760453582,0.0,0.009286034212865439,False,False,False
38,470,481,2021-01-15 14:15:00,2021-01-18 09:40:00,1.0,12,-0.004972874499927991,0.0057465277223754194,-0.004972874499927991,0.010719402222303411,False,True,False
39,482,485,2021-01-18 09:45:00,2021-01-18 10:00:00,-1.0,4,-0.017075813441667826,0.0,-0.017075813441667826,0.017075813441667826,True,False,False
40,486,516,2021-01-18 10:05:00,2021-01-18 14:05:00,1.0,31,0.011688012317593342,0.020813862893397664,-0.0016897269331399565,0.009125850575804322,False,False,False
41,517,557,2021-01-18 14:10:00,2021-01-19 13:30:00,-1.0,41,0.00957815564013112,0.014850882072806862,-0.004899443366893459,0.005272726432675743,False,False,False
42,558,561,2021-01-19 13:35:00,2021-01-19 13:50:00,1.0,4,-0.005938064733719192,0.0007840864942251565,-0.005938064733719192,0.006722151227944348,False,True,False
43,562,578,2021-01-19 13:55:00,2021-01-20 09:45:00,-1.0,17,0.003415963484849656,0.009597029107509737,-0.001062958072098001,0.006181065622660081,False,False,False
44,579,598,2021-01-20 09:50:00,2021-01-20 11:25:00,1.0,20,0.008971989491569307,0.018242854913380954,-0.002040015318403128,0.009270865421811646,False,False,False
45,599,610,2021-01-20 11:30:00,2021-01-20 13:55:00,-1.0,12,-0.00395657146121554,0.0016526333208985349,-0.00395657146121554,0.0056092047821140745,False,True,False
46,611,628,2021-01-20 14:00:00,2021-01-21 09:55:00,1.0,18,-0.0008227123452733808,0.009672040228807337,-0.0008227123452733808,0.010494752574080718,False,True,False
47,629,636,2021-01-21 10:00:00,2021-01-21 10:35:00,-1.0,8,-0.004790769645247585,0.00022449361477989874,-0.004790769645247585,0.005015263260027484,False,True,False
48,637,658,2021-01-21 10:40:00,2021-01-21 13:55:00,1.0,22,0.005757829962884196,0.009928882499462449,-0.002596110006619263,0.004171052536578253,False,False,False
49,659,694,2021-01-21 14:00:00,2021-01-22 11:25:00,-1.0,36,0.011378797065870954,0.018936626930965258,-0.0014460540384585705,0.007557829865094304,False,False,False
50,695,722,2021-01-22 11:30:00,2021-01-25 09:45:00,1.0,28,0.004984425533614269,0.011109532895899984,-0.0010216801395470955,0.006125107362285716,False,False,False
51,723,728,2021-01-25 09:50:00,2021-01-25 10:15:00,-1.0,6,-0.008733915581753628,0.0023057735910153665,-0.008733915581753628,0.011039689172768995,False,True,False
52,729,754,2021-01-25 10:20:00,2021-01-25 13:55:00,1.0,26,0.011357423037380973,0.014697961955195266,0.0,0.003340538917814292,False,False,False
53,755,773,2021-01-25 14:00:00,2021-01-26 10:00:00,-1.0,19,-0.0018771127169181449,0.010015330110745332,-0.002638891341154589,0.011892442827663477,False,True,False
54,774,778,2021-01-26 10:05:00,2021-01-26 10:25:00,1.0,5,-0.011101452036992034,0.0,-0.011101452036992034,0.011101452036992034,True,False,False
55,779,811,2021-01-26 10:30:00,2021-01-26 14:40:00,-1.0,33,0.006284826580574445,0.012853716750460997,-0.001847674531686507,0.006568890169886552,False,False,False
56,812,818,2021-01-26 14:45:00,2021-01-27 09:45:00,1.0,7,-0.006161732329527185,0.0,-0.006161732329527185,0.006161732329527185,True,False,False
57,819,828,2021-01-27 09:50:00,2021-01-27 10:35:00,-1.0,10,0.011038151695729807,0.021117936991902737,0.0,0.01007978529617293,False,False,False
58,829,856,2021-01-27 10:40:00,2021-01-27 14:25:00,1.0,28,-0.002548262070833652,0.0045582798558185,-0.002548262070833652,0.007106541926652152,False,True,False
59,857,869,2021-01-27 14:30:00,2021-01-28 10:00:00,-1.0,13,-0.003227160361604747,0.008731025541090539,-0.004494574629703145,0.011958185902695286,False,True,False
60,870,875,2021-01-28 10:05:00,2021-01-28 10:30:00,1.0,6,-0.0070859342024082,0.001849201603598278,-0.0070859342024082,0.008935135806006477,False,True,False
61,876,914,2021-01-28 10:35:00,2021-01-29 09:45:00,-1.0,39,0.015873293924455592,0.019964055364617886,-0.003549243396013632,0.004090761440162294,False,False,False
62,915,919,2021-01-29 09:50:00,2021-01-29 10:10:00,1.0,5,-0.003077055201426003,0.003605928826977687,-0.003077055201426003,0.00668298402840369,False,True,False
63,920,930,2021-01-29 10:15:00,2021-01-29 11:05:00,-1.0,11,-0.005263170044274783,0.005531541695055315,-0.005263170044274783,0.010794711739330097,False,True,False
64,931,939,2021-01-29 11:10:00,2021-01-29 13:20:00,1.0,9,-0.002684264333075125,0.007343052419343575,-0.002684264333075125,0.0100273167524187,False,True,False
65,940,957,2021-01-29 13:25:00,2021-01-29 14:50:00,-1.0,18,0.0058560374564227986,0.016779522738142517,0.0,0.010923485281719719,False,False,False
66,958,972,2021-01-29 14:55:00,2021-02-01 10:35:00,1.0,15,0.006634725301589308,0.014701509977371942,0.0,0.008066784675782633,False,False,False
67,973,987,2021-02-01 10:40:00,2021-02-01 13:20:00,-1.0,15,0.0037939244428461818,0.009228797149574745,0.0,0.005434872706728563,False,False,False
68,988,996,2021-02-01 13:25:00,2021-02-01 14:05:00,1.0,9,-0.004946644998953392,0.0,-0.004946644998953392,0.004946644998953392,True,False,False
69,997,1005,2021-02-01 14:10:00,2021-02-01 14:50:00,-1.0,9,-0.0042354399694153715,0.00028300151594676015,-0.0042354399694153715,0.004518441485362131,False,True,False
70,1006,1010,2021-02-01 14:55:00,2021-02-02 09:45:00,1.0,5,-0.0024826159197135623,0.00203368670402714,-0.002623858857801249,0.004516302623740702,False,True,False
71,1011,1013,2021-02-02 09:50:00,2021-02-02 10:00:00,-1.0,3,-0.005443809593835181,0.0,-0.005443809593835181,0.005443809593835181,True,False,False
72,1014,1025,2021-02-02 10:05:00,2021-02-02 11:00:00,1.0,12,0.002350045451792695,0.006538350209131811,0.0,0.004188304757339115,False,False,False
73,1026,1033,2021-02-02 11:05:00,2021-02-02 13:10:00,-1.0,8,-0.0030852454014391726,0.0023149295165286097,-0.0030852454014391726,0.005400174917967782,False,True,False
74,1034,1062,2021-02-02 13:15:00,2021-02-03 10:05:00,1.0,29,-0.0014749729174983726,0.006239270416198806,-0.0014749729174983726,0.007714243333697178,False,True,False
75,1063,1077,2021-02-03 10:10:00,2021-02-03 11:20:00,-1.0,15,-0.0005804622180685566,0.0048175291010526256,-0.0008181446754261133,0.005397991319121182,False,True,False
76,1078,1088,2021-02-03 11:25:00,2021-02-03 13:45:00,1.0,11,-0.002260805403375279,0.004074718000797985,-0.002260805403375279,0.0063355234041732635,False,True,False
77,1089,1125,2021-02-03 13:50:00,2021-02-04 11:20:00,-1.0,37,0.03203355235594043,0.038355543892614696,-0.00013313013490336796,0.0063219915366742666,False,False,False
78,1126,1128,2021-02-04 11:25:00,2021-02-04 13:05:00,1.0,3,-0.007021241328440809,0.0,-0.007021241328440809,0.007021241328440809,True,False,False
79,1129,1138,2021-02-04 13:10:00,2021-02-04 13:55:00,-1.0,10,-0.006898231643081863,0.0034377964831877076,-0.006898231643081863,0.010336028126269572,False,True,False
80,1139,1170,2021-02-04 14:00:00,2021-02-05 11:05:00,1.0,32,0.011568807261780374,0.016620404116658376,0.0,0.005051596854878002,False,False,False
