year,feature,outcome,rho,n_days
2021,eff_1d,pnl_log,0.39562540456728235,243
2021,eff_1d,capture,0.4022448361742947,243
2021,eff_5d,pnl_log,0.06623947706908462,243
2021,eff_5d,capture,0.06021801054091169,243
2021,eff_20d,pnl_log,-0.06971352872992216,243
2021,eff_20d,capture,-0.06478010775079826,243
2021,rv_1d,pnl_log,0.03747108441594283,243
2021,rv_1d,capture,-0.0040678351656990505,243
2021,rv_5d,pnl_log,-0.058484329969675224,243
2021,rv_5d,capture,-0.10224450164837645,243
2021,rv_20d,pnl_log,-0.01039288396466737,243
2021,rv_20d,capture,-0.050518431541779776,243
2021,rv_ratio_1_20,pnl_log,0.043465788870657225,243
2021,rv_ratio_1_20,capture,0.018209082044154074,243
2021,drift_disagree_1_20,pnl_log,-0.10332440022000453,243
2021,drift_disagree_1_20,capture,-0.08618302506829871,243
2021,acf1_5d,pnl_log,0.029833021387914584,243
2021,acf1_5d,capture,0.008906752572922469,243
2021,acf3_5d,pnl_log,0.06906789370773474,243
2021,acf3_5d,capture,0.0921702536208249,243
2021,acf12_5d,pnl_log,0.07408578248121218,243
2021,acf12_5d,capture,0.08632943108849715,243
2021,fast_share_1d,pnl_log,-0.20173418236011378,243
2021,fast_share_1d,capture,-0.21017594390669403,243
2021,fast_share_5d,pnl_log,-0.14596536653168543,243
2021,fast_share_5d,capture,-0.117158503397947,243
2021,fast_share_20d,pnl_log,-0.11656304726349435,243
2021,fast_share_20d,capture,-0.09205316954944376,243
2021,work_turns_5d,pnl_log,0.03404001235258954,243
2021,work_turns_5d,capture,0.035668158900026024,243
2021,slow_work_velocity_5d,pnl_log,0.07034578271538033,243
2021,slow_work_velocity_5d,capture,0.07803736989032567,243
2021,slow_work_opposition_5d,pnl_log,-0.032429321775823854,243
2021,slow_work_opposition_5d,capture,-0.013084113762183415,243
2021,wick_1d,pnl_log,-0.055655913331025104,243
2021,wick_1d,capture,-0.032100270798730804,243
2021,gap_share_1d,pnl_log,0.039755896437466236,243
2021,gap_share_1d,capture,0.05742806438285822,243
2021,threshold_work_amplitude_5d,pnl_log,-0.17850888417207345,243
2021,threshold_work_amplitude_5d,capture,-0.15513304932082875,243
