horizon,endpoint,comparison,slice_type,slice,n,absolute_gain
15,log_future_sigma,S_vs_H,slot,800,970,-0.0004873696960696021
15,log_future_sigma,S_vs_H,slot,805,970,1.5589930001977937e-05
15,log_future_sigma,S_vs_H,slot,810,970,-0.000995924041400682
15,log_future_sigma,S_vs_H,slot,815,970,0.00017533964445610688
15,log_future_sigma,S_vs_H,slot,820,970,0.0009388343966564553
15,log_future_sigma,S_vs_H,slot,825,970,0.0012264498368794539
15,log_future_sigma,S_vs_H,slot,830,970,0.00038158187741770666
15,log_future_sigma,S_vs_H,slot,835,970,0.0005429955024995189
15,log_future_sigma,S_vs_H,slot,840,970,-0.00032630265800317955
15,log_future_sigma,S_vs_H,slot,845,970,0.0001875139766517429
15,log_future_sigma,S_vs_H,slot,850,970,5.769485443292868e-05
15,log_future_sigma,S_vs_H,slot,855,970,0.0002655769923557396
15,log_future_sigma,S_vs_H,slot,860,970,0.000567804948809796
15,log_future_sigma,S_vs_H,slot,865,970,0.00018154531744558338
15,log_future_sigma,S_vs_H,slot,870,970,-0.00011511352875438589
15,log_future_sigma,S_vs_H,slot,875,970,0.00043473572058168363
15,log_future_sigma,S_vs_H,slot,880,970,0.0003326862160673797
15,log_future_sigma,S_vs_H,slot,885,970,8.238541032156619e-05
15,future_tail,S_vs_C,symbol,000688.SH,19885,2.789603036518734e-05
15,future_tail,S_vs_C,symbol,000852.SH,19885,-5.408523769934908e-06
15,future_tail,S_vs_C,year,2024,19844,8.151137888951854e-06
15,future_tail,S_vs_C,year,2025,19926,1.4323641893919206e-05
15,future_tail,S_vs_C,previous_state,NORMAL,34505,-1.6115650361080714e-06
15,future_tail,S_vs_C,previous_state,RECOVERING,3559,0.00010097060919909181
15,future_tail,S_vs_C,previous_state,UNSAFE,1706,8.406607390265872e-05
15,future_tail,S_vs_C,slot,580,970,3.2837203338724375e-05
15,future_tail,S_vs_C,slot,585,970,-0.00012697671806154506
15,future_tail,S_vs_C,slot,590,970,6.589907401483518e-05
15,future_tail,S_vs_C,slot,595,970,1.7936785368118716e-05
15,future_tail,S_vs_C,slot,600,970,3.536114417940432e-06
15,future_tail,S_vs_C,slot,605,970,0.00014715910427856466
15,future_tail,S_vs_C,slot,610,970,0.00012811172163525238
15,future_tail,S_vs_C,slot,615,970,0.00012058894656519973
15,future_tail,S_vs_C,slot,620,970,-3.376784673173957e-05
15,future_tail,S_vs_C,slot,625,970,8.40119987127205e-05
15,future_tail,S_vs_C,slot,630,970,6.585424613848017e-05
15,future_tail,S_vs_C,slot,635,970,-4.320191076306709e-05
15,future_tail,S_vs_C,slot,640,970,-0.00010731472511426301
15,future_tail,S_vs_C,slot,645,970,-9.435426299967672e-05
15,future_tail,S_vs_C,slot,650,970,-3.5419200093572354e-05
15,future_tail,S_vs_C,slot,655,970,1.2238369738037427e-05
15,future_tail,S_vs_C,slot,660,970,2.8310443884258843e-05
15,future_tail,S_vs_C,slot,665,970,6.744178250185607e-05
15,future_tail,S_vs_C,slot,670,970,0.00010227630765048704
15,future_tail,S_vs_C,slot,675,970,3.219086822983419e-05
15,future_tail,S_vs_C,slot,785,970,2.672322782877654e-05
15,future_tail,S_vs_C,slot,790,970,-8.847459879471733e-06
15,future_tail,S_vs_C,slot,795,970,1.8884033055238554e-06
15,future_tail,S_vs_C,slot,800,970,-3.650455765143217e-05
15,future_tail,S_vs_C,slot,805,970,3.2048148466375176e-05
15,future_tail,S_vs_C,slot,810,970,3.2189251978841316e-05
15,future_tail,S_vs_C,slot,815,970,2.081040051067779e-05
15,future_tail,S_vs_C,slot,820,970,-7.430511402305534e-06
15,future_tail,S_vs_C,slot,825,970,3.7409387339505356e-06
15,future_tail,S_vs_C,slot,830,970,2.612012243274264e-06
15,future_tail,S_vs_C,slot,835,970,1.1882253892635888e-05
15,future_tail,S_vs_C,slot,840,970,8.04056249862197e-06
15,future_tail,S_vs_C,slot,845,970,-9.835707993510506e-06
15,future_tail,S_vs_C,slot,850,970,-2.1253575750396955e-05
15,future_tail,S_vs_C,slot,855,970,-7.3486222967084124e-06
15,future_tail,S_vs_C,slot,860,970,-2.407253341154805e-06
15,future_tail,S_vs_C,slot,865,970,-7.418042982231648e-06
15,future_tail,S_vs_C,slot,870,970,-2.874981953623609e-05
15,future_tail,S_vs_C,slot,875,970,-5.078942082436425e-06
15,future_tail,S_vs_C,slot,880,970,-6.035488976357118e-06
15,future_tail,S_vs_C,slot,885,970,-5.3896350742070225e-06
15,future_tail,S_vs_H,symbol,000688.SH,19885,2.236238548442576e-05
15,future_tail,S_vs_H,symbol,000852.SH,19885,-1.0159760698811217e-05
15,future_tail,S_vs_H,year,2024,19844,1.8622051832531938e-06
15,future_tail,S_vs_H,year,2025,19926,1.032297471672532e-05
15,future_tail,S_vs_H,previous_state,NORMAL,34505,-5.811555697018014e-06
15,future_tail,S_vs_H,previous_state,RECOVERING,3559,8.757815227283935e-05
15,future_tail,S_vs_H,previous_state,UNSAFE,1706,7.707284832855589e-05
15,future_tail,S_vs_H,slot,580,970,-1.49821838456326e-06
15,future_tail,S_vs_H,slot,585,970,-0.0001233380779399949
15,future_tail,S_vs_H,slot,590,970,-1.3908444180528058e-05
15,future_tail,S_vs_H,slot,595,970,-2.3692624802190027e-05
15,future_tail,S_vs_H,slot,600,970,-2.991750582263967e-05
15,future_tail,S_vs_H,slot,605,970,0.00012620020743343784
15,future_tail,S_vs_H,slot,610,970,0.00011089229106278085
15,future_tail,S_vs_H,slot,615,970,0.00010829687345509239
15,future_tail,S_vs_H,slot,620,970,-4.2029901189239065e-05
15,future_tail,S_vs_H,slot,625,970,8.712159998417045e-05
15,future_tail,S_vs_H,slot,630,970,5.5228046311148445e-05
15,future_tail,S_vs_H,slot,635,970,-5.1181609100877195e-05
15,future_tail,S_vs_H,slot,640,970,-0.00010818527261396287
15,future_tail,S_vs_H,slot,645,970,-0.00010202041245340145
15,future_tail,S_vs_H,slot,650,970,7.674616723670572e-06
15,future_tail,S_vs_H,slot,655,970,4.218601730674118e-05
15,future_tail,S_vs_H,slot,660,970,2.6401645102024903e-05
15,future_tail,S_vs_H,slot,665,970,6.324842629396674e-05
15,future_tail,S_vs_H,slot,670,970,0.00014169140467509153
15,future_tail,S_vs_H,slot,675,970,3.915209938305541e-05
15,future_tail,S_vs_H,slot,785,970,1.994786207700757e-05
15,future_tail,S_vs_H,slot,790,970,-3.865685793230362e-05
15,future_tail,S_vs_H,slot,795,970,-9.796572488888132e-06
15,future_tail,S_vs_H,slot,800,970,-3.8565703706235936e-05
15,future_tail,S_vs_H,slot,805,970,4.113017778277905e-05
15,future_tail,S_vs_H,slot,810,970,1.9597897480527404e-05
15,future_tail,S_vs_H,slot,815,970,1.2784908954471013e-05
15,future_tail,S_vs_H,slot,820,970,-8.438861358710296e-06
15,future_tail,S_vs_H,slot,825,970,4.032404554053324e-07
15,future_tail,S_vs_H,slot,830,970,2.5876830938623706e-07
15,future_tail,S_vs_H,slot,835,970,1.9377872556126213e-05
15,future_tail,S_vs_H,slot,840,970,1.8532833563294437e-05
15,future_tail,S_vs_H,slot,845,970,-9.209690763234128e-06
15,future_tail,S_vs_H,slot,850,970,-2.269663319971291e-05
15,future_tail,S_vs_H,slot,855,970,-1.1331373246944134e-05
15,future_tail,S_vs_H,slot,860,970,-5.50418852151243e-06
15,future_tail,S_vs_H,slot,865,970,-1.020417617068288e-05
15,future_tail,S_vs_H,slot,870,970,-2.281153311447805e-05
15,future_tail,S_vs_H,slot,875,970,-4.368783491555918e-06
15,future_tail,S_vs_H,slot,880,970,-6.616619164667065e-06
15,future_tail,S_vs_H,slot,885,970,-5.999921158757306e-06
