year,block,gain,n
2024,0,2.086117141847418,920
2024,1,5.0224222741329703,920
2024,2,0.24744263929066893,920
2024,3,-0.14373105724378807,920
2024,4,-0.22316182691781375,920
2024,5,-1.6457873588959375,920
2024,6,-0.87618478448227077,920
2024,7,0.30499666050079899,920
2024,8,0.13948223504036286,920
2024,9,-0.47198250890482946,920
2024,10,-0.68060310021247372,920
2024,11,0.45969954083074305,920
2024,12,-0.14215851055522727,92
2025,0,0.51255171375167474,920
2025,1,0.2291436777582038,920
2025,2,-0.20100565568182069,920
2025,3,0.28336422360570757,920
2025,4,1.0220252842380548,920
2025,5,-0.41636838109643542,920
2025,6,0.72086477808898242,920
2025,7,2.4169397702195443,920
2025,8,0.4343906505604988,920
2025,9,-0.06363773754247927,920
2025,10,0.1836414246892826,920
2025,11,0.0095228103685440803,920
2025,12,0.027596221682676673,138
