horizon,endpoint,increment_decile,n,increment_mean,sigma_mean,tail_rate
30,log_future_sigma,0,3395,-0.03321296351824564,0.0016747075377214038,0.06480117820324006
30,log_future_sigma,1,3395,-0.002716006498116085,0.0012807637731479416,0.036818851251840944
30,log_future_sigma,2,3395,-0.0012081479908415465,0.0012918686803556885,0.03328424153166421
30,log_future_sigma,3,3395,-0.0003757259102122852,0.0014453831153937078,0.0288659793814433
30,log_future_sigma,4,3395,0.0004444154312529367,0.0015646981342756975,0.04683357879234168
30,log_future_sigma,5,3395,0.001385869835712274,0.0016651634591609138,0.05625920471281296
30,log_future_sigma,6,3395,0.0024928775624663523,0.0017340115533405734,0.06715758468335788
30,log_future_sigma,7,3395,0.003806370310578978,0.0017948821139360171,0.06480117820324006
30,log_future_sigma,8,3395,0.005717733230335088,0.001860453330984563,0.07098674521354933
30,log_future_sigma,9,3395,0.021247382648672417,0.0020626005405527995,0.08571428571428572
30,future_tail,0,3395,-0.009696153583237202,0.0015360604799575701,0.06863033873343152
30,future_tail,1,3395,-0.0008006439352335361,0.0011500297868719848,0.03711340206185567
30,future_tail,2,3395,-0.00031435774409424724,0.0012204436193859595,0.03622974963181149
30,future_tail,3,7297,-6.57539873661918e-06,0.0019935087944091888,0.016308071810333013
30,future_tail,4,2888,0.00018682131370387255,0.0014436585188114673,0.05817174515235457
30,future_tail,5,3395,0.0006023743952782577,0.0015403351911679806,0.0759941089837997
30,future_tail,6,3395,0.0011107274519099476,0.0016985388003686649,0.07835051546391752
30,future_tail,7,3395,0.0018339051573462552,0.0017842381397790495,0.07628865979381444
30,future_tail,8,3395,0.006686998931807459,0.0019320969797677378,0.098379970544919
