year,block,gain,n
2024,0,-0.022741646947763094,410
2024,1,-0.048296685190458669,410
2024,2,0.098014245213944723,410
2024,3,-0.0035349912066347101,410
2024,4,0.03208293283522029,410
2024,5,-0.025599817443859255,410
2024,6,0.011439128300990642,410
2024,7,0.051110743952965415,410
2024,8,-0.013805215126404792,410
2024,9,-0.00046821648790643024,410
2024,10,-0.035127639290368905,410
2024,11,-0.0095954490212462763,410
2024,12,0.020394286834790061,410
2024,13,0.18085708911156601,410
2024,14,0.016023741363562483,410
2024,15,-0.048251683497970897,410
2024,16,0.065885019774566844,410
2024,17,-0.010634200479871627,410
2024,18,-0.0016214438726915728,410
2024,19,-0.04758693735032099,410
2024,20,-0.049236175955446194,410
2024,21,-0.018890979456905928,410
2024,22,-0.088415667159573552,410
2024,23,0.0017044170689882482,410
2024,24,-0.059604341004245713,410
2024,25,0.012873592753760198,410
2024,26,0.099677219620060223,410
2024,27,0.066499033034903898,410
2024,28,0.0023585882006202617,410
2024,29,-0.022187257399843251,410
2024,30,0.098265344150096676,410
2024,31,-0.086408386799947973,410
2024,32,0.066609727549542447,410
2024,33,-0.030487117609527839,410
2024,34,0.05720748599679424,410
2024,35,0.097878530611858833,410
2024,36,0.056242504110608001,410
2024,37,0.06352480372648342,410
2024,38,0.053641131205368064,410
2024,39,-0.05962126972382447,410
2024,40,0.018992898535624012,410
2024,41,-0.0016596034732625109,410
2024,42,0.0025021918835785003,410
2024,43,0.14895453113896959,410
2024,44,0.023604697548960472,410
2024,45,-0.019189187738611897,410
2024,46,0.087919190606743705,410
2024,47,-0.075271733346644887,410
2024,48,-0.019968146934272783,164
2025,0,-0.0037766324619962367,410
2025,1,-0.020294414617676844,410
2025,2,-0.0019792958605584668,410
2025,3,-0.080767497151820328,410
2025,4,-0.017168882076077852,410
2025,5,0.016565667045049561,410
2025,6,0.0013048413064664043,410
2025,7,-0.00500995489915674,410
2025,8,-0.098190267692905939,410
2025,9,-0.060961068543855843,410
2025,10,-0.034234937914549436,410
2025,11,0.044496003714662301,410
2025,12,0.071483736447732843,410
2025,13,-0.03058078666338894,410
2025,14,-0.096924385849978062,410
2025,15,-0.021724910843581254,410
2025,16,0.030108106630808137,410
2025,17,-0.0068535124376258149,410
2025,18,0.060553044032248017,410
2025,19,-0.046926631161483913,410
2025,20,0.075269318906735883,410
2025,21,-0.12746797094072981,410
2025,22,-0.088644377326175375,410
2025,23,-0.011686269424314333,410
2025,24,-0.0039293200846406834,410
2025,25,-0.0042492017429791437,410
2025,26,0.020157607745944203,410
2025,27,-0.0053490763356912868,410
2025,28,-0.032613597943897947,410
2025,29,-0.055983150699409207,410
2025,30,0.027470922029223445,410
2025,31,-0.09365637170809929,410
2025,32,-0.059678338668150276,410
2025,33,0.044758973059867695,410
2025,34,0.0043376668933731164,410
2025,35,-0.022894647880844044,410
2025,36,0.01993717434738651,410
2025,37,-0.026984717937126708,410
2025,38,0.0027648230461202804,410
2025,39,0.12792371156269514,410
2025,40,-0.013389242542279052,410
2025,41,0.10358656984563594,410
2025,42,-0.11639507923389456,410
2025,43,-0.037705038212941612,410
2025,44,-0.026262261318132606,410
2025,45,0.041965525776569798,410
2025,46,0.0069109953460158406,410
2025,47,-0.038838933478615292,410
2025,48,-0.033358806366316898,246
