horizon,endpoint,comparison,slice_type,slice,n,absolute_gain
60,future_tail,X_vs_L,symbol,000688.SH,11155,-1.3268072750578843e-05
60,future_tail,X_vs_L,symbol,000852.SH,11155,1.821362294050801e-05
60,future_tail,X_vs_L,year,2024,11132,1.920747457024337e-06
60,future_tail,X_vs_L,year,2025,11178,3.022531014230169e-06
60,future_tail,X_vs_L,previous_state,NORMAL,19185,2.3676367496841408e-05
60,future_tail,X_vs_L,previous_state,RECOVERING,2037,-0.00010285223256771624
60,future_tail,X_vs_L,previous_state,UNSAFE,1088,-0.00017422196720386432
60,future_tail,X_vs_L,slot,580,970,0.00020065673165451322
60,future_tail,X_vs_L,slot,585,970,-0.0007342027193111274
60,future_tail,X_vs_L,slot,590,970,0.00017483629802133633
60,future_tail,X_vs_L,slot,595,970,-0.0005576225252942144
60,future_tail,X_vs_L,slot,600,970,0.00024225097127683753
60,future_tail,X_vs_L,slot,605,970,-2.7773672641264804e-05
60,future_tail,X_vs_L,slot,610,970,0.00020038197566791396
60,future_tail,X_vs_L,slot,615,970,0.00035398255034176226
60,future_tail,X_vs_L,slot,620,970,-1.5094307754335836e-05
60,future_tail,X_vs_L,slot,625,970,0.0003095830675723186
60,future_tail,X_vs_L,slot,630,970,-0.00010953105214351832
60,future_tail,X_vs_L,slot,785,970,0.0003122631852085138
60,future_tail,X_vs_L,slot,790,970,-0.00012596955445841394
60,future_tail,X_vs_L,slot,795,970,0.00010443855573841441
60,future_tail,X_vs_L,slot,800,970,3.887033783981365e-05
60,future_tail,X_vs_L,slot,805,970,-0.00011118273815438929
60,future_tail,X_vs_L,slot,810,970,-8.861348616229145e-05
60,future_tail,X_vs_L,slot,815,970,2.219214786570288e-05
60,future_tail,X_vs_L,slot,820,970,-3.312756356917852e-05
60,future_tail,X_vs_L,slot,825,970,3.306811937797873e-05
60,future_tail,X_vs_L,slot,830,970,-1.0034129372314195e-05
60,future_tail,X_vs_L,slot,835,970,-2.9480250195421268e-05
60,future_tail,X_vs_L,slot,840,970,-9.301811432445031e-05
