horizon,endpoint,increment_decile,n,increment_mean,sigma_mean,tail_rate
15,log_future_sigma,0,3977,-0.0326271164447067,0.0017151494817581763,0.046768921297460395
15,log_future_sigma,1,3977,-0.01952864827649395,0.0016175588399875095,0.035453859693236105
15,log_future_sigma,2,3977,-0.01236115551317237,0.0016214842530469314,0.03143072667840081
15,log_future_sigma,3,3977,-0.006639228125180814,0.0015460373324493386,0.029167714357555947
15,log_future_sigma,4,3977,-0.0019172646098150733,0.0015101462295374858,0.027910485290419916
15,log_future_sigma,5,3977,0.002103242318136278,0.0014577126120911869,0.027910485290419916
15,log_future_sigma,6,3977,0.0058888069802593155,0.0014653092242396465,0.025898918783002264
15,log_future_sigma,7,3977,0.010233775245822857,0.0014336143184273899,0.019612773447322103
15,log_future_sigma,8,3977,0.016802693835824674,0.0015234789756494937,0.02765903947699271
15,log_future_sigma,9,3977,0.038590999070333476,0.0019199183080791456,0.05406084988684939
15,future_tail,0,3977,-0.00707087919115482,0.001664797690526634,0.05883832034196631
15,future_tail,1,3977,-0.003468728222297986,0.001527355972361038,0.03671108876037214
15,future_tail,2,3977,-0.001994112883401447,0.001450578905778138,0.03042494342469198
15,future_tail,3,3977,-0.0007954342622533661,0.0013814256599698482,0.029922051797837565
15,future_tail,4,9541,-1.3109652670123041e-05,0.001833390192709653,0.009852216748768473
15,future_tail,5,2390,0.0003161905605903505,0.0013653771351725367,0.02803347280334728
15,future_tail,6,3977,0.0013124639125004151,0.0014074682881701922,0.039225546894644206
15,future_tail,7,3977,0.0031298533782254034,0.0014654096183981304,0.03696253457379935
15,future_tail,8,3977,0.009159110878847795,0.0016944578801666324,0.05330651244656776
