symbol,market,instrument_type,timestamp,trading_day,open,high,low,close,volume,amount,available_at,ingested_at,source_kind,dataset_version,export_view_id,export_frequency,signal_price_view,fill_price_view,data_contract,day,year,session,clock,return_all,r,boundary,body,gap,sigma_prior,robust_sigma_prior,z,robust_z,prediction_time,frequency_minutes,vol_bin,event,prior5,prior30,predicted_tail_probability,first_event,basis,abs_r
000688.SH,cn_index,market_index,2024-10-09 11:25:00+08:00,2024-10-09,968.3,985.97,964.9,985.75,,4589698500.0,2024-10-09T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-09,2024,0,11:25,0.017272328793812797,0.017272328793812797,False,0.01786081614025116,-0.0005884873464384558,0.008619109903397692,0.005344371129313338,2.0039573676864206,3.2318730072984283,2024-10-09 11:20:00+08:00,5,2,True,True,True,0.07894736842105263,False,raw,0.017272328793812797
000688.SH,cn_index,market_index,2024-10-10 09:55:00+08:00,2024-10-10,978.31,978.44,960.91,960.91,,5987730500.0,2024-10-10T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-10,2024,0,09:55,-0.017250523204932477,-0.017250523204932477,False,-0.01794584108523144,0.0006953178802994412,0.010161008572769263,0.008030034007013171,-1.6977176115334238,-2.148250329932156,2024-10-10 09:50:00+08:00,5,2,True,True,True,0.07894736842105263,False,raw,0.017250523204932477
000852.SH,cn_index,market_index,2024-02-05 13:20:00+08:00,2024-02-05,4262.24,4337.27,4262.24,4335.82,,3448111700.0,2024-02-05T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-02-05,2024,1,13:20,0.017247301623978473,0.017247301623978473,False,0.017115906678741317,0.00013139494523771106,0.004627471390594389,0.0042966082146382745,3.72715467437241,4.014166701357131,2024-02-05 13:15:00+08:00,5,2,True,True,True,0.16428571428571428,False,raw,0.017247301623978473
000688.SH,cn_index,market_index,2025-04-07 14:55:00+08:00,2025-04-07,911.09,927.54,909.79,927.38,,2899019300.0,2025-04-07T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2025-04-07,2025,1,14:55,0.017216958807886762,0.017216958807886762,False,0.017721721141388494,-0.0005047623335016392,0.006156131495029713,0.002337499693496135,2.7967171951715537,7.365544840836246,2025-04-07 14:50:00+08:00,5,2,True,True,True,0.07894736842105263,False,raw,0.017216958807886762
000688.SH,cn_index,market_index,2024-10-09 13:35:00+08:00,2024-10-09,1052.77,1069.94,1052.77,1069.94,,7391444900.0,2024-10-09T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-09,2024,1,13:35,0.016956987466318907,0.016956987466318907,False,0.0161777863930278,0.0007792010732913215,0.00919115465695343,0.00601870308298302,1.8449246149383804,2.8173822885967317,2024-10-09 13:30:00+08:00,5,2,True,True,True,0.07894736842105263,False,raw,0.016956987466318907
000688.SH,cn_index,market_index,2024-10-11 09:40:00+08:00,2024-10-11,941.49,945.51,926.63,928.27,,7164802700.0,2024-10-11T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-11,2024,0,09:40,-0.01665521131764791,-0.01665521131764791,False,-0.014141087947067954,-0.0025141233705795155,0.010546233264123892,0.010507929898762211,-1.5792568683555959,-1.585013554345259,2024-10-11 09:35:00+08:00,5,2,True,False,False,0.015309386710538341,True,raw,0.01665521131764791
000852.SH,cn_index,market_index,2024-09-30 14:25:00+08:00,2024-09-30,5705.5,5705.5,5610.08,5612.7,,11904344400.0,2024-09-30T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-09-30,2024,1,14:25,-0.016444303740941635,-0.016444303740941635,False,-0.016398734715251752,-4.556902568954757e-05,0.0032513969201438597,0.0024708056109231766,-5.057611895693759,-6.655442123104733,2024-09-30 14:20:00+08:00,5,2,True,False,False,0.004918772563176895,True,raw,0.016444303740941635
000688.SH,cn_index,market_index,2024-10-08 10:35:00+08:00,2024-10-08,1007.77,1009.88,991.87,991.88,,7042904900.0,2024-10-08T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-08,2024,0,10:35,-0.016190758438854758,-0.016190758438854758,False,-0.01589311576660409,-0.0002976426722506595,0.006007120350849275,0.0032855750879031693,-2.695261205573439,-4.927830898908959,2024-10-08 10:30:00+08:00,5,2,True,False,True,0.015309386710538341,True,raw,0.016190758438854758
000688.SH,cn_index,market_index,2024-11-11 09:40:00+08:00,2024-11-11,1044.8,1063.11,1043.2,1061.75,,16137340400.0,2024-11-11T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-11-11,2024,0,09:40,0.01612172471286044,0.01612172471286044,False,0.01609301067121405,2.8714041646808547e-05,0.00392331444802662,0.003853695613510407,4.109210446022106,4.183445276876667,2024-11-11 09:35:00+08:00,5,2,True,False,False,0.015309386710538341,True,raw,0.01612172471286044
000688.SH,cn_index,market_index,2025-01-17 11:30:00+08:00,2025-01-17,954.94,970.42,954.94,970.27,,5002427000.0,2025-01-17T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2025-01-17,2025,0,11:30,0.016009650404853915,0.016009650404853915,False,0.015925871998688414,8.37784061649214e-05,0.0025976690075714833,0.002293785364199231,6.163083271267522,6.979576491649183,2025-01-17 11:25:00+08:00,5,2,True,False,False,0.015309386710538341,True,raw,0.016009650404853915
000688.SH,cn_index,market_index,2024-10-08 09:50:00+08:00,2024-10-08,1005.4,1020.52,1005.4,1020.52,,12909782100.0,2024-10-08T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-08,2024,0,09:50,0.015991648788542534,0.015991648788542534,False,0.014926829035540547,0.0010648197530023153,0.005785975544986578,0.002794273112792684,2.7638638746751965,5.723008504548068,2024-10-08 09:45:00+08:00,5,2,True,True,True,0.07894736842105263,False,raw,0.015991648788542534
000688.SH,cn_index,market_index,2024-10-09 11:30:00+08:00,2024-10-09,986.56,1003.66,985.95,1001.58,,3569077800.0,2024-10-09T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-09,2024,0,11:30,0.015931259337614634,0.015931259337614634,False,0.015109887397566168,0.0008213719400488567,0.008805410779405063,0.005552534590130141,1.8092579365946433,2.869186869350279,2024-10-09 11:25:00+08:00,5,2,True,True,True,0.07894736842105263,False,raw,0.015931259337614634
000688.SH,cn_index,market_index,2024-10-21 13:30:00+08:00,2024-10-21,1038.02,1038.34,1022.03,1022.43,,3629842500.0,2024-10-21T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-21,2024,1,13:30,-0.01586480070325358,-0.01586480070325358,False,-0.015132905447162087,-0.0007318952560918881,0.006701970453572849,0.005156656868119275,-2.3671845188150575,-3.0765670683532904,2024-10-21 13:25:00+08:00,5,2,True,True,True,0.07894736842105263,False,raw,0.01586480070325358
000688.SH,cn_index,market_index,2025-04-07 09:50:00+08:00,2025-04-07,954.86,954.86,940.82,940.82,,7481731800.0,2025-04-07T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2025-04-07,2025,0,09:50,-0.015660829753887384,-0.015660829753887384,False,-0.014812897453916717,-0.000847932299970865,0.0025852590887672435,0.001210439047655805,-6.05774091344752,-12.93813991230447,2025-04-07 09:45:00+08:00,5,2,True,True,True,0.07894736842105263,False,raw,0.015660829753887384
000688.SH,cn_index,market_index,2024-10-09 10:00:00+08:00,2024-10-09,1048.72,1048.72,1033.25,1033.25,,7864159500.0,2024-10-09T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-09,2024,0,10:00,-0.0156427985298766,-0.0156427985298766,False,-0.014861198497712062,-0.0007816000321644511,0.007647093376533372,0.005291885840295004,-2.0455874879048346,-2.9559969738509264,2024-10-09 09:55:00+08:00,5,2,True,True,True,0.07894736842105263,False,raw,0.0156427985298766
000852.SH,cn_index,market_index,2024-10-08 10:35:00+08:00,2024-10-08,6105.06,6105.06,6010.46,6010.46,,19602936700.0,2024-10-08T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,5m_offset_0,5m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-08,2024,0,10:35,-0.01562811663760222,-0.01562811663760222,False,-0.015616650804555347,-1.1465833046113353e-05,0.005319324174184769,0.0027932654784340876,-2.9379891365611983,-5.594927069504108,2024-10-08 10:30:00+08:00,5,2,True,True,True,0.16428571428571428,False,raw,0.01562811663760222
