vol_bin,prior5,sum,size,probability
0,False,51,11105,0.00463713308121736
0,True,1,42,0.03488372093023256
1,False,55,11091,0.00500360620266859
1,True,0,56,0.008771929824561403
2,False,40,11091,0.0036512802019473493
2,True,8,57,0.14655172413793102
