minutes,basis,CSI_events,STAR_events,simultaneous,STAR_given_CSI,CSI_given_STAR,same_sign_given_both
5,raw,211,496,136,0.6445497630331753,0.27419354838709675,1.0
5,standardized,121,120,47,0.3884297520661157,0.39166666666666666,1.0
