vol_bin,prior5,sum,size,probability
0,False,0,11147,4.485109436670255e-05
1,False,6,11145,0.0005831688498115916
1,True,0,2,0.16666666666666666
2,False,54,11079,0.004918772563176895
2,True,11,69,0.16428571428571428
