vol_bin,prior5,sum,size,rate,time_share,tail_capture,symbol,basis,minutes
0,False,0,2711,0.0,0.12151501568803227,0.0,000852.SH,raw,5
1,False,7,7803,0.0008970908624887864,0.34975347377857463,0.03317535545023697,000852.SH,raw,5
1,True,1,2,0.5,8.964589870013447e-05,0.004739336492890996,000852.SH,raw,5
2,False,160,11588,0.013807386952019331,0.5194083370685791,0.7582938388625592,000852.SH,raw,5
2,True,43,206,0.2087378640776699,0.00923352756611385,0.2037914691943128,000852.SH,raw,5
0,False,22,2696,0.008160237388724036,0.12084267144778127,0.18181818181818182,000852.SH,standardized,5
0,True,1,15,0.06666666666666667,0.0006723442402510085,0.008264462809917356,000852.SH,standardized,5
1,False,41,7766,0.0052794231264486225,0.34809502465262215,0.33884297520661155,000852.SH,standardized,5
1,True,4,39,0.10256410256410256,0.0017480950246526222,0.03305785123966942,000852.SH,standardized,5
2,False,47,11728,0.004007503410641201,0.5256835499775885,0.3884297520661157,000852.SH,standardized,5
2,True,6,66,0.09090909090909091,0.0029583146571044374,0.049586776859504134,000852.SH,standardized,5
0,False,7,5755,0.0012163336229365769,0.25795607350963695,0.014112903225806451,000688.SH,raw,5
0,True,0,3,0.0,0.0001344688480502017,0.0,000688.SH,raw,5
1,False,28,6549,0.004275461902580546,0.2935454952935903,0.056451612903225805,000688.SH,raw,5
1,True,0,21,0.0,0.000941281936351412,0.0,000688.SH,raw,5
2,False,346,9524,0.03632927341453171,0.42689376961004033,0.6975806451612904,000688.SH,raw,5
2,True,115,458,0.25109170305676853,0.020528910802330793,0.2318548387096774,000688.SH,raw,5
0,False,47,5721,0.008215346967313407,0.25643209323173466,0.39166666666666666,000688.SH,standardized,5
0,True,1,37,0.02702702702702703,0.0016584491259524876,0.008333333333333333,000688.SH,standardized,5
1,False,32,6535,0.004896710022953328,0.2929179740026894,0.26666666666666666,000688.SH,standardized,5
1,True,0,35,0.0,0.0015688032272523531,0.0,000688.SH,standardized,5
2,False,39,9937,0.003924725772365905,0.4454056476916181,0.325,000688.SH,standardized,5
2,True,1,45,0.022222222222222223,0.0020170327207530256,0.008333333333333333,000688.SH,standardized,5
