vol_bin,prior5,sum,size,probability
0,False,66,11097,0.005992070643359164
0,True,1,50,0.029411764705882353
1,False,71,11082,0.006451321844265993
1,True,3,65,0.05303030303030303
2,False,35,11087,0.0032016594516594515
2,True,4,61,0.07258064516129033
