metric,000688_pooled,000852_pooled,symmetric_relative_gap,annual_same_sign_fraction,direction,material_by_frozen_rule
highvol_share,0.03931643204587185,0.031021486325419578,0.2358598580261049,1.0,000688>000852,True
highvol_persistence,0.6803615447822514,0.6524453694068678,0.04189080215324036,0.6666666666666666,000688>000852,False
shock_rate,0.015253036111200593,0.014850368843217472,0.026752273943285214,0.5,000688>000852,False
recovery_failure_probability,0.4429460580912863,0.4105145413870246,0.07600003262970989,0.6666666666666666,000688>000852,False
