horizon,endpoint,increment_decile,n,increment_mean,sigma_mean,tail_rate
30,log_future_sigma,0,3395,-0.021761594906174804,0.0017102577852313532,0.07216494845360824
30,log_future_sigma,1,3395,-0.010646266574958662,0.0017005466633069385,0.06774668630338733
30,log_future_sigma,2,3395,-0.007324614767537474,0.0016252255027597111,0.04771723122238586
30,log_future_sigma,3,3395,-0.0048753159906658235,0.0015975149654398253,0.044182621502209134
30,log_future_sigma,4,3395,-0.0026092788709799392,0.0015699806348727433,0.049484536082474224
30,log_future_sigma,5,3395,-0.0002648417968710396,0.001578383761945773,0.047128129602356406
30,log_future_sigma,6,3395,0.0024827897790080087,0.0015404886859752662,0.04683357879234168
30,log_future_sigma,7,3395,0.005896738309619629,0.0016170182432570892,0.04683357879234168
30,log_future_sigma,8,3395,0.010573237053991132,0.0016314681792092922,0.05331369661266568
30,log_future_sigma,9,3395,0.02360948764530695,0.0018036478168713148,0.0801178203240059
30,future_tail,0,3395,-0.007137893992350869,0.001708601437295618,0.07982326951399116
30,future_tail,1,3395,-0.003436217858119431,0.0015519379355226077,0.0695139911634757
30,future_tail,2,3395,-0.002094334239698056,0.0014430330415630722,0.05272459499263623
30,future_tail,3,3395,-0.0010442058261422849,0.0014190010050237336,0.05154639175257732
30,future_tail,4,7807,-5.0515493042743046e-05,0.0019827066411660242,0.02215960035865249
30,future_tail,5,2378,0.00042137101501008104,0.001433926044505678,0.04878048780487805
30,future_tail,6,3395,0.001615282822273654,0.00150620832170354,0.06509572901325479
30,future_tail,7,3395,0.0035078672608104453,0.0015090370239430296,0.06303387334315169
30,future_tail,8,3395,0.0076909699356423585,0.0016729824336357752,0.088659793814433
