year,block,gain,n
2024,0,0.014000043595209566,1640
2024,1,-0.000651102655618021,1640
2024,2,0.034212351493410613,1640
2024,3,-0.15912414896424204,1640
2024,4,0.076694408648735793,1640
2024,5,-0.19591617155577493,1640
2024,6,-0.045135036771475977,1640
2024,7,-0.017545495639661911,1640
2024,8,-0.06448824964496673,1640
2024,9,0.32070087752968329,1640
2024,10,-0.12414184038661374,1640
2024,11,-0.1332333355487379,1640
2024,12,-0.007964115232797199,164
2025,0,-0.027117032558445331,1640
2025,1,0.0084615608875582751,1640
2025,2,-0.010584352626626367,1640
2025,3,0.19878869899106033,1640
2025,4,-0.13163267997329903,1640
2025,5,0.064524318591746108,1640
2025,6,-0.025145300838480763,1640
2025,7,0.10257712403984622,1640
2025,8,-0.015482266734159625,1640
2025,9,0.0017389383091004945,1640
2025,10,0.12784208093779753,1640
2025,11,-0.024195418042817288,1640
2025,12,-0.0074750248156161435,246
