year,block,gain,n
2024,0,0.45366659169535201,1400
2024,1,-0.2989714542680949,1400
2024,2,0.44787336009314332,1400
2024,3,1.004573523145619,1400
2024,4,0.89892374543426468,1400
2024,5,0.89219695673144694,1400
2024,6,0.27505745132372206,1400
2024,7,1.2299836482337558,1400
2024,8,-0.93127663001722305,1400
2024,9,1.1515907625508937,1400
2024,10,-0.40051972220160681,1400
2024,11,-1.107190403357426,1400
2024,12,-0.056187074486127989,140
2025,0,0.7762561593176881,1400
2025,1,-0.017795303361793819,1400
2025,2,0.033108211666875539,1400
2025,3,1.2818833491110941,1400
2025,4,-0.0087508340208266085,1400
2025,5,-0.034574705819211113,1400
2025,6,1.6634176102027793,1400
2025,7,-0.6588058496328123,1400
2025,8,0.88133343757694482,1400
2025,9,1.2211388320114678,1400
2025,10,0.24187635055303924,1400
2025,11,-0.089533336399167232,1400
2025,12,-0.095520470351946302,210
