horizon,endpoint,comparison,slice_type,slice,n,absolute_gain
60,future_tail,T_vs_C,slot,840,970,8.034952395079307e-05
60,future_tail,T_vs_O,symbol,000688.SH,11155,6.731739956281292e-05
60,future_tail,T_vs_O,symbol,000852.SH,11155,-3.3951816246858584e-05
60,future_tail,T_vs_O,year,2024,11132,1.8105629457445763e-06
60,future_tail,T_vs_O,year,2025,11178,3.14938177829166e-05
60,future_tail,T_vs_O,previous_state,NORMAL,19185,3.903170925841536e-05
60,future_tail,T_vs_O,previous_state,RECOVERING,2037,-0.00014375861438035333
60,future_tail,T_vs_O,previous_state,UNSAFE,1088,-7.701650987173569e-05
60,future_tail,T_vs_O,slot,580,970,-6.067834336070656e-05
60,future_tail,T_vs_O,slot,585,970,0.000819741513994951
60,future_tail,T_vs_O,slot,590,970,-0.00034126665380346136
60,future_tail,T_vs_O,slot,595,970,2.6925620915871786e-05
60,future_tail,T_vs_O,slot,600,970,8.434689083843199e-05
60,future_tail,T_vs_O,slot,605,970,2.2757194530763272e-05
60,future_tail,T_vs_O,slot,610,970,0.000600731847271995
60,future_tail,T_vs_O,slot,615,970,-0.00013658864546000528
60,future_tail,T_vs_O,slot,620,970,-0.00012276459331021688
60,future_tail,T_vs_O,slot,625,970,-0.00033231605987896375
60,future_tail,T_vs_O,slot,630,970,-4.149176650742513e-05
60,future_tail,T_vs_O,slot,785,970,2.1393540253828422e-05
60,future_tail,T_vs_O,slot,790,970,0.00013022665177349005
60,future_tail,T_vs_O,slot,795,970,0.00010237335995629087
60,future_tail,T_vs_O,slot,800,970,-7.207112289152353e-05
60,future_tail,T_vs_O,slot,805,970,-0.00010881538527348012
60,future_tail,T_vs_O,slot,810,970,9.90097609557693e-05
60,future_tail,T_vs_O,slot,815,970,-8.164833203685457e-05
60,future_tail,T_vs_O,slot,820,970,-8.743650110164214e-05
60,future_tail,T_vs_O,slot,825,970,1.7483019167906613e-05
60,future_tail,T_vs_O,slot,830,970,-0.0002785363660160341
60,future_tail,T_vs_O,slot,835,970,5.016142901590216e-05
60,future_tail,T_vs_O,slot,840,970,7.216714909858736e-05
