year,view,scenario,cost_bps,comparison,wins_removed_log,losses_avoided_log,gross_delta_log,cost_savings_log,net_delta_log,alpha
2023,0,legacy_on_minute,0,slow_vs_baseline,2.6712906763852384,2.6580844505047527,-0.0132062258804857,0.0,-0.0132062258804857,
2023,0,legacy_on_minute,0,slow_vs_matched_constant,,,0.033356689006006045,0.0,0.033356689006006045,0.8304924242424242
2023,0,legacy_on_minute,1,slow_vs_baseline,2.6712906763852384,2.6580844505047527,-0.0132062258804857,0.0251047833520681,0.011898557471582399,
2023,0,legacy_on_minute,1,slow_vs_matched_constant,,,0.033356689006006045,0.0009624853325137718,0.034319174338519824,0.8304924242424242
2023,0,legacy_on_minute,3,slow_vs_baseline,2.6712906763852384,2.6580844505047527,-0.0132062258804857,0.0753430655140202,0.0621368396335345,
2023,0,legacy_on_minute,3,slow_vs_matched_constant,,,0.033356689006006045,0.0028896414547405075,0.036246330460746545,0.8304924242424242
2023,0,legacy_on_minute,5,slow_vs_baseline,2.6712906763852384,2.6580844505047527,-0.0132062258804857,0.12561966908429484,0.11241344320380914,
2023,0,legacy_on_minute,5,slow_vs_matched_constant,,,0.033356689006006045,0.004819713153302115,0.03817640215930819,0.8304924242424242
2023,0,delay_1m,0,slow_vs_baseline,2.671502004923888,2.64324085721836,-0.0282611477055279,0.0,-0.0282611477055279,
2023,0,delay_1m,0,slow_vs_matched_constant,,,0.029786965938797455,0.0,0.029786965938797455,0.8304924242424242
2023,0,delay_1m,1,slow_vs_baseline,2.671502004923888,2.64324085721836,-0.0282611477055279,0.0251047833520681,-0.0031563643534598014,
2023,0,delay_1m,1,slow_vs_matched_constant,,,0.029786965938797455,0.0009624853325137718,0.03074945127131122,0.8304924242424242
2023,0,delay_1m,3,slow_vs_baseline,2.671502004923888,2.64324085721836,-0.0282611477055279,0.0753430655140202,0.0470819178084923,
2023,0,delay_1m,3,slow_vs_matched_constant,,,0.029786965938797455,0.0028896414547405075,0.03267660739353795,0.8304924242424242
2023,0,delay_1m,5,slow_vs_baseline,2.671502004923888,2.64324085721836,-0.0282611477055279,0.12561966908429484,0.09735852137876694,
2023,0,delay_1m,5,slow_vs_matched_constant,,,0.029786965938797455,0.004819713153302114,0.034606679092099586,0.8304924242424242
2023,0,delay_1m_observed,0,slow_vs_baseline,2.671502004923888,2.64324085721836,-0.0282611477055279,0.0,-0.0282611477055279,
2023,0,delay_1m_observed,0,slow_vs_matched_constant,,,0.029786965938797455,0.0,0.029786965938797455,0.8304924242424242
2023,0,delay_1m_observed,1,slow_vs_baseline,2.671502004923888,2.64324085721836,-0.0282611477055279,0.0251047833520681,-0.0031563643534598014,
2023,0,delay_1m_observed,1,slow_vs_matched_constant,,,0.029786965938797455,0.0009624853325137718,0.03074945127131122,0.8304924242424242
