year,symbol,field,horizon,delta,rows,days,er_mean,er_variance,n_times_variance,cv2,var60_median,step5_mean,zero_share,top1_mean,nonoverlap_rows,nonoverlap_variance
2024,588000.SSE,last,15,3,9674,238,0.02438685487517272,0.0015447794601668636,0.4634338380500591,2.5974960671599394,0.00017779969117884172,0.017173672088795923,0.6521018537661085,0.012795603001391232,3327,0.0015864367941559473
2024,588000.SSE,last,15,15,9674,238,0.08764664460420181,0.008114485780321718,0.4868691468193031,1.0563076241568812,0.003046287239717237,0.061542485838210204,0.5623406381365861,0.05590579543663804,3327,0.007907470142668365
2024,588000.SSE,last,15,30,9674,238,0.13962516482555848,0.01526406117030933,0.4579218351092799,0.7829656336376505,0.009223653455013935,0.09848566447509431,0.49893184480738745,0.10486655125939168,3327,0.01513502144424991
2024,588000.SSE,last,15,60,9674,238,0.21323749264545866,0.0319775614211463,0.4796634213171945,0.7032637098600116,0.022280711827750058,0.15206227840937112,0.4122183171387223,0.18475276006597513,3327,0.03187584015091842
2024,588000.SSE,last,15,300,9674,238,0.5963189294264053,0.15153197478829478,0.45459592436488433,0.42613488793509857,0.14263041684355438,0.32111176063399893,0.24888015987871268,0.6120418238902714,3327,0.15428288902828993
2024,588000.SSE,last,30,3,8536,238,0.016258380844639653,0.000493286328578515,0.29597179714710903,1.8661411700969635,7.080638981434725e-05,0.008940139933126472,0.654427717900656,0.006978860430016469,1561,0.0010113007306115768
2024,588000.SSE,last,30,15,8536,238,0.05939521247020897,0.0039413201305423156,0.47295841566507785,1.1172203328287271,0.0011393903919880927,0.03268524333075535,0.5662927600749765,0.03216725097126348,1561,0.004139330278511124
2024,588000.SSE,last,30,30,8536,238,0.09417562576044719,0.007310065341290247,0.4386039204774148,0.8242220517453122,0.0033032642943141423,0.05211810563770231,0.5038386441736957,0.0602090084485257,1561,0.007541337000181318
2024,588000.SSE,last,30,60,8536,238,0.14168474324851935,0.014143743936600922,0.42431231809802766,0.7045603678745083,0.0077911576518472775,0.07882819620035533,0.4169907841299594,0.10571212365855573,1561,0.014510953275477894
2024,588000.SSE,last,30,300,8536,238,0.40278837626030284,0.08985581759905364,0.5391349055943219,0.5538502319951116,0.06580807486833284,0.20050510425944731,0.2716533895657607,0.37218941892593144,1561,0.09530595111568964
2024,588000.SSE,last,60,3,5722,238,0.012003427231434825,0.0003647664724644354,0.43771976695732245,2.5316542025769118,2.6551227999347694e-05,0.0048489196768999295,0.6562587382034254,0.003943537602405085,631,0.0017399950141681858
2024,588000.SSE,last,60,15,5722,238,0.04396056308695168,0.0022282710357713563,0.5347850485851257,1.1530324287098037,0.00044088659476397297,0.017441397518506378,0.5697082896423162,0.01920395047845802,631,0.0031953462241323203
2024,588000.SSE,last,60,30,5722,238,0.06956377409205206,0.003851595222403656,0.4621914266884387,0.7959290706220777,0.001220658475926075,0.02753837754394355,0.5075002912734475,0.035219969209024087,631,0.005007954827239311
2024,588000.SSE,last,60,60,5722,238,0.10422324093907288,0.007291372026408604,0.4374823215845163,0.6712435257656519,0.0027850633154818103,0.04148605305543613,0.4205784690667599,0.06102435548091562,631,0.008812050203597805
2024,588000.SSE,last,60,300,5722,238,0.2918287507374694,0.045797842121810775,0.5495741054617292,0.5377604562641694,0.021444526783586135,0.10862698761543797,0.2764476290341373,0.2207130757999617,631,0.048852494858295986
2024,588000.SSE,mid,15,3,9442,238,0.19137937110703468,0.03955130396234751,11.865391188704253,1.079867722126949,0.01655232725906317,0.13726901326140223,0.9393723081268093,0.12150618650301633,3251,0.03888604751198257
2024,588000.SSE,mid,15,15,9442,238,0.2312481771909379,0.0487947011405827,2.927682068434962,0.9124646033502395,0.024888461713594216,0.1617287717430308,0.7902774835839864,0.14903168550315107,3251,0.04774085968061479
