day,symbol,session,field,delta,grid_points,valid_points,mean_age_seconds
2024-01-02,588000.SSE,am,mid,3,2401,2182,2.0
2024-01-02,588000.SSE,am,mid,15,481,437,2.0
2024-01-02,588000.SSE,am,mid,30,241,219,2.0
2024-01-02,588000.SSE,am,mid,60,121,110,2.0
2024-01-02,588000.SSE,am,mid,300,25,22,2.0
2024-01-02,588000.SSE,am,last,3,2401,2182,2.0
2024-01-02,588000.SSE,am,last,15,481,437,2.0
2024-01-02,588000.SSE,am,last,30,241,219,2.0
2024-01-02,588000.SSE,am,last,60,121,110,2.0
2024-01-02,588000.SSE,am,last,300,25,22,2.0
2024-01-02,588000.SSE,pm,mid,3,2401,2400,2.0
2024-01-02,588000.SSE,pm,mid,15,481,480,2.0
2024-01-02,588000.SSE,pm,mid,30,241,240,2.0
2024-01-02,588000.SSE,pm,mid,60,121,120,2.0
2024-01-02,588000.SSE,pm,mid,300,25,24,2.0
2024-01-02,588000.SSE,pm,last,3,2401,2400,2.0
2024-01-02,588000.SSE,pm,last,15,481,480,2.0
2024-01-02,588000.SSE,pm,last,30,241,240,2.0
2024-01-02,588000.SSE,pm,last,60,121,120,2.0
2024-01-02,588000.SSE,pm,last,300,25,24,2.0
2024-01-02,588080.SSE,am,mid,3,2401,2183,0.005497022446174988
2024-01-02,588080.SSE,am,mid,15,481,437,0.006864988558352402
2024-01-02,588080.SSE,am,mid,30,241,219,0.0
2024-01-02,588080.SSE,am,mid,60,121,110,0.0
2024-01-02,588080.SSE,am,mid,300,25,22,0.0
2024-01-02,588080.SSE,am,last,3,2401,2183,0.005497022446174988
2024-01-02,588080.SSE,am,last,15,481,437,0.006864988558352402
2024-01-02,588080.SSE,am,last,30,241,219,0.0
2024-01-02,588080.SSE,am,last,60,121,110,0.0
2024-01-02,588080.SSE,am,last,300,25,22,0.0
2024-01-02,588080.SSE,pm,mid,3,2401,2401,0.007496876301541024
2024-01-02,588080.SSE,pm,mid,15,481,481,0.012474012474012475
2024-01-02,588080.SSE,pm,mid,30,241,241,0.024896265560165973
2024-01-02,588080.SSE,pm,mid,60,121,121,0.049586776859504134
2024-01-02,588080.SSE,pm,mid,300,25,25,0.0
2024-01-02,588080.SSE,pm,last,3,2401,2401,0.007496876301541024
2024-01-02,588080.SSE,pm,last,15,481,481,0.012474012474012475
2024-01-02,588080.SSE,pm,last,30,241,241,0.024896265560165973
2024-01-02,588080.SSE,pm,last,60,121,121,0.049586776859504134
2024-01-02,588080.SSE,pm,last,300,25,25,0.0
2024-01-03,588000.SSE,am,mid,3,2401,2401,0.0
2024-01-03,588000.SSE,am,mid,15,481,481,0.0
2024-01-03,588000.SSE,am,mid,30,241,241,0.0
2024-01-03,588000.SSE,am,mid,60,121,121,0.0
2024-01-03,588000.SSE,am,mid,300,25,25,0.0
2024-01-03,588000.SSE,am,last,3,2401,2401,0.0
2024-01-03,588000.SSE,am,last,15,481,481,0.0
2024-01-03,588000.SSE,am,last,30,241,241,0.0
2024-01-03,588000.SSE,am,last,60,121,121,0.0
2024-01-03,588000.SSE,am,last,300,25,25,0.0
2024-01-03,588000.SSE,pm,mid,3,2401,2401,0.0
2024-01-03,588000.SSE,pm,mid,15,481,481,0.0
2024-01-03,588000.SSE,pm,mid,30,241,241,0.0
2024-01-03,588000.SSE,pm,mid,60,121,121,0.0
2024-01-03,588000.SSE,pm,mid,300,25,25,0.0
2024-01-03,588000.SSE,pm,last,3,2401,2401,0.0
2024-01-03,588000.SSE,pm,last,15,481,481,0.0
2024-01-03,588000.SSE,pm,last,30,241,241,0.0
2024-01-03,588000.SSE,pm,last,60,121,121,0.0
2024-01-03,588000.SSE,pm,last,300,25,25,0.0
2024-01-03,588080.SSE,am,mid,3,2401,2398,1.0
2024-01-03,588080.SSE,am,mid,15,481,480,1.0
2024-01-03,588080.SSE,am,mid,30,241,240,1.0
2024-01-03,588080.SSE,am,mid,60,121,120,1.0
2024-01-03,588080.SSE,am,mid,300,25,24,1.0
2024-01-03,588080.SSE,am,last,3,2401,2398,1.0
2024-01-03,588080.SSE,am,last,15,481,480,1.0
2024-01-03,588080.SSE,am,last,30,241,240,1.0
2024-01-03,588080.SSE,am,last,60,121,120,1.0
2024-01-03,588080.SSE,am,last,300,25,24,1.0
2024-01-03,588080.SSE,pm,mid,3,2401,2399,1.0
2024-01-03,588080.SSE,pm,mid,15,481,480,1.0
2024-01-03,588080.SSE,pm,mid,30,241,240,1.0
2024-01-03,588080.SSE,pm,mid,60,121,120,1.0
