timestamp,bar_open_time,open,high,low,close,lowpass_known_at_open,event,signal_close_time
2025-04-01 09:35:00,2025-04-01 09:30:00,1027.96,1030.09,1026.38,1029.1,1022.9749834331051,0,
2025-04-01 09:40:00,2025-04-01 09:35:00,1029.51,1029.61,1026.47,1027.3,1023.6548162735231,0,
2025-04-01 09:45:00,2025-04-01 09:40:00,1027.12,1027.14,1023.6,1025.23,1024.7104696741837,0,
2025-04-01 09:50:00,2025-04-01 09:45:00,1025.18,1027.14,1024.02,1026.87,1025.0718353031243,0,
2025-04-01 09:55:00,2025-04-01 09:50:00,1026.8,1026.8,1024.7,1026.61,1025.2992683700713,0,
2025-04-01 10:00:00,2025-04-01 09:55:00,1026.67,1029.17,1025.54,1028.74,1025.6343052521415,0,
2025-04-01 10:05:00,2025-04-01 10:00:00,1028.81,1029.43,1027.01,1029.14,1026.108629607325,0,
2025-04-01 10:10:00,2025-04-01 10:05:00,1029.19,1030.79,1028.58,1030.75,1026.7667122798332,0,
2025-04-01 10:15:00,2025-04-01 10:10:00,1030.79,1034.79,1030.3,1034.69,1027.5052643953386,0,
2025-04-01 10:20:00,2025-04-01 10:15:00,1034.78,1036.22,1034.1,1035.4,1028.7158016544631,0,
2025-04-01 10:25:00,2025-04-01 10:20:00,1035.37,1037.32,1034.17,1035.39,1030.1849575949013,0,
2025-04-01 10:30:00,2025-04-01 10:25:00,1035.47,1035.67,1033.36,1034.17,1031.3948486912561,0,
2025-04-01 10:35:00,2025-04-01 10:30:00,1034.1,1034.38,1032.63,1034.24,1032.181450418741,0,
2025-04-01 10:40:00,2025-04-01 10:35:00,1034.12,1035.28,1031.82,1035.28,1032.6519219312197,0,
2025-04-01 10:45:00,2025-04-01 10:40:00,1035.36,1035.36,1033.42,1033.85,1033.1420007499426,0,
2025-04-01 10:50:00,2025-04-01 10:45:00,1033.8,1034.23,1033.0,1033.62,1033.4728620241317,0,
2025-04-01 10:55:00,2025-04-01 10:50:00,1033.74,1033.9,1032.49,1032.96,1033.5338470338777,0,
2025-04-01 11:00:00,2025-04-01 10:55:00,1032.95,1033.07,1030.29,1030.29,1033.477093010434,-1,2025-04-01 10:55:00
2025-04-01 11:05:00,2025-04-01 11:00:00,1030.38,1030.89,1029.73,1030.0,1033.0456630863296,0,
2025-04-01 11:10:00,2025-04-01 11:05:00,1029.9,1029.95,1029.17,1029.88,1032.3700264224726,0,
2025-04-01 11:15:00,2025-04-01 11:10:00,1029.84,1030.47,1028.96,1030.47,1031.804113136218,0,
2025-04-01 11:20:00,2025-04-01 11:15:00,1030.59,1033.3,1030.59,1032.8,1031.4248228067463,0,
