,RZ48,QZ48,beta,symbol,year,previous_state
count,39770.0,39770.0,39770.0,39770,39770.0,39770
unique,,,,2,,3
top,,,,000688.SH,,NORMAL
freq,,,,19885,,34505
mean,0.8121813779772892,0.7765653934569389,0.8471524693396717,,2024.501030927835,
std,0.7959289781131359,0.760752153130711,0.32521197769531746,,0.500005223437192,
min,7.6671509780812e-06,3.403568305833363e-05,0.09552799286200063,,2024.0,
25%,0.275786967314946,0.26443877475413924,0.635986097995218,,2024.0,
50%,0.598534055727024,0.5684378059933409,0.8073954152765431,,2025.0,
75%,1.091602869606675,1.0389834666624687,0.9906739967638473,,2025.0,
max,16.448916835115686,11.604225230756668,2.7623791119705405,,2025.0,
