year,block,gain,n
2024,0,0.27726842033529037,1640
2024,1,-0.0030143139853677763,1640
2024,2,0.056277702270144683,1640
2024,3,0.38553154324326072,1640
2024,4,0.10210950901933737,1640
2024,5,0.0028358995187903356,1640
2024,6,0.18308967688062983,1640
2024,7,0.26027222304449604,1640
2024,8,0.077292430868862477,1640
2024,9,0.11291745192292121,1640
2024,10,0.54278148431669382,1640
2024,11,-0.12159540779490294,1640
2024,12,-0.036890686477448781,164
2025,0,-0.11542046758505534,1640
2025,1,-0.15785974054031515,1640
2025,2,0.17341570606527276,1640
2025,3,0.39828398168805024,1640
2025,4,-0.36918611133539725,1640
2025,5,0.035258620662324984,1640
2025,6,0.14925570540522054,1640
2025,7,-0.22119553895459768,1640
2025,8,-0.094996261834286791,1640
2025,9,0.32170010777223407,1640
2025,10,0.24202559949951014,1640
2025,11,0.4751159653894203,1640
2025,12,0.11786201837992888,246
