trading_day,eff_1d,fast_share_1d,slow_work_velocity_5d,threshold_work_amplitude_5d,pnl_log,year,eligible,day_index,stage
2021-01-04,0.42159229078114968,0.88034011225167019,0.68484709997986393,1.1619057140644873,0.015262437476855926,2021,True,0,0
2021-01-05,0.023563746291568793,0.96048694596645834,0.68309383521875378,1.1976555994514444,-0.0036741790402074247,2021,True,1,0
2021-01-06,0.13510659106000414,0.92477237765219733,0.703336400341525,1.2866649201479385,0.0022100750774153872,2021,True,2,0
2021-01-07,0.33172784429774155,0.81807540034422921,0.54712361346543603,1.1258044324942631,0.0012733986969411977,2021,True,3,0
2021-01-08,0.018594284778088485,0.91595801791982234,0.38920831049888843,1.0862241205090248,-0.044349257383303156,2021,True,4,0
2021-01-11,0.090613245334450601,0.92207203394407455,0.28416384601350886,1.051858793015233,0.018871156015980543,2021,True,5,1
2021-01-12,0.1612287476042604,0.90828866420813825,0.29875306358798198,1.0935661407733401,-0.011905432080801697,2021,True,6,1
2021-01-13,0.022395677092676987,0.93077026166519716,0.32360789285417013,1.081117249819268,-0.026080506077082677,2021,True,7,1
2021-01-14,0.23387186213406569,0.76394247498015422,0.33441789451505943,0.84724588001514622,0.029492895319975562,2021,True,8,1
2021-01-15,0.0028228873445984401,0.85711413607675468,0.33062723909288,0.81824125850206264,-0.0013308398159896594,2021,True,9,1
2021-01-18,0.24669292641191198,0.87297336339346432,0.34121693972447226,0.82190205615708034,-0.0097213488810808987,2021,True,10,2
2021-01-19,0.35931607770999668,0.87447043983719841,0.32759390229490903,0.77776487809940886,0.013886820031034081,2021,True,11,2
2021-01-20,0.36094561462579272,0.77369477913424911,0.28726978936340603,0.73756314012392687,0.0098921429044920555,2021,True,12,2
2021-01-21,0.032667285475556217,0.87260651775112141,0.21810873565395603,0.85769765462649827,0.00035488648056131264,2021,True,13,2
2021-01-22,0.046573196295113355,0.84987717260305351,0.21382528652126159,0.83857614239704081,0.023362466491259563,2021,True,14,2
2021-01-25,0.086839725670975171,0.87916011016921813,0.15687988371229672,0.84320365456068069,0.0050718987076897298,2021,True,15,3
2021-01-26,0.18113550395057207,0.91426674460235124,0.24499727526329662,0.88857727110539209,-0.0041960688821198727,2021,True,16,3
2021-01-27,0.167807587650183,0.80950981358336105,0.29334401595637571,0.9482793352556852,-0.0027660236787609739,2021,True,17,3
2021-01-28,0.35400564687267361,0.9465348565067746,0.35991448974701923,1.0486655642305993,0.015886809706058921,2021,True,18,3
2021-01-29,0.00012572790769370005,0.89951865903592865,0.32356192007548745,1.0313399116864932,-0.0089636602239557932,2021,True,19,3
2021-02-01,0.015879650211239865,0.91853871958021971,0.33801910408075686,1.049937444975902,-0.0066765503474276048,2021,True,20,4
2021-02-02,0.21811607736074662,0.78814631213995701,0.29439562428405552,1.0494491431596267,0.001468446201992771,2021,True,21,4
