year,stage,first,last,days,n_trades,eligible,win_rate,mean_trade_log,marked_log_pnl,eff_1d,fast_share_1d,slow_work_velocity_5d,threshold_work_amplitude_5d
2021,0,2021-01-04,2021-01-08,5,17,True,0.17647058823529413,-0.0028107233136395278,-0.02927752517229807,0.18611695144171053,0.89992657082687555,0.60152185190089336,1.1716509573334315
2021,1,2021-01-11,2021-01-15,5,18,True,0.5,0.00037052578100470082,0.009047273362082069,0.10218648390201042,0.87643751417486371,0.31431398721272003,0.97840586442500999
2021,2,2021-01-18,2021-01-22,5,12,True,0.5,0.0023564444298520681,0.037774967026266114,0.20923902010367418,0.84872445454381729,0.27760293071160091,0.80670077428079101
2021,3,2021-01-25,2021-01-29,5,16,True,0.4375,0.00099326142492954408,0.0050329556289120114,0.15798283841041952,0.88979803677952662,0.27573951695089516,0.9520131473677701
2021,4,2021-02-01,2021-02-05,5,13,True,0.46153846153846156,0.00089338623797127694,0.028390289696901549,0.16451375501751123,0.88413927004342485,0.30169100891210532,0.99580144632166478
2021,5,2021-02-08,2021-02-19,5,11,True,0.45454545454545453,0.002493837798977409,0.020125395988518063,0.17519963105125852,0.88744593007988237,0.35759698626655745,1.0760419114834288
2021,6,2021-02-22,2021-02-26,5,17,True,0.41176470588235292,-0.00049947925447997566,-0.018947783923115878,0.21054320814351679,0.89694739827220205,0.42196856441477193,1.1815378728345023
2021,7,2021-03-01,2021-03-05,5,14,True,0.42857142857142855,1.5853020166455291e-06,2.2194228233032853e-05,0.22358257135050102,0.88008976241291792,0.38435163961017987,1.1899083534729484
2021,8,2021-03-08,2021-03-12,5,17,True,0.23529411764705882,-0.00047393462652254838,-0.0083026931265556478,0.25580805233865384,0.88263907519307749,0.55103418755710309,0.93391896884981951
2021,9,2021-03-15,2021-03-19,5,16,True,0.25,-0.0021939175877720763,-0.033271646067611946,0.16864236332993124,0.91674748547089102,0.28220423939203643,1.3432578155177504
2021,10,2021-03-22,2021-03-26,5,12,True,0.33333333333333331,-0.00064042193140825181,0.0080061178733426032,0.22417224006653153,0.88244122902639854,0.19666064677314826,1.1228224427529554
2021,11,2021-03-29,2021-04-02,5,18,True,0.27777777777777779,0.00042777067878934006,-0.009107357638015668,0.16154372834686109,0.90588087920888893,0.42167747302510855,1.0807549482111682
2021,12,2021-04-06,2021-04-12,5,19,True,0.10526315789473684,-0.0026072405278568874,-0.030517463756819914,0.17640275762732954,0.89458169029528334,0.45622463094856724,1.0333202464178213
2021,13,2021-04-13,2021-04-19,5,15,True,0.26666666666666666,-0.00057502829769437924,-0.025981604539434551,0.18275196386788933,0.89734002492098841,0.41961854743286492,1.098307916515584
2021,14,2021-04-20,2021-04-26,5,17,True,0.47058823529411764,-0.0002769016809192012,-0.0068404368291553122,0.13086820249199269,0.88614941819574944,0.4186651869536181,0.99812048445445678
2021,15,2021-04-27,2021-05-06,5,15,True,0.26666666666666666,-0.0016221382261495882,-0.026001071199961479,0.085695605864613333,0.89446458210543445,0.25842829960341246,0.94067759671973072
2021,16,2021-05-07,2021-05-13,5,13,True,0.38461538461538464,0.003237687316148014,0.045864683017642349,0.19812878591659711,0.90585971022998435,0.5585570568658027,1.1580337253936843
2021,17,2021-05-14,2021-05-20,5,14,True,0.21428571428571427,0.00097615581881998928,0.011613063140302587,0.18979824802107154,0.90012700979178706,0.56506655370938397,1.0760324292354808
2021,18,2021-05-21,2021-05-27,5,13,True,0.38461538461538464,0.0024655230325449297,0.032643469889244554,0.2996867195281126,0.87284477494613311,0.49528477884816285,1.0592432549498461
2021,19,2021-05-28,2021-06-03,5,11,True,0.45454545454545453,0.0015429673572264462,0.027405998308680377,0.28861036029902715,0.83879201666167003,0.4841183653121095,0.82499926053436956
2021,20,2021-06-04,2021-06-10,5,17,True,0.52941176470588236,-0.0001789290349863738,-0.013974628127466004,0.14076535992447101,0.87570261409048666,0.15614652584528263,0.98607388857860356
2021,21,2021-06-11,2021-06-18,5,16,True,0.375,0.0020634650309775391,0.034204141036255784,0.22750072857707856,0.86687858789117145,0.2646793421405772,0.98070191918911986
2021,22,2021-06-21,2021-06-25,5,18,True,0.27777777777777779,-0.0012473290493143416,-0.014233113608710697,0.1938274783818203,0.86526797802449418,0.46847826390421937,0.99660163314959394
2021,23,2021-06-28,2021-07-02,5,19,True,0.21052631578947367,-0.0012635013993909389,-0.030468732512125504,0.15859251587672668,0.86993817057804446,0.3368065159315472,0.88795692888658984
2021,24,2021-07-05,2021-07-09,5,20,True,0.25,-0.0030579600950585125,-0.064249330886510733,0.24119450234597178,0.85577767342285738,0.18715649121425737,0.91183303056250842
2021,25,2021-07-12,2021-07-16,5,16,True,0.375,-0.0015518772779112354,-0.022479351275787665,0.15915996721011155,0.9149079184748633,0.26369869750319569,1.1326008387316098
2021,26,2021-07-19,2021-07-23,5,13,True,0.38461538461538464,0.00015816846405728512,-0.0014207438892788297,0.17880522023571807,0.90461381624245407,0.41686601499863007,1.2132509690802116
2021,27,2021-07-26,2021-07-30,5,10,True,0.69999999999999996,0.016523053332936175,0.16993701223307678,0.11965061738423617,0.86978319048826624,0.22216751849586477,0.79402381690476931
2021,28,2021-08-02,2021-08-06,5,18,True,0.27777777777777779,-0.0024199505599893489,-0.046754924806827997,0.14321952320827552,0.91038726578187501,0.16748103662349872,1.1289584525835348
2021,29,2021-08-09,2021-08-13,5,17,True,0.35294117647058826,-0.00096420327962954647,-0.0046894115232944903,0.12711917140526824,0.88352430351588429,0.1680996769532444,1.0976072858761607
2021,30,2021-08-16,2021-08-20,5,15,True,0.53333333333333333,0.00095837101215973499,0.0035792973022214548,0.15978439758745794,0.92220529149623842,0.32618107085151699,1.1239914789404994
2021,31,2021-08-23,2021-08-27,5,15,True,0.26666666666666666,0.00071896913519252305,0.018818014422374556,0.29166173929770961,0.87411596757875587,0.39175019286262264,1.0588408805254925
2021,32,2021-08-30,2021-09-03,5,12,True,0.58333333333333337,0.0051603456688087577,0.053321281904110777,0.18037422833528513,0.87290975169873408,0.60269932228264955,0.99318965490064559
2021,33,2021-09-06,2021-09-10,5,9,True,0.33333333333333331,-0.0021656009430917138,-0.0066298330776555893,0.22756033953719296,0.91477986018042645,0.33041932733751167,1.0657439954528634
2021,34,2021-09-13,2021-09-17,5,8,True,0.75,0.0059276203080206903,0.044747435765331522,0.27200988744722315,0.89440100958374791,0.37982255907926554,0.97360482561183248
2021,35,2021-09-22,2021-09-28,5,13,True,0.38461538461538464,-0.0017062488757579809,-0.024901515429534997,0.10370573213302144,0.90639539161556881,0.34627386961931184,1.0900677705683577
2021,36,2021-09-29,2021-10-12,5,11,True,0.36363636363636365,0.0021662408581052291,0.015641077723913398,0.23171385061681388,0.8668167960886386,0.22198815685755893,1.1695815756908732
2021,37,2021-10-13,2021-10-19,5,12,True,0.41666666666666669,0.0014552982876400937,0.022665676419587687,0.19977343846996978,0.90728337712432627,0.33531507997230042,0.99242630325382564
