trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped,exit_day,year,outcome,trading_day,day_index,stage
0,0,31,2021-01-04 09:37:00,2021-01-04 13:47:00,1,32,0.018533799367737181,0.022528206889709204,0,0.0039944075219720231,False,False,True,2021-01-04,2021,1,2021-01-04,0,0
1,32,41,2021-01-04 13:52:00,2021-01-04 14:37:00,-1,10,-0.0029410958128806741,0,-0.0029410958128806741,0.0029410958128806741,True,False,False,2021-01-04,2021,-1,2021-01-04,0,0
2,42,48,2021-01-04 14:42:00,2021-01-05 09:47:00,1,7,-0.0013428247030534083,0,-0.0076167738983375045,0.0013428247030534083,True,False,False,2021-01-05,2021,-1,2021-01-05,1,0
3,49,53,2021-01-05 09:52:00,2021-01-05 10:12:00,-1,5,-0.00074545521930235407,0.0022044513471777983,-0.0024242095426518203,0.0029499065664801523,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
4,54,59,2021-01-05 10:17:00,2021-01-05 10:42:00,1,6,-0.0019280709085289739,0.0015032843265137806,-0.0023648659670084627,0.0034313552350427544,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
5,60,71,2021-01-05 10:47:00,2021-01-05 13:17:00,-1,12,-0.001463984833328642,0.0051692109906540801,-0.001463984833328642,0.006633195823982722,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
6,72,98,2021-01-05 13:22:00,2021-01-06 10:07:00,1,27,-0.00097105831868957572,0.007392673962032306,-0.0019430605082658538,0.008363732280721882,False,True,False,2021-01-06,2021,-1,2021-01-06,2,0
7,99,135,2021-01-06 10:12:00,2021-01-06 14:47:00,-1,37,0.0041552234573438169,0.0083703794424923161,-0.00042231513782774578,0.0042151559851484992,False,False,False,2021-01-06,2021,1,2021-01-06,2,0
8,136,142,2021-01-06 14:52:00,2021-01-07 09:57:00,1,7,-0.0072084145060278444,0.00050180048476651919,-0.0072084145060278444,0.0077102149907943632,False,True,False,2021-01-07,2021,-1,2021-01-07,3,0
9,143,161,2021-01-07 10:02:00,2021-01-07 13:07:00,-1,19,0.009278236392407985,0.013910125411663855,0,0.0046318890192558696,False,False,False,2021-01-07,2021,1,2021-01-07,3,0
10,162,165,2021-01-07 13:12:00,2021-01-07 13:27:00,1,4,-0.0053541766800372405,0,-0.0053541766800372405,0.0053541766800372405,True,False,False,2021-01-07,2021,-1,2021-01-07,3,0
11,166,179,2021-01-07 13:32:00,2021-01-07 14:37:00,-1,14,0.0030972995778104284,0.0092551917713626867,0,0.0061578921935522583,False,False,False,2021-01-07,2021,1,2021-01-07,3,0
12,180,186,2021-01-07 14:42:00,2021-01-08 09:47:00,1,7,-0.0088378898542977157,0.0019622543975543905,-0.0088378898542977157,0.010800144251852106,False,True,False,2021-01-08,2021,-1,2021-01-08,4,0
13,187,196,2021-01-08 09:52:00,2021-01-08 10:37:00,-1,10,-0.01163167297485047,0,-0.01163167297485047,0.01163167297485047,True,False,False,2021-01-08,2021,-1,2021-01-08,4,0
14,197,204,2021-01-08 10:42:00,2021-01-08 11:17:00,1,8,-0.0066207398453906226,0,-0.0066207398453906226,0.0066207398453906226,True,False,False,2021-01-08,2021,-1,2021-01-08,4,0
15,205,213,2021-01-08 11:22:00,2021-01-08 13:37:00,-1,9,-0.0055142930534795489,0.0027394083692991594,-0.0055142930534795489,0.0082537014227787083,False,True,False,2021-01-08,2021,-1,2021-01-08,4,0
16,214,220,2021-01-08 13:42:00,2021-01-08 14:12:00,1,7,-0.0063440659325801532,0,-0.0063440659325801532,0.0063440659325801532,True,False,False,2021-01-08,2021,-1,2021-01-08,4,0
17,221,226,2021-01-08 14:17:00,2021-01-08 14:42:00,-1,6,-0.0034093131169869802,0.0015230408371666524,-0.0045262588944279952,0.0049323539541536324,False,True,False,2021-01-08,2021,-1,2021-01-08,4,0
18,227,254,2021-01-08 14:47:00,2021-01-11 13:12:00,1,28,0.012376020703362526,0.020954679611662679,-2.9028208163280186e-05,0.0085786589083001533,False,False,False,2021-01-11,2021,1,2021-01-11,5,1
19,255,271,2021-01-11 13:17:00,2021-01-11 14:37:00,-1,17,0.0040795569072851557,0.011628834405220863,-0.00043713341506064593,0.0075492774979357075,False,False,False,2021-01-11,2021,1,2021-01-11,5,1
20,272,278,2021-01-11 14:42:00,2021-01-12 09:47:00,1,7,-0.0039300715090460816,0.0036063775634887479,-0.005426834226249495,0.0075364490725348295,False,True,False,2021-01-12,2021,-1,2021-01-12,6,1
21,279,281,2021-01-12 09:52:00,2021-01-12 10:02:00,-1,3,-0.0077085401952088333,0,-0.0077085401952088333,0.0077085401952088333,True,False,False,2021-01-12,2021,-1,2021-01-12,6,1
22,282,299,2021-01-12 10:07:00,2021-01-12 13:07:00,1,18,0.0031855025845525468,0.0062041412095691683,0,0.0030186386250166215,False,False,False,2021-01-12,2021,1,2021-01-12,6,1
23,300,303,2021-01-12 13:12:00,2021-01-12 13:27:00,-1,4,-0.0022701809474331243,0,-0.002298703887009276,0.0022701809474331243,True,False,False,2021-01-12,2021,-1,2021-01-12,6,1
24,304,315,2021-01-12 13:32:00,2021-01-12 14:27:00,1,12,0.0013539419588333302,0.003452489041053742,-0.00073474602851041006,0.002098547082220412,False,False,False,2021-01-12,2021,1,2021-01-12,6,1
25,316,323,2021-01-12 14:32:00,2021-01-13 09:42:00,-1,8,-0.0076685261921220884,0.00099033540563155022,-0.0076685261921220884,0.0086588615977536386,False,True,False,2021-01-13,2021,-1,2021-01-13,7,1
26,324,330,2021-01-13 09:47:00,2021-01-13 10:17:00,1,7,-0.010128359094401513,0,-0.010128359094401513,0.010128359094401513,True,False,False,2021-01-13,2021,-1,2021-01-13,7,1
27,331,343,2021-01-13 10:22:00,2021-01-13 11:22:00,-1,13,-0.0077581783817983804,0,-0.0077581783817983804,0.0077581783817983804,True,False,False,2021-01-13,2021,-1,2021-01-13,7,1
28,344,349,2021-01-13 11:27:00,2021-01-13 13:27:00,1,6,-0.0062459123342846088,0,-0.0062459123342846088,0.0062459123342846088,True,False,False,2021-01-13,2021,-1,2021-01-13,7,1
29,350,360,2021-01-13 13:32:00,2021-01-13 14:22:00,-1,11,0.0012553048971978736,0.0078213448771510298,0,0.006566039979953156,False,False,False,2021-01-13,2021,1,2021-01-13,7,1
30,361,373,2021-01-13 14:27:00,2021-01-14 10:02:00,1,13,0.0040242362863812933,0.015410524157367735,-0.00025696115031592767,0.011386287870986441,False,False,False,2021-01-14,2021,1,2021-01-14,8,1
31,374,379,2021-01-14 10:07:00,2021-01-14 10:32:00,-1,6,-0.010472262439632445,0.0044454016356959229,-0.010472262439632445,0.014917664075328367,False,True,False,2021-01-14,2021,-1,2021-01-14,8,1
32,380,400,2021-01-14 10:37:00,2021-01-14 13:52:00,1,21,0.028937894434463506,0.03860151373018042,0,0.0096636192957169145,False,False,False,2021-01-14,2021,1,2021-01-14,8,1
33,401,417,2021-01-14 13:57:00,2021-01-15 09:52:00,-1,17,0.0046439075773067823,0.011318658291759294,-0.0031384989635459635,0.006674750714452512,False,False,False,2021-01-15,2021,1,2021-01-15,9,1
34,418,435,2021-01-15 09:57:00,2021-01-15 11:22:00,1,18,-0.0021993287169529241,0.005395314793381515,-0.0034936935918029573,0.0075946435103344395,False,True,False,2021-01-15,2021,-1,2021-01-15,9,1
35,436,449,2021-01-15 11:27:00,2021-01-15 14:07:00,-1,14,0.0051944585195816007,0.014365902544145499,0,0.0091714440245638986,False,False,False,2021-01-15,2021,1,2021-01-15,9,1
36,450,462,2021-01-15 14:12:00,2021-01-18 09:47:00,1,13,-0.0046794332815328372,0.0054558820409315936,-0.0046794332815328372,0.010135315322464431,False,True,False,2021-01-18,2021,-1,2021-01-18,10,2
37,463,465,2021-01-18 09:52:00,2021-01-18 10:02:00,-1,3,-0.015794174167294173,0,-0.015794174167294173,0.015794174167294173,True,False,False,2021-01-18,2021,-1,2021-01-18,10,2
38,466,494,2021-01-18 10:07:00,2021-01-18 14:02:00,1,29,0.013114541044096671,0.021303317549448562,-0.0005199638879086506,0.0081887765053518906,False,False,False,2021-01-18,2021,1,2021-01-18,10,2
39,495,535,2021-01-18 14:07:00,2021-01-19 13:37:00,-1,41,0.010511947229123937,0.015326257189055937,-0.00308706711148936,0.0048143099599319995,False,False,False,2021-01-19,2021,1,2021-01-19,11,2
40,536,539,2021-01-19 13:42:00,2021-01-19 13:57:00,1,4,-0.0059185738334307124,0,-0.0059185738334307124,0.0059185738334307124,True,False,False,2021-01-19,2021,-1,2021-01-19,11,2
41,540,555,2021-01-19 14:02:00,2021-01-20 09:52:00,-1,16,0.0030585162214419232,0.0094254134027520337,0,0.0063668971813101109,False,False,False,2021-01-20,2021,1,2021-01-20,12,2
42,556,573,2021-01-20 09:57:00,2021-01-20 11:22:00,1,18,0.011225843966780061,0.017191148977483681,0,0.0059653050107036192,False,False,False,2021-01-20,2021,1,2021-01-20,12,2
43,574,584,2021-01-20 11:27:00,2021-01-20 13:52:00,-1,11,-0.0018497240889325992,0.0040992469372762037,-0.0018497240889325992,0.0059489710262088033,False,True,False,2021-01-20,2021,-1,2021-01-20,12,2
44,585,602,2021-01-20 13:57:00,2021-01-21 09:57:00,1,18,-0.00056407522045338085,0.0094063129090274748,-0.00056407522045338085,0.009970388129480855,False,True,False,2021-01-21,2021,-1,2021-01-21,13,2
45,603,609,2021-01-21 10:02:00,2021-01-21 10:32:00,-1,7,-0.0036100142348463645,0.0030706093511197927,-0.0036100142348463645,0.0066806235859661577,False,True,False,2021-01-21,2021,-1,2021-01-21,13,2
46,610,632,2021-01-21 10:37:00,2021-01-21 14:02:00,1,23,0.0078736048636398118,0.010001700887294835,-0.0014302323684429708,0.0021280960236550236,False,False,False,2021-01-21,2021,1,2021-01-21,13,2
47,633,664,2021-01-21 14:07:00,2021-01-22 11:17:00,-1,32,0.014908874659632478,0.021142494012998666,0,0.006233619353366188,False,False,False,2021-01-22,2021,1,2021-01-22,14,2
48,665,693,2021-01-22 11:22:00,2021-01-25 09:52:00,1,29,0.0055643373868431,0.011846414963875474,0,0.0062820775770323738,False,False,False,2021-01-25,2021,1,2021-01-25,15,3
49,694,697,2021-01-25 09:57:00,2021-01-25 10:12:00,-1,4,-0.0076966860001453658,0.00157500660524485,-0.0079053397467419191,0.0092716926053902152,False,True,False,2021-01-25,2021,-1,2021-01-25,15,3
50,698,723,2021-01-25 10:17:00,2021-01-25 13:57:00,1,26,0.014428644646242089,0.017264417008195199,0,0.0028357723619531101,False,False,False,2021-01-25,2021,1,2021-01-25,15,3
51,724,740,2021-01-25 14:02:00,2021-01-26 09:57:00,-1,17,-0.00089532942495447508,0.010330856417045694,-0.0012863699622824366,0.011226185842000169,False,True,False,2021-01-26,2021,-1,2021-01-26,16,3
52,741,745,2021-01-26 10:02:00,2021-01-26 10:22:00,1,5,-0.0072252438307683978,0,-0.0072252438307683978,0.0072252438307683978,True,False,False,2021-01-26,2021,-1,2021-01-26,16,3
53,746,777,2021-01-26 10:27:00,2021-01-26 14:37:00,-1,32,0.010369812001684976,0.016358603488072682,0,0.0059887914863877064,False,False,False,2021-01-26,2021,1,2021-01-26,16,3
54,778,784,2021-01-26 14:42:00,2021-01-27 09:47:00,1,7,-0.0060430913574388021,0.0034685658425952825,-0.0060430913574388021,0.0095116572000340845,False,True,False,2021-01-27,2021,-1,2021-01-27,17,3
55,785,794,2021-01-27 09:52:00,2021-01-27 10:37:00,-1,10,0.0083359659884377525,0.020358420236409422,0,0.012022454247971669,False,False,False,2021-01-27,2021,1,2021-01-27,17,3
56,795,819,2021-01-27 10:42:00,2021-01-27 14:17:00,1,25,-0.0043350983953879142,0.0014773172968138065,-0.0043350983953879142,0.0058124156922017209,False,True,False,2021-01-27,2021,-1,2021-01-27,17,3
57,820,834,2021-01-27 14:22:00,2021-01-28 10:07:00,-1,15,-0.0023550828812675391,0.011275183308041703,-0.0034449190681955528,0.013630266189309242,False,True,False,2021-01-28,2021,-1,2021-01-28,18,3
58,835,839,2021-01-28 10:12:00,2021-01-28 10:32:00,1,5,-0.0055705086656408472,0.0001714366048779636,-0.0055705086656408472,0.0057419452705188105,False,True,False,2021-01-28,2021,-1,2021-01-28,18,3
59,840,876,2021-01-28 10:37:00,2021-01-29 09:47:00,-1,37,0.015281264948868408,0.021265311349138699,-0.0011785830111349389,0.0059840464002702907,False,False,False,2021-01-29,2021,1,2021-01-29,19,3
60,877,881,2021-01-29 09:52:00,2021-01-29 10:12:00,1,5,-0.0070342408532316361,0.0025945794169968889,-0.0070342408532316361,0.0096288202702285251,False,True,False,2021-01-29,2021,-1,2021-01-29,19,3
61,882,891,2021-01-29 10:17:00,2021-01-29 11:02:00,-1,10,-0.0047066856272099302,0.0056362879089312118,-0.0056607971482252363,0.010342973536141142,False,True,False,2021-01-29,2021,-1,2021-01-29,19,3
62,892,900,2021-01-29 11:07:00,2021-01-29 13:22:00,1,9,0.0013326975767444433,0.0086587888332389125,0,0.0073260912564944696,False,False,False,2021-01-29,2021,1,2021-01-29,19,3
63,901,918,2021-01-29 13:27:00,2021-01-29 14:52:00,-1,18,0.0064414272860968402,0.01769344378300744,0,0.0112520164969106,False,False,False,2021-01-29,2021,1,2021-01-29,19,3
