label,fee_bps,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp
V1,0.0,316,27.27166182945859,-36.0662804791212,0.4272151898734177,1.2804538827393992,661.4715189873418,0.0,0.6369979193400552,0.9050744756548295,0.1434034968956075,0.368693901360306,8617.845138108914
V1,2.0,316,23.26358630248332,-40.05834856060597,0.4272151898734177,1.2337809018653476,661.4715189873418,0.0,0.5368804429054416,0.6789136324509615,0.11375091520256486,0.3814362412429978,7351.293271584729
V1_design,2.0,193,-2.609569047724303,-39.65246049620785,0.42487046632124353,0.9724902795790344,629.0259067357513,0.0,-0.07001773346158865,-0.1012778113862638,-0.03633697607944686,0.27177591569542225,-503.64682621079055
V1_repeat,2.0,123,63.86130160809367,-54.43544690725277,0.43089430894308944,1.5979127922334042,712.3821138211382,0.0,1.1432498274660317,0.8681119190354678,0.3836224013644747,0.20298885153410617,7854.940097795521
V1,4.0,316,19.257113364682976,-44.04882045333458,0.4272151898734177,1.1892063884628925,661.4715189873418,0.0,0.43739755086697985,0.4796014425341817,0.08486732859891344,0.41619392317196535,6085.24782323982
V1,7.0,316,13.250406710759037,-50.03153753203871,0.4208860759493671,1.1259727177193508,661.4715189873418,0.0,0.28940174449562456,0.22410679826690916,0.04294032694005989,0.4809534075337941,4187.128520599856
V2,0.0,189,63.33624054671696,2.459923742363923,0.5026455026455027,1.7837688420990057,645.7037037037037,0.0,1.1267427910262924,1.8434013738565973,0.24268882110799872,0.19993191180791747,11970.549463329506
V2,2.0,189,59.315567711198476,-1.5392764176036522,0.49206349206349204,1.7164196021299327,645.7037037037037,0.0,1.0512163340338043,1.6365163809150562,0.22332257339883532,0.20885750942673242,11210.642297416513
V2_design,2.0,117,26.3153120226957,9.419357850046772,0.5042735042735043,1.3258341203136512,644.8376068376068,0.0,0.6840189425140681,0.31978409297634625,0.10095587919566973,0.12795627559264422,3078.891506655397
V2_repeat,2.0,72,112.94098320501548,-23.87449057157043,0.4722222222222222,2.311807419520795,647.1111111111111,0.0,1.444418299199001,0.9976876482646864,0.43268401382499966,0.1454122682611202,8131.750790761115
V2,4.0,189,55.29650250176367,-5.536877537124507,0.49206349206349204,1.652038110086855,645.7037037037037,0.0,0.9759022779465887,1.444684301777908,0.20425813489806632,0.21768353995299106,10451.038972833334
V2,7.0,189,49.27091687798526,-11.530283112837214,0.48148148148148145,1.560880356353959,645.7037037037037,0.0,0.8633615460546696,1.1827864619366357,0.17621709729595558,0.2307383250346977,9312.203289939214
