entry_i,exit_i,side,entry_time,exit_time,entry,exit,bars,gross_bp,net_bp,forced_year_end,year
0,517,1,2021-01-04 09:30:00+08:00,2021-01-06 10:07:00+08:00,1398.96,1412.16,517,94.35580717104264,90.31887223516222,False,2021
757,1207,-1,2021-01-07 10:07:00+08:00,2021-01-11 09:37:00+08:00,1395.75,1395.91,450,-1.1463370947528695,-5.145537254720445,False,2021
1209,2282,1,2021-01-11 09:39:00+08:00,2021-01-15 13:02:00+08:00,1393.02,1438.16,1073,324.04416304145036,319.9153711346159,False,2021
2283,2424,-1,2021-01-15 13:03:00+08:00,2021-01-18 09:54:00+08:00,1437.32,1461.15,141,-165.79467341997668,-169.79387357994423,False,2021
2425,2667,1,2021-01-18 09:55:00+08:00,2021-01-19 09:57:00+08:00,1463.01,1468.2,242,35.47480878463016,31.46142153856557,False,2021
4103,4811,-1,2021-01-27 09:53:00+08:00,2021-02-01 09:41:00+08:00,1453.05,1432.83,708,139.15556931970661,135.15636915973906,False,2021
5522,5722,-1,2021-02-04 09:32:00+08:00,2021-02-04 14:22:00+08:00,1402.02,1402.32,200,-2.139769760773902,-6.138969920741477,False,2021
6474,6492,1,2021-02-09 14:54:00+08:00,2021-02-10 09:42:00+08:00,1432.9,1410.89,18,-153.60457812827133,-157.5423487428973,False,2021
6721,6974,1,2021-02-18 09:31:00+08:00,2021-02-19 09:44:00+08:00,1463.97,1415.26,253,-332.7253973783617,-336.59153399208776,False,2021
6976,7242,-1,2021-02-19 09:46:00+08:00,2021-02-22 10:12:00+08:00,1412.87,1435.19,266,-157.97631770792853,-161.9755178678961,False,2021
7441,8402,-1,2021-02-23 09:31:00+08:00,2021-03-01 09:32:00+08:00,1376.19,1345.82,961,220.68173726011776,216.68253710015017,False,2021
8403,9133,1,2021-03-01 09:33:00+08:00,2021-03-04 09:43:00+08:00,1346.7,1344.86,730,-13.66302814286846,-17.65676418440276,False,2021
9134,10085,-1,2021-03-04 09:44:00+08:00,2021-03-10 09:35:00+08:00,1345.6,1253.9,951,681.4803804994041,677.4811803394365,False,2021
10443,10802,1,2021-03-11 13:03:00+08:00,2021-03-15 09:32:00+08:00,1268.33,1243.12,359,-198.76530555927863,-202.6850154950677,False,2021
10802,11300,-1,2021-03-15 09:32:00+08:00,2021-03-17 09:50:00+08:00,1243.12,1229.63,498,108.51727910418774,104.51807894422016,False,2021
11302,11761,1,2021-03-17 09:52:00+08:00,2021-03-19 09:31:00+08:00,1231.26,1224.72,459,-53.11631986745225,-57.09427774792886,False,2021
11761,12013,-1,2021-03-19 09:31:00+08:00,2021-03-22 09:43:00+08:00,1224.72,1238.33,252,-111.12744137435459,-115.12664153432218,False,2021
12017,13703,1,2021-03-22 09:47:00+08:00,2021-03-31 09:53:00+08:00,1244.92,1239.82,1686,-40.96648780644641,-44.94930464795544,False,2021
13704,13924,-1,2021-03-31 09:54:00+08:00,2021-04-01 09:34:00+08:00,1239.79,1255.38,220,-125.74710233184794,-129.74630249181553,False,2021
13927,14649,1,2021-04-01 09:37:00+08:00,2021-04-07 09:39:00+08:00,1255.22,1289.55,722,273.49787288283966,269.3892954491739,False,2021
14651,15620,-1,2021-04-07 09:41:00+08:00,2021-04-13 09:50:00+08:00,1289.1,1254.22,969,270.5763711116271,266.57717095165845,False,2021
15854,17057,1,2021-04-14 09:44:00+08:00,2021-04-21 09:47:00+08:00,1257.43,1280.51,1203,183.5489848341454,179.47637976122533,False,2021
17059,17282,-1,2021-04-21 09:49:00+08:00,2021-04-22 09:32:00+08:00,1280.52,1297.72,223,-134.3204323243685,-138.3196324843361,False,2021
17283,18003,1,2021-04-22 09:33:00+08:00,2021-04-27 09:33:00+08:00,1297.25,1306.86,720,74.0797841587959,70.05095801036143,False,2021
18493,18963,1,2021-04-29 09:43:00+08:00,2021-05-06 09:33:00+08:00,1336.54,1314.75,470,-163.0329058614033,-166.96690589905083,False,2021
19220,20256,-1,2021-05-07 09:50:00+08:00,2021-05-13 11:06:00+08:00,1299.23,1286.12,1036,100.90592119948116,96.90672103951358,False,2021
20643,21640,1,2021-05-17 09:33:00+08:00,2021-05-21 10:10:00+08:00,1311.88,1324.93,997,99.47556178918848,95.43657936095906,False,2021
21937,22968,1,2021-05-24 11:07:00+08:00,2021-05-28 13:48:00+08:00,1325.47,1391.18,1031,495.74867782748777,491.55121784835165,False,2021
22980,23041,-1,2021-05-28 14:00:00+08:00,2021-05-31 09:31:00+08:00,1385.48,1403.9,61,-132.95031324883854,-136.94951340880613,False,2021
23042,23553,1,2021-05-31 09:32:00+08:00,2021-06-02 10:03:00+08:00,1406.88,1438.63,511,225.67667462754403,221.58722184824953,False,2021
23554,24017,-1,2021-06-02 10:04:00+08:00,2021-06-04 09:47:00+08:00,1438.82,1425.61,463,91.8113454080427,87.81214524807402,False,2021
24019,25233,1,2021-06-04 09:49:00+08:00,2021-06-11 10:03:00+08:00,1428.95,1433.73,1214,33.451135449105166,29.43855751051272,False,2021
25235,25276,-1,2021-06-11 10:05:00+08:00,2021-06-11 10:46:00+08:00,1434.69,1453.85,41,-133.54801385665027,-137.54721401661786,False,2021
25732,26066,-1,2021-06-16 10:22:00+08:00,2021-06-17 13:26:00+08:00,1424.04,1448.69,334,-173.09907025083726,-177.09827041080484,False,2021
26099,26651,1,2021-06-17 13:59:00+08:00,2021-06-22 09:41:00+08:00,1465.32,1512.1,552,319.2476728632654,315.12079916885983,False,2021
27141,27363,-1,2021-06-24 09:51:00+08:00,2021-06-25 09:33:00+08:00,1514.11,1516.38,222,-14.992305710948006,-18.99150587091558,False,2021
27364,27884,1,2021-06-25 09:34:00+08:00,2021-06-29 10:14:00+08:00,1518.69,1553.54,520,229.47408621904364,225.3831147788432,False,2021
27888,28096,-1,2021-06-29 10:18:00+08:00,2021-06-30 09:46:00+08:00,1547.55,1578.67,208,-201.09204872217344,-205.09124888214103,False,2021
28097,28543,1,2021-06-30 09:47:00+08:00,2021-07-01 14:43:00+08:00,1581.51,1574.0,446,-47.48626312827575,-51.46647258113424,False,2021
28562,28806,-1,2021-07-02 09:32:00+08:00,2021-07-05 09:36:00+08:00,1557.31,1565.69,244,-53.81073774650025,-57.80993790646782,False,2021
28807,29119,1,2021-07-05 09:37:00+08:00,2021-07-06 10:49:00+08:00,1564.53,1559.35,312,-33.1089848069388,-37.09494402117319,False,2021
29122,29522,-1,2021-07-06 10:52:00+08:00,2021-07-08 09:32:00+08:00,1551.39,1594.23,400,-276.1394620308244,-280.138662190792,False,2021
29522,29767,1,2021-07-08 09:32:00+08:00,2021-07-09 09:37:00+08:00,1594.23,1587.63,245,-41.39929621196359,-45.38193996472817,False,2021
29770,30247,-1,2021-07-09 09:40:00+08:00,2021-07-13 09:37:00+08:00,1583.2,1618.66,477,-223.9767559373429,-227.97595609731047,False,2021
31202,31694,-1,2021-07-19 09:32:00+08:00,2021-07-21 09:44:00+08:00,1510.33,1540.57,492,-200.22114372355793,-204.22034388352552,False,2021
31699,31927,1,2021-07-21 09:49:00+08:00,2021-07-22 09:37:00+08:00,1546.19,1550.23,228,26.12874226324058,22.1190926962489,False,2021
31928,32572,-1,2021-07-22 09:38:00+08:00,2021-07-26 13:52:00+08:00,1550.96,1531.03,644,128.5010574096046,124.50185724963703,False,2021
32643,32848,1,2021-07-27 09:33:00+08:00,2021-07-27 14:28:00+08:00,1572.54,1568.84,205,-23.528813257532867,-27.518603774127072,False,2021
32856,33122,-1,2021-07-27 14:36:00+08:00,2021-07-29 09:32:00+08:00,1555.11,1558.93,266,-24.564178739767684,-28.56337889973526,False,2021
34803,35379,-1,2021-08-09 09:33:00+08:00,2021-08-11 11:09:00+08:00,1555.09,1589.5,576,-221.2733668147826,-225.2725669747502,False,2021
