year,label,fee_bps,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp
2021,V1,0.0,71,17.1252613514291,-7.461321824366873,0.4647887323943662,1.2459218179012477,569.7323943661971,0.0,0.686365555878772,0.11387603540375069,0.11833407783875827,0.17031398756885008,1215.893555951466
2022,V1,0.0,75,6.390847534593019,-53.27097362650135,0.4,1.0603597216151632,609.5466666666666,0.0,0.19610840705761728,0.01756988249135283,0.018302515394116314,0.2094458967688454,479.3135650944764
2023,V1,0.0,47,-30.369071645192037,-69.97697467213904,0.40425531914893614,0.7135468765122683,749.6808510638298,0.0,-0.7430264782083237,-0.14347347050800985,-0.14893738387379296,0.27397468654632984,-1427.3463673240258
2024,V1,0.0,64,59.95857764154875,-78.29025539530909,0.390625,1.4799033819181677,653.515625,0.0,0.9051754552824182,0.3109555364670258,0.3257052272830212,0.22065790803223606,3837.34896905912
2025,V1,0.0,59,76.48534602250643,-4.136258158594641,0.4745762711864407,1.9277401991201717,776.2372881355932,0.0,1.8013453782452424,0.49686306530651314,0.5193936160573771,0.11470362539313217,4512.63541532788
2021,V1,2.0,71,13.120746457998665,-11.460521984334449,0.4647887323943662,1.182828943427455,569.7323943661971,0.0,0.5283273091267515,0.08269233565159273,0.08588298401462535,0.1795785543131354,931.5729985179053
2022,V1,2.0,75,2.394458527740953,-57.24886965784437,0.4,1.0221185434204954,609.5466666666666,0.0,0.06922570656909476,-0.012474102364523842,-0.012986199921142139,0.21575149002193605,179.58438958057147
2023,V1,2.0,47,-34.357536474665274,-73.94818963927685,0.40425531914893614,0.6829648726350519,749.6808510638298,0.0,-0.8407527937526019,-0.1594338282780261,-0.16544484385264635,0.2849313428735575,-1614.804214309268
2024,V1,2.0,64,55.936278399295205,-82.28945555527667,0.390625,1.4392489033237805,653.515625,0.0,0.8369483444799799,0.2778130894966584,0.2908233389621184,0.22406726247081077,3579.921817554893
2025,V1,2.0,59,72.45793695323097,-8.133804146133183,0.4745762711864407,1.8572034634988888,776.2372881355932,0.0,1.6986229550372982,0.4619602306400947,0.48266925895018953,0.11681953480979979,4275.018280240627
2021,V1,4.0,71,9.1178327300592,-15.458123103855304,0.4647887323943662,1.1233933213990837,569.7323943661971,0.0,0.37208355248828384,0.052381641571312754,0.05437353217992258,0.1887396806171837,647.3661238342032
2022,V1,4.0,75,-1.6003325626753728,-61.22517516698345,0.4,0.9855345172744536,609.5466666666666,0.0,-0.05643100263240674,-0.04163102628194326,-0.04331352176024772,0.2220067934809956,-120.02494220065296
2023,V1,4.0,47,-38.34440655610608,-77.91781675556831,0.40425531914893614,0.6536945495550497,749.6808510638298,0.0,-0.9375595196982244,-0.175096789087531,-0.18163212588759603,0.29572265258420116,-1802.1871081369857
2024,V1,4.0,64,51.915587433427774,-86.28705667479753,0.390625,1.4001177811010488,653.515625,0.0,0.768973355734341,0.24550850948893777,0.25685924871722876,0.2297756552031175,3322.5975957393775
2025,V1,4.0,59,68.43213820345557,-12.12975175462927,0.4745762711864407,1.7900899518706048,776.2372881355932,0.0,1.5964251023983946,0.42787123335868116,0.44683254104957615,0.11893038491172903,4037.496154003878
2021,V1,7.0,71,3.116462223386313,-21.45152867956801,0.4647887323943662,1.040430603412557,569.7323943661971,0.0,0.1411577497731471,0.008499205702937607,0.008815374588256208,0.20228994343757511,221.26881786042821
2022,V1,7.0,75,-7.589525200779887,-67.18665328766194,0.37333333333333335,0.9335518396260003,609.5466666666666,0.0,-0.24257405582375496,-0.08376025842615609,-0.08706626751152502,0.231296332800777,-569.2143900584915
2023,V1,7.0,47,-44.32172361734866,-83.86928229226376,0.40425531914893614,0.6120696203891156,749.6808510638298,0.0,-1.0810122792673074,-0.1980457072569305,-0.2053262695069965,0.31160504199574857,-2083.121010015387
2024,V1,7.0,64,45.88756439346503,-92.28046225051023,0.390625,1.3440952123978147,653.515625,0.0,0.6675008298106656,0.19857644661023421,0.2075813286468795,0.24713087813538548,2936.8041211817617
2025,V1,7.0,59,62.39645731578886,-18.12067830307185,0.4745762711864407,1.6953122510239989,776.2372881355932,0.0,1.4441610258121862,0.3782222873233585,0.394694992288231,0.12208720068147905,3681.3909816315427
2021,V2,0.0,41,33.67278958153602,69.4923481771026,0.5609756097560976,1.5497580423100312,539.8048780487804,0.0,1.0068831581478193,0.139787502305613,0.14532431077264807,0.11391796715524516,1380.584372842977
