entry_i,exit_i,side,entry_time,exit_time,entry,exit,bars,gross_bp,net_bp,forced_year_end
0,866,1,2023-01-03 09:30:00+08:00,2023-01-06 13:26:00+08:00,960.51,992.6,866,334.0933462431428,329.9605354668,False
978,3604,1,2023-01-09 09:48:00+08:00,2023-01-31 09:34:00+08:00,999.98,1025.19,2626,252.10504210084306,248.0050200884043,False
4082,4344,1,2023-02-02 09:32:00+08:00,2023-02-03 09:54:00+08:00,1032.96,1024.89,262,-78.12499999999889,-82.09295640871694,False
4347,4591,-1,2023-02-03 09:57:00+08:00,2023-02-06 10:01:00+08:00,1023.49,1036.61,244,-128.18884405318977,-132.18804421315733,False
5283,5315,-1,2023-02-09 09:33:00+08:00,2023-02-09 10:05:00+08:00,1006.16,1016.97,32,-107.43818080623413,-111.4373809662017,False
6675,8184,-1,2023-02-16 14:15:00+08:00,2023-02-27 09:54:00+08:00,1011.9,995.85,1509,158.61251111769948,154.6133109577319,False
9121,10323,1,2023-03-03 09:31:00+08:00,2023-03-10 09:33:00+08:00,998.9,991.91,1202,-69.97697467213904,-73.94818963927685,False
11801,13041,1,2023-03-20 10:11:00+08:00,2023-03-27 10:51:00+08:00,1030.21,1056.08,1240,251.11385057415393,247.0142249590479,False
13563,14480,1,2023-03-29 13:03:00+08:00,2023-04-04 10:50:00+08:00,1067.33,1126.84,917,557.5595176749459,553.3373383037499,False
14575,14650,-1,2023-04-04 13:55:00+08:00,2023-04-06 09:40:00+08:00,1125.46,1147.13,75,-192.54349332717302,-196.54269348714058,False
15164,15486,1,2023-04-10 10:14:00+08:00,2023-04-11 13:06:00+08:00,1171.0,1112.7,322,-497.8650725875311,-501.6651665397054,False
16573,16699,-1,2023-04-18 09:43:00+08:00,2023-04-18 13:19:00+08:00,1122.75,1133.66,126,-97.17212202182246,-101.17132218179003,False
16702,17401,1,2023-04-18 13:22:00+08:00,2023-04-21 13:01:00+08:00,1134.2,1123.01,699,-98.65984835126129,-102.61959246309793,False
17529,19226,-1,2023-04-24 09:39:00+08:00,2023-05-08 09:56:00+08:00,1101.23,1057.29,1697,399.00838153700937,395.0091813770418,False
19231,19759,1,2023-05-08 10:01:00+08:00,2023-05-10 10:49:00+08:00,1062.52,1019.23,528,-407.4276248917663,-411.2638865894702,False
21366,21846,1,2023-05-19 09:36:00+08:00,2023-05-23 09:36:00+08:00,1043.78,1025.55,480,-174.6536626492179,-178.58301531362585,False
22082,22178,-1,2023-05-24 09:32:00+08:00,2023-05-24 11:08:00+08:00,1010.17,1020.8,96,-105.22981280378652,-109.22901296375409,False
22181,24242,1,2023-05-24 11:11:00+08:00,2023-06-06 09:32:00+08:00,1022.26,1042.07,2061,193.7863165926479,189.7096174058488,False
26178,26408,1,2023-06-16 09:48:00+08:00,2023-06-19 09:38:00+08:00,1041.37,1046.27,230,47.05340080855214,43.03538305177934,False
26896,27223,-1,2023-06-21 09:46:00+08:00,2023-06-26 11:13:00+08:00,1040.45,1024.01,327,158.0085539910625,154.00935383109493,False
27227,27641,1,2023-06-26 11:17:00+08:00,2023-06-28 10:11:00+08:00,1027.47,998.45,414,-282.44133648670953,-286.3275827028722,False
27642,28672,-1,2023-06-28 10:12:00+08:00,2023-07-04 11:22:00+08:00,996.14,1021.21,1030,-251.67145180396312,-255.67065196393068,False
29301,29764,-1,2023-07-07 09:51:00+08:00,2023-07-11 09:34:00+08:00,994.35,998.1,463,-37.713078895760255,-41.712279055727834,False
