entry_i,exit_i,side,entry_time,exit_time,entry,exit,bars,gross_bp,net_bp,forced_year_end
0,1126,-1,2025-01-02 09:30:00+08:00,2025-01-08 13:46:00+08:00,986.82,954.74,1126,325.0846152287146,321.085415068747,False
1133,1682,1,2025-01-08 13:53:00+08:00,2025-01-13 09:32:00+08:00,961.85,941.13,549,-215.41820450174166,-219.33125460991909,False
1683,2025,-1,2025-01-13 09:33:00+08:00,2025-01-14 11:15:00+08:00,942.39,981.95,342,-419.78374133851304,-423.7829414984806,False
2428,2759,-1,2025-01-16 09:58:00+08:00,2025-01-17 11:29:00+08:00,970.71,968.02,331,27.71167495956628,23.712474799597594,False
2759,4970,1,2025-01-17 11:29:00+08:00,2025-02-07 13:50:00+08:00,968.02,1019.34,2211,530.1543356542227,525.9431161638583,False
4973,5046,-1,2025-02-07 13:53:00+08:00,2025-02-10 09:36:00+08:00,1018.37,1026.6,73,-80.8154207213474,-84.81462088131497,False
5288,5418,-1,2025-02-11 09:38:00+08:00,2025-02-11 13:18:00+08:00,1022.46,1036.78,130,-140.05437865539872,-144.05357881536628,False
6242,8406,1,2025-02-17 09:32:00+08:00,2025-02-28 09:36:00+08:00,1036.61,1108.85,2164,696.886968097934,692.6090688905351,False
8407,9010,-1,2025-02-28 09:37:00+08:00,2025-03-04 13:10:00+08:00,1106.82,1080.61,603,236.80453913012101,232.80533897015232,False
9013,10082,1,2025-03-04 13:13:00+08:00,2025-03-11 09:32:00+08:00,1082.93,1091.95,1069,83.29254891821236,79.26003840074802,False
10573,11288,-1,2025-03-13 09:43:00+08:00,2025-03-18 09:38:00+08:00,1083.82,1093.15,715,-86.08440515952998,-90.08360531949755,False
11290,11547,1,2025-03-18 09:40:00+08:00,2025-03-19 09:57:00+08:00,1096.61,1080.63,257,-145.72181541295248,-149.66273850216982,False
11554,12458,-1,2025-03-19 10:04:00+08:00,2025-03-24 14:38:00+08:00,1076.44,1040.98,904,329.4191966110516,325.419996451084,False
12473,13456,1,2025-03-24 14:53:00+08:00,2025-03-31 09:46:00+08:00,1046.76,1020.81,983,-247.90782987504366,-251.80788673172194,False
13458,13637,-1,2025-03-31 09:48:00+08:00,2025-03-31 14:17:00+08:00,1018.74,1024.32,179,-54.773543789385926,-58.7727439493535,False
14179,14401,1,2025-04-03 09:49:00+08:00,2025-04-07 09:31:00+08:00,1030.26,977.95,222,-507.7359113233548,-511.5320577295446,False
14401,14649,-1,2025-04-07 09:31:00+08:00,2025-04-08 09:39:00+08:00,977.95,948.82,248,297.8679891610003,293.8687890010327,False
14906,15847,1,2025-04-09 09:56:00+08:00,2025-04-15 09:37:00+08:00,957.33,1004.05,941,488.02398337041365,483.8296126512098,False
15848,16328,-1,2025-04-15 09:38:00+08:00,2025-04-17 09:38:00+08:00,1004.48,1015.82,480,-112.89423383243013,-116.89343399239772,False
16341,16566,1,2025-04-17 09:51:00+08:00,2025-04-18 09:36:00+08:00,1021.82,1006.23,225,-152.57090289874986,-156.50908690079012,False
16813,17621,1,2025-04-21 09:43:00+08:00,2025-04-24 11:11:00+08:00,1019.71,1001.91,808,-174.55943356444516,-178.48882391295007,False
18493,19442,1,2025-04-30 09:43:00+08:00,2025-05-09 09:32:00+08:00,1009.81,1018.56,949,86.6499638545859,82.6161106396861,False
19442,19725,-1,2025-05-09 09:32:00+08:00,2025-05-12 10:15:00+08:00,1018.56,1015.18,283,33.18410304744002,29.18490288747133,False
19922,20433,1,2025-05-13 09:32:00+08:00,2025-05-15 10:03:00+08:00,1018.73,1003.43,511,-150.18699753614916,-154.1261349096601,False
22815,23042,1,2025-05-29 09:45:00+08:00,2025-05-30 09:32:00+08:00,976.41,979.17,227,28.26681414569654,24.25630952096247,False
23043,23288,-1,2025-05-30 09:33:00+08:00,2025-06-03 09:38:00+08:00,978.45,983.51,245,-51.71444631815625,-55.71364647812382,False
23288,24004,1,2025-06-03 09:38:00+08:00,2025-06-06 09:34:00+08:00,983.51,992.01,716,86.4251507356295,82.3913874279958,False
24006,24256,-1,2025-06-06 09:36:00+08:00,2025-06-09 09:46:00+08:00,991.93,995.24,250,-33.36929017168533,-37.36849033165291,False
24281,24616,1,2025-06-09 10:11:00+08:00,2025-06-10 13:16:00+08:00,1000.53,986.27,335,-142.52446203512181,-146.46666380995322,False
24616,25925,-1,2025-06-10 13:16:00+08:00,2025-06-18 09:35:00+08:00,986.27,967.05,1309,194.87564257252066,190.87644241255308,False
25928,27175,1,2025-06-18 09:38:00+08:00,2025-06-25 10:25:00+08:00,966.94,977.2,1247,106.10792810308745,102.06629325881566,False
27179,27244,-1,2025-06-25 10:29:00+08:00,2025-06-25 13:04:00+08:00,976.93,983.58,65,-68.07038375318709,-72.06958391315466,False
27326,28085,1,2025-06-25 14:26:00+08:00,2025-07-01 09:35:00+08:00,995.15,998.39,759,32.557905843340066,28.545685125145326,False
28092,28931,-1,2025-07-01 09:42:00+08:00,2025-07-04 13:11:00+08:00,993.87,988.46,839,54.43367844889191,50.43447828892322,False
28932,30527,1,2025-07-04 13:12:00+08:00,2025-07-15 10:17:00+08:00,990.48,990.38,1595,-1.0096115014945894,-5.008407897614253,False
30743,33123,1,2025-07-16 09:53:00+08:00,2025-07-30 09:33:00+08:00,1004.95,1060.41,2380,551.8682521518481,547.6483488316508,False
33297,33497,-1,2025-07-30 13:57:00+08:00,2025-07-31 13:17:00+08:00,1054.39,1068.68,200,-135.52859947457696,-139.52779963454452,False
34609,35069,-1,2025-08-07 10:19:00+08:00,2025-08-11 09:59:00+08:00,1054.0,1050.38,460,34.345351043642005,30.346150883673317,False
35350,39003,1,2025-08-12 10:40:00+08:00,2025-09-02 13:03:00+08:00,1057.67,1320.31,3653,2483.194191004754,2478.201911784197,False
39383,40626,-1,2025-09-04 09:53:00+08:00,2025-09-11 10:36:00+08:00,1276.32,1287.99,1243,-91.43474990598088,-95.43395006594847,False
40638,42539,1,2025-09-11 10:48:00+08:00,2025-09-23 10:29:00+08:00,1297.31,1371.2,1901,569.5631730272654,565.336193154029,False
42732,43466,1,2025-09-24 09:42:00+08:00,2025-09-29 09:56:00+08:00,1426.41,1425.82,734,-4.136258158594641,-8.133804146133183,False
43467,43684,-1,2025-09-29 09:57:00+08:00,2025-09-30 09:34:00+08:00,1425.71,1486.31,217,-425.051377909953,-429.0505780699205,False
43686,44162,1,2025-09-30 09:36:00+08:00,2025-10-10 09:32:00+08:00,1493.82,1510.72,476,113.13277369428664,109.08832947365221,False
44163,45861,-1,2025-10-10 09:33:00+08:00,2025-10-21 09:51:00+08:00,1507.42,1384.64,1698,814.504252298629,810.5050521386614,False
46234,46329,1,2025-10-22 13:34:00+08:00,2025-10-23 09:39:00+08:00,1423.59,1386.55,95,-260.18727302102417,-264.082419082603,False
46332,46561,-1,2025-10-23 09:42:00+08:00,2025-10-24 09:31:00+08:00,1386.22,1426.93,229,-293.67632843271707,-297.67552859268466,False
46562,47539,1,2025-10-24 09:32:00+08:00,2025-10-30 09:49:00+08:00,1420.84,1471.97,977,359.85754905548896,355.7144346587471,False
47764,48255,-1,2025-10-31 09:34:00+08:00,2025-11-04 09:45:00+08:00,1438.26,1413.23,491,174.02973036864,170.0305302086713,False
48482,48723,-1,2025-11-05 09:32:00+08:00,2025-11-06 09:33:00+08:00,1363.49,1411.61,241,-352.91787985243684,-356.9170800124044,False
48724,48967,1,2025-11-06 09:34:00+08:00,2025-11-07 09:37:00+08:00,1411.81,1419.71,243,55.95653806107048,51.93495976150597,False
49685,52106,-1,2025-11-12 09:35:00+08:00,2025-11-26 09:56:00+08:00,1370.94,1317.81,2421,387.54431266138647,383.54511250141775,False
52108,52807,1,2025-11-26 09:58:00+08:00,2025-12-01 09:37:00+08:00,1321.4,1310.62,699,-81.58014227334753,-85.54671690151227,False
54041,54484,1,2025-12-08 10:11:00+08:00,2025-12-10 09:34:00+08:00,1347.04,1331.46,443,-115.66100486993692,-119.61394987898721,False
54484,55042,-1,2025-12-10 09:34:00+08:00,2025-12-12 10:52:00+08:00,1331.46,1335.07,558,-27.1130938969244,-31.112294056891976,False
55447,55852,-1,2025-12-16 09:37:00+08:00,2025-12-17 13:52:00+08:00,1306.6,1313.19,405,-50.436246747285196,-54.43544690725277,False
55854,57156,1,2025-12-17 13:54:00+08:00,2025-12-25 10:06:00+08:00,1314.82,1340.46,1302,195.00768165984672,190.9304940247103,False
57476,57603,-1,2025-12-26 11:26:00+08:00,2025-12-29 09:33:00+08:00,1340.51,1358.62,127,-135.09783589827686,-139.0970360582444,False
57604,58319,1,2025-12-29 09:34:00+08:00,2025-12-31 14:59:00+08:00,1359.1,1344.68,715,-106.09962475167323,-110.05639354801366,True
