entry_i,exit_i,side,entry_time,exit_time,entry,exit,bars,gross_bp,net_bp,forced_year_end
767,1025,-1,2021-01-07 10:17:00+08:00,2021-01-08 10:35:00+08:00,1386.14,1384.28,258,13.418558010014348,9.419357850046772,False
1929,2283,1,2021-01-14 09:39:00+08:00,2021-01-15 13:03:00+08:00,1421.53,1437.32,354,111.07750100244118,107.0338787264946,False
4104,4812,-1,2021-01-27 09:54:00+08:00,2021-02-01 09:42:00+08:00,1452.22,1433.09,708,131.72935230199357,127.73015214202488,False
5523,5693,-1,2021-02-04 09:33:00+08:00,2021-02-04 13:53:00+08:00,1395.67,1384.8,170,77.88374042574597,73.8845402657784,False
6722,6978,1,2021-02-18 09:32:00+08:00,2021-02-19 09:48:00+08:00,1459.48,1415.33,256,-302.50500178145677,-306.38322413627293,False
7446,8403,-1,2021-02-23 09:36:00+08:00,2021-03-01 09:33:00+08:00,1374.67,1346.7,957,203.46701390151821,199.46781374154955,False
9365,10083,-1,2021-03-05 09:35:00+08:00,2021-03-10 09:33:00+08:00,1310.35,1256.4,718,411.72205899187134,407.7228588319026,False
10806,11301,-1,2021-03-15 09:36:00+08:00,2021-03-17 09:51:00+08:00,1239.7,1230.73,495,72.35621521335833,68.35701505339075,False
13967,14651,1,2021-04-01 10:17:00+08:00,2021-04-07 09:41:00+08:00,1267.44,1289.1,684,170.8956637000547,166.828118943525,False
15856,17057,1,2021-04-14 09:46:00+08:00,2021-04-21 09:47:00+08:00,1257.1,1280.51,1201,186.22225757696452,182.1485834087677,False
19447,20256,-1,2021-05-10 09:37:00+08:00,2021-05-13 11:06:00+08:00,1251.7,1286.12,809,-274.98601901413844,-278.985219174106,False
20644,21638,1,2021-05-17 09:34:00+08:00,2021-05-21 10:08:00+08:00,1313.73,1324.09,994,78.85943078105751,74.82869315627028,False
22089,22968,1,2021-05-25 09:39:00+08:00,2021-05-28 13:48:00+08:00,1343.01,1391.18,879,358.6719384070114,354.52929815969816,False
23042,23534,1,2021-05-31 09:32:00+08:00,2021-06-02 09:44:00+08:00,1406.88,1450.01,492,306.56488115546443,302.4430795633215,False
24242,25233,1,2021-06-07 09:32:00+08:00,2021-06-11 10:03:00+08:00,1449.27,1433.73,991,-107.22639673766743,-111.1827149153366,False
25736,25924,-1,2021-06-16 10:26:00+08:00,2021-06-17 09:34:00+08:00,1422.46,1417.92,188,31.916538953643546,27.917338793674862,False
26177,26652,1,2021-06-18 09:47:00+08:00,2021-06-22 09:42:00+08:00,1495.32,1514.5,475,128.26685926758284,124.21636262320402,False
27143,27364,-1,2021-06-24 09:53:00+08:00,2021-06-25 09:34:00+08:00,1512.98,1518.69,221,-37.74008909569248,-41.73928925566006,False
27617,27883,1,2021-06-28 09:47:00+08:00,2021-06-29 10:13:00+08:00,1558.7,1553.07,266,-36.119843459293534,-40.10459857088699,False
28098,28415,1,2021-06-30 09:48:00+08:00,2021-07-01 11:05:00+08:00,1582.24,1571.52,317,-67.75204772980103,-71.72415248975716,False
28562,28806,-1,2021-07-02 09:32:00+08:00,2021-07-05 09:36:00+08:00,1557.31,1565.69,244,-53.81073774650025,-57.80993790646782,False
