quarter,policy,cost_bps,total_log_return,mdd
2021Q1,baseline,0,0.0418232265408097,0.0931444545385203
2021Q2,baseline,0,0.1572203277503448,0.0820996965197383
2021Q3,baseline,0,0.1414104038413024,0.0809435493675826
2021Q4,baseline,0,0.2193331378035403,0.0427048450331008
2021Q1,constant_075,0,0.0313674199056073,0.0707050335149412
2021Q2,constant_075,0,0.1179152458127586,0.0622293524675728
2021Q3,constant_075,0,0.1060578028809768,0.0613436106440137
2021Q4,constant_075,0,0.1644998533526552,0.0322027234018396
2021Q1,constant_050,0,0.0209116132704048,0.0477103668203251
2021Q2,constant_050,0,0.0786101638751724,0.0419288630376856
2021Q3,constant_050,0,0.0707052019206512,0.0413256806232799
2021Q4,constant_050,0,0.1096665689017701,0.0215853869821346
2021Q1,slow_conflict_half,0,0.0500203992133225,0.0765825294678225
2021Q2,slow_conflict_half,0,0.1636994279285694,0.0678124570012185
2021Q3,slow_conflict_half,0,0.0977247434918853,0.079976215632244
2021Q4,slow_conflict_half,0,0.1825176379930539,0.037560373263519
2021Q1,chop_half,0,0.0349645296980671,0.0894530532422884
2021Q2,chop_half,0,0.1623253927501264,0.0646463083463682
2021Q3,chop_half,0,0.1108935700671074,0.0957664644526822
2021Q4,chop_half,0,0.2109599181349308,0.0410739130113063
2021Q1,slow_conflict_half_matched_constant,0,0.0346351396334057,0.0777769654974001
2021Q2,slow_conflict_half_matched_constant,0,0.1301991370639377,0.0684851443281539
2021Q3,slow_conflict_half_matched_constant,0,0.1171064379234519,0.0675136062939955
2021Q4,slow_conflict_half_matched_constant,0,0.1816367239539993,0.0354972359410971
2021Q1,chop_half_matched_constant,0,0.0389508605578561,0.087034552293691
2021Q2,chop_half_matched_constant,0,0.14642263568758,0.0766833434962537
2021Q3,chop_half_matched_constant,0,0.1316985172360651,0.0756002922232917
2021Q4,chop_half_matched_constant,0,0.2042696169786551,0.0398311618292062
2021Q1,baseline,1,0.0053195810550702,0.0964035904617589
2021Q2,baseline,1,0.1202166272569374,0.0933277002676631
2021Q3,baseline,1,0.1052067833585633,0.0857107142714226
2021Q4,baseline,1,0.1873299373768096,0.0470987284683854
2021Q1,constant_075,1,0.0039903693881936,0.0732109333843681
2021Q2,constant_075,1,0.0901631643546101,0.0708456176566682
2021Q3,constant_075,1,0.0789057664273289,0.0649975148672652
2021Q4,constant_075,1,0.1404980531726349,0.0355361206004156
2021Q1,constant_050,1,0.0026607019596919,0.0494230319336868
2021Q2,constant_050,1,0.0601092388135011,0.0478062372942392
2021Q3,constant_050,1,0.0526042968603133,0.0438151206532421
2021Q4,constant_050,1,0.0936657688484328,0.023833266935011
2021Q1,slow_conflict_half,1,0.0204180214523729,0.0814343782339892
2021Q2,slow_conflict_half,1,0.1339470789252465,0.0785181166226728
2021Q3,slow_conflict_half,1,0.0657720169202166,0.0852973843604779
2021Q4,slow_conflict_half,1,0.1559155027568571,0.0413548362123299
2021Q1,chop_half,1,-0.0010386031927393,0.092589275975996
2021Q2,chop_half,1,0.1274223873777394,0.0734908537546079
2021Q3,chop_half,1,0.0745902671442953,0.1012182786791292
2021Q4,chop_half,1,0.1789571027809627,0.0453797533979006
2021Q1,slow_conflict_half_matched_constant,1,0.0044058326123686,0.0805224979046415
2021Q2,slow_conflict_half_matched_constant,1,0.0995557264701629,0.0779310996888908
2021Q3,slow_conflict_half_matched_constant,1,0.0871255875587317,0.0715208557978478
2021Q4,slow_conflict_half_matched_constant,1,0.1551343147918157,0.0391647321765767
2021Q1,chop_half_matched_constant,1,0.0049544721981945,0.090090661778535
2021Q2,chop_half_matched_constant,1,0.1119605389807623,0.0872062786880094
2021Q3,chop_half_matched_constant,1,0.0979815469445299,0.0800666326941071
2021Q4,chop_half_matched_constant,1,0.1744645603673533,0.0439361828114793
2021Q1,baseline,3,-0.0677095915780919,0.1094615037398618
2021Q2,baseline,3,0.046187014424348,0.1194930466463716
2021Q3,baseline,3,0.0327778108034352,0.1125858667364321
2021Q4,baseline,3,0.1233043262783538,0.0558286928326898
2021Q1,constant_075,3,-0.0507760384408066,0.0832723508767768
2021Q2,constant_075,3,0.0346465089414864,0.0910275469589302
2021Q3,constant_075,3,0.0245894711312456,0.0856836485793547
2021Q4,constant_075,3,0.0924836484910143,0.0421699983752633
2021Q1,constant_050,3,-0.0338465896190888,0.0563141904834498
2021Q2,constant_050,3,0.0231018372097977,0.0616434265424178
2021Q3,constant_050,3,0.0163970552912846,0.0579683851858582
2021Q4,constant_050,3,0.061659367461446,0.0283142160259737
2021Q1,slow_conflict_half,3,-0.0388010053340947,0.092221199627095
2021Q2,slow_conflict_half,3,0.0744282823371532,0.1003737128496814
2021Q3,slow_conflict_half,3,0.0018501985544674,0.1058529395479431
2021Q4,slow_conflict_half,3,0.1026984166141133,0.0489008755700131
2021Q1,chop_half,3,-0.0730636733567592,0.1006431715727103
2021Q2,chop_half,3,0.0575983376927788,0.098658471690593
2021Q3,chop_half,3,0.0019638361478247,0.1128310645021363
2021Q4,chop_half,3,0.1149345735750135,0.0539357042807744
2021Q1,slow_conflict_half_matched_constant,3,-0.0560677865443705,0.0915387328485138
2021Q2,slow_conflict_half_matched_constant,3,0.0382536737487089,0.1000210973404378
2021Q3,slow_conflict_half_matched_constant,3,0.0271489846258497,0.0941775237574042
2021Q4,slow_conflict_half_matched_constant,3,0.1021163232489365,0.0464597466763791
2021Q1,chop_half_matched_constant,3,-0.063057283089169,0.1023422974846953
2021Q2,chop_half_matched_constant,3,0.0430170806218111,0.1117630063066914
2021Q3,chop_half_matched_constant,3,0.030528757955502,0.1052750491558803
2021Q4,chop_half_matched_constant,3,0.1148377855704226,0.0520959194062048
2021Q1,baseline,5,-0.1407679592130756,0.1512317822045316
2021Q2,baseline,5,-0.0278722339626088,0.1462203283150424
2021Q3,baseline,5,-0.0396801565373171,0.1535306656166881
2021Q4,baseline,5,0.0592530844301749,0.0672502107601398
2021Q1,constant_075,5,-0.1055588635326308,0.1157007624687834
2021Q2,constant_075,5,-0.0208868114675089,0.1117964670172118
2021Q3,constant_075,5,-0.0297431288364741,0.1175030117270799
2021Q4,constant_075,5,0.0444548308399913,0.0508691911156666
2021Q1,constant_050,5,-0.0703611755709826,0.0786928436821373
2021Q2,constant_050,5,-0.0139129688360526,0.0759891106963097
2021Q3,constant_050,5,-0.0198174306238447,0.0799487348030811
2021Q4,constant_050,5,0.0296465622326024,0.0342037512754917
2021Q1,slow_conflict_half,5,-0.0980390709218472,0.1141788825328736
2021Q2,slow_conflict_half,5,0.0148906774974973,0.1224239044872748
2021Q3,slow_conflict_half,5,-0.062093452988585,0.1422251452310836
2021Q4,slow_conflict_half,5,0.0494642334533833,0.0567890867060004
2021Q1,chop_half,5,-0.1451138316810054,0.1549124170561794
2021Q2,chop_half,5,-0.0122497788250976,0.124264394380464
2021Q3,chop_half,5,-0.0706890453154876,0.1497927823340571
2021Q4,chop_half,5,0.0508894988631817,0.0696261825038016
2021Q1,slow_conflict_half_matched_constant,5,-0.1165614235660779,0.1269610181321855
2021Q2,slow_conflict_half_matched_constant,5,-0.023068698904398,0.1227009242256197
2021Q3,slow_conflict_half_matched_constant,5,-0.0328474988888116,0.1289236638960748
2021Q4,slow_conflict_half_matched_constant,5,0.0490807577111143,0.056019025818497
2021Q1,chop_half_matched_constant,5,-0.1310943588463327,0.1416146173427928
2021Q2,chop_half_matched_constant,5,-0.0259520802913482,0.136898317162206
2021Q3,chop_half_matched_constant,5,-0.0369491778568322,0.1437818317866132
2021Q4,chop_half_matched_constant,5,0.0551887815374198,0.0627781587863327
2022Q1,baseline,0,0.1685762158188311,0.1037580067412083
2022Q2,baseline,0,0.2486759692449976,0.0897205890734541
2022Q3,baseline,0,0.0462140315198104,0.084527245114798
2022Q4,baseline,0,0.090629672340095,0.1432380473341719
2022Q1,constant_075,0,0.1264321618641233,0.0788741577579482
2022Q2,constant_075,0,0.1865069769337483,0.0680748337274678
2022Q3,constant_075,0,0.0346605236398578,0.0640900424656885
2022Q4,constant_075,0,0.0679722542550713,0.1094770240135637
2022Q1,constant_050,0,0.0842881079094155,0.0532994173135881
2022Q2,constant_050,0,0.1243379846224988,0.0459143587043426
2022Q3,constant_050,0,0.0231070157599052,0.0431965954882884
2022Q4,constant_050,0,0.0453148361700475,0.0743856350154087
2022Q1,slow_conflict_half,0,0.1508531019073328,0.0746010443994098
2022Q2,slow_conflict_half,0,0.2204738944828908,0.0971434992273526
2022Q3,slow_conflict_half,0,0.0542250557707796,0.0717534829374144
2022Q4,slow_conflict_half,0,0.0971778082479396,0.1067691345686431
2022Q1,chop_half,0,0.1683332653973868,0.092113638559211
2022Q2,chop_half,0,0.2011609300414548,0.1006591797181088
2022Q3,chop_half,0,0.0484395719364186,0.0793920104817171
2022Q4,chop_half,0,0.1093938277897444,0.1188802527790467
2022Q1,slow_conflict_half_matched_constant,0,0.1413581809730822,0.0877652279415978
2022Q2,slow_conflict_half_matched_constant,0,0.2085251617106491,0.0757992821895018
2022Q3,slow_conflict_half_matched_constant,0,0.0387523910140076,0.07137987839273
2022Q4,slow_conflict_half_matched_constant,0,0.0759967564935172,0.1215835569858171
2022Q1,chop_half_matched_constant,0,0.157575805041397,0.097328422301119
2022Q2,chop_half_matched_constant,0,0.2324486634006702,0.0841195978893623
2022Q3,chop_half_matched_constant,0,0.043198343168225,0.079236182349596
2022Q4,chop_half_matched_constant,0,0.0847156492999959,0.134551221230128
2022Q1,baseline,1,0.1357729353814321,0.1146866608936477
2022Q2,baseline,1,0.2148725887942634,0.096793854229663
2022Q3,baseline,1,0.0078101910077336,0.0994200329343198
2022Q4,baseline,1,0.0588264919160314,0.1515941383779797
2022Q1,constant_075,1,0.1018303166796025,0.0873108805420943
2022Q2,constant_075,1,0.1611550754936019,0.0735110871334795
2022Q3,constant_075,1,0.0058583634238334,0.075532080318909
2022Q4,constant_075,1,0.0441204653261761,0.1159988599273379
2022Q1,constant_050,1,0.0678872878547448,0.0590887519751432
2022Q2,constant_050,1,0.1074371395661613,0.0496282316423404
2022Q3,constant_050,1,0.0039060556959003,0.0510106925316402
2022Q4,constant_050,1,0.0294140411170435,0.0789102772128261
2022Q1,slow_conflict_half,1,0.1234008629059252,0.0818834688518689
2022Q2,slow_conflict_half,1,0.1928216579853176,0.1044277500925782
2022Q3,slow_conflict_half,1,0.0222224554800754,0.0734229906167371
2022Q4,slow_conflict_half,1,0.0709756980145766,0.1137097855216113
2022Q1,chop_half,1,0.1350302575135806,0.1021765945654479
2022Q2,chop_half,1,0.167157979672318,0.1177632179350862
2022Q3,chop_half,1,0.009936156503772,0.0865166008106279
2022Q4,chop_half,1,0.0788911424530289,0.1265133347686802
2022Q1,slow_conflict_half_matched_constant,1,0.113851707709546,0.0971019367138412
2022Q2,slow_conflict_half_matched_constant,1,0.1801800764573708,0.0818249106265699
2022Q3,slow_conflict_half_matched_constant,1,0.0065496906079163,0.0840639869586953
2022Q4,slow_conflict_half_matched_constant,1,0.0493288952197228,0.1287731485572777
2022Q1,chop_half_matched_constant,1,0.1269132969156411,0.1076212473691519
