year,view,scope,cost_bps,policy,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
2025,0,cumulative,0,baseline,0.8657176697500755,3.118228942965259,0.1432380473341723,0.1163695888702462,71,0.999982810781078,6968.0,0.0,2.5863162335115666
2025,0,cumulative,0,constant_075,0.5963732561376641,2.3386717072239445,0.1094770240135646,0.0886126618929236,71,0.7499871080858086,5226.0,0.0,2.586316233511566
2025,0,cumulative,0,constant_050,0.3659127606659495,1.5591144714826295,0.074385635015409,0.0599838240063345,71,0.499991405390539,3484.0,0.0,2.5863162335115666
2025,0,cumulative,0,slow_conflict_half,0.7370652482442605,2.760985251547593,0.1067691345686433,0.0911059872018878,71,0.8310643564356436,5761.0,0.0,2.636243184944421
2025,0,cumulative,0,chop_half,0.805358478198197,2.9537958747289528,0.1240352325161764,0.1003664229031941,119,0.9326268564356436,6961.0,0.0,2.51054566146184
2025,0,cumulative,0,slow_conflict_half_matched_constant,0.6791684406835599,2.5914934754531043,0.1205695013046989,0.0977088695819087,71,0.8310643564356435,5790.955977653632,0.0,2.5863162335115666
2025,0,cumulative,0,chop_half_matched_constant,0.7889678067607747,2.9081940463084583,0.1342699011478185,0.1089753727822251,71,0.9326268564356438,6498.6556424581,0.0,2.586316233511566
2025,0,cumulative,1,baseline,0.6229928007167637,2.421359263675199,0.15159413837798,0.125962988952177,129,0.999982810781078,6968.0,0.6968696792900602,1.985483318024195
2025,0,cumulative,1,constant_075,0.4379327657063035,1.8160325139298477,0.1159988599273388,0.096043656022896,129,0.7499871080858086,5226.0,0.5226391932940971,1.985498172010198
2025,0,cumulative,1,constant_050,0.2739717855622718,1.2106970528214591,0.0789102772128263,0.0651002771075006,129,0.499991405390539,3484.0,0.3484174186611705,1.9855130250142092
2025,0,cumulative,1,slow_conflict_half,0.5480061449676014,2.18483872388485,0.116533585014392,0.101364507482168,125,0.8310643564356436,5761.0,0.5761465276627432,2.065162136276517
2025,0,cumulative,1,chop_half,0.570708675837164,2.257634516998994,0.1373867573155443,0.1288755411655053,129,0.9326268564356436,6961.0,0.6961613577299586,1.8981167773709189
2025,0,cumulative,1,slow_conflict_half_matched_constant,0.4955139849119543,2.012349751863822,0.1277035866145839,0.1058574714301284,129,0.8310643564356435,5790.955977653632,0.5791437235892827,1.9854933547537417
2025,0,cumulative,1,chop_half_matched_constant,0.5709076522985979,2.2582678739748854,0.142147268618816,0.118000710112058,129,0.9326268564356438,6498.6556424581,0.6499261723335736,1.985487320207252
2025,0,cumulative,3,baseline,0.2280657030569211,1.027201662058352,0.2749960914809726,0.2662524232697951,449,0.999982810781078,6968.0,2.091027280906907,0.8231863846915838
2025,0,cumulative,3,constant_075,0.1666119507868589,0.7705188970095052,0.2142715194181954,0.2071751673935087,449,0.7499871080858086,5226.0,1.568152810214439,0.8233142250566459
2025,0,cumulative,3,constant_050,0.1082160236618194,0.5137576826263247,0.1484833367649763,0.1433640089133382,449,0.499991405390539,3484.0,1.045356788856305,0.8234420405024402
2025,0,cumulative,3,slow_conflict_half,0.2293103018628769,1.0322664096178795,0.2007863269411187,0.1933537040739885,411,0.8310643564356436,5761.0,1.7287188419297133,0.9560595581079802
2025,0,cumulative,3,chop_half,0.1888526747675921,0.8649435159592714,0.3025338273273372,0.2940700185821502,459,0.9326268564356436,6961.0,2.0888523587696817,0.7114944659923362
2025,0,cumulative,3,slow_conflict_half_matched_constant,0.1861997275554457,0.8537734537201613,0.234500783698331,0.2268360043195753,449,0.8310643564356435,5790.955977653632,1.7377200217329432,0.8232727672945993
2025,0,cumulative,3,chop_half_matched_constant,0.2111984803240362,0.9580517450701423,0.2591109205422299,0.2507808972181093,449,0.9326268564356438,6498.6556424581,1.950142301238316,0.8232208309757986
2025,0,cumulative,5,baseline,-0.0708664500234773,-0.367513968989553,0.5518696820317397,0.5464315841671984,886,0.999982810781078,6968.0,3.485742911954812,-0.2878263224559699
2025,0,cumulative,5,constant_075,-0.0535732516454323,-0.2753085172587728,0.452224134114621,0.4472461800132716,886,0.7499871080858086,5226.0,2.613980224482717,-0.2874869692204164
2025,0,cumulative,5,constant_050,-0.036000229306513,-0.1833211112072328,0.3304726062031778,0.326422471633963,886,0.499991405390539,3484.0,1.7424355826898623,-0.2871477242612324
2025,0,cumulative,5,slow_conflict_half,-0.023846754756371,-0.1206784566254646,0.4526656658693659,0.4473185823157094,590,0.8310643564356436,5761.0,2.8816637081730576,-0.1094989912170495
2025,0,cumulative,5,chop_half,-0.1002584903543648,-0.5282388420789973,0.5736250431493135,0.5678814392588486,1211,0.9326268564356436,6961.0,3.482034716807949,-0.425093140574108
2025,0,cumulative,5,slow_conflict_half_matched_constant,-0.0592121707440106,-0.3051881925580019,0.4867526012188003,0.4815816753607009,886,0.8310643564356435,5790.955977653632,2.896681668011106,-0.2875970145520451
2025,0,cumulative,5,chop_half_matched_constant,-0.0662345030950141,-0.3426497312758673,0.5269561930465563,0.5216046050760602,886,0.9326268564356438,6498.6556424581,3.250843777584326,-0.2877348803804445
2025,1,cumulative,0,baseline,0.6603655226120957,2.5351888623693566,0.2013373015072023,0.1790731598882968,148,0.9999820634237336,6732.0,0.0,2.050210444088974
2025,1,cumulative,0,constant_075,0.4626916428062417,1.901391646777017,0.1551637291390743,0.1375610913651481,148,0.7499865475678003,5049.0,0.0,2.050210444088973
2025,1,cumulative,0,constant_050,0.2885517151484824,1.2675944311846783,0.1063206959469198,0.0939498688749594,148,0.4999910317118668,3366.0,0.0,2.050210444088974
2025,1,cumulative,0,slow_conflict_half,0.5816770224230436,2.292428453710137,0.1555563682209145,0.141926592294852,89,0.8303020519443248,5574.0,0.0,2.1402632840158144
2025,1,cumulative,0,chop_half,0.6595378713487369,2.532695864283898,0.1757605330795901,0.1732335817105054,148,0.937221983067872,6702.0,0.0,2.119557878472748
2025,1,cumulative,0,slow_conflict_half_matched_constant,0.52348740800485,2.105010271168945,0.1702816833600123,0.1511214944222545,148,0.8303020519443246,5589.693673656078,0.0,2.050210444088974
2025,1,cumulative,0,chop_half_matched_constant,0.6083607141932792,2.376077351734025,0.1899884866557886,0.1688434899278508,148,0.9372219830678722,6309.491560689494,0.0,2.050210444088973
2025,1,cumulative,1,baseline,0.4511905792756355,1.8619215433940104,0.2431887699532054,0.2316957379428819,318,0.9999820634237336,6732.0,0.6732673189753463,1.489401616613634
2025,1,cumulative,1,constant_075,0.3221917234582283,1.3964537811156852,0.1885872806402276,0.1793630538852037,318,0.7499865475678003,5049.0,0.5049378656613323,1.4894154873728669
2025,1,cumulative,1,constant_050,0.2046577726583187,0.9309776025628442,0.1300479863264655,0.1234672792513304,318,0.4999910317118668,3366.0,0.3366168286218342,1.489429357214792
2025,1,cumulative,1,slow_conflict_half,0.4148120851316106,1.734983601245503,0.1677551152282314,0.1574095194703517,163,0.8303020519443248,5574.0,0.5574448524646333,1.603957513957686
2025,1,cumulative,1,chop_half,0.4513400482535046,1.8624365042925568,0.2146304964775773,0.2113140972261126,152,0.937221983067872,6702.0,0.6702593599913413,1.542557803590915
