year,view,scope,cost_bps,policy,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
2021,0,annual,0,baseline,0.7502998146805993,0.5597870959359974,0.1210681506324497,0.1014357088702133,54,0.99991426611797,1417.0,0.0,2.574209271697668
2021,0,annual,0,constant_075,0.521718551170053,0.419840321951998,0.0922496991199906,0.0770846551781093,54,0.7499356995884774,1062.75,0.0,2.574209271697668
2021,0,annual,0,constant_050,0.3229889699769228,0.2798935479679987,0.0624863471033873,0.0520736889769402,54,0.4999571330589849,708.5,0.0,2.574209271697668
2021,0,annual,0,slow_conflict_half,0.6387966272486011,0.4939622086268314,0.0941904702546911,0.0776767015351858,53,0.8280606995884774,1179.0,0.0,2.551622176979872
2021,0,annual,0,chop_half,0.6805874596419321,0.519143410650232,0.1105483540501689,0.0909350008104335,44,0.931241426611797,1392.0,0.0,2.4442794159520447
2021,0,annual,0,slow_conflict_half_matched_constant,0.589751061014471,0.4635774385747947,0.1013563159956552,0.0847650766801801,54,0.8280606995884777,1173.46261682243,0.0,2.574209271697668
2021,0,annual,0,chop_half_matched_constant,0.6842858237073437,0.5213416304601564,0.1132436901198585,0.0948108479494497,54,0.931241426611797,1319.6822429906542,0.0,2.574209271697668
2021,0,annual,1,baseline,0.5190314518794699,0.4180729290473807,0.1416615176934218,0.1208143535888811,56,0.99991426611797,1417.0,0.1417141668886166,1.896112098311183
2021,0,annual,1,constant_075,0.3682839361690211,0.3135573533427677,0.1082478816168747,0.0920527460917986,56,0.7499356995884774,1062.75,0.1062829686092302,1.896128819341872
2021,0,annual,1,constant_050,0.2324943053051185,0.2090400064819393,0.0735338115340971,0.0623504893001372,56,0.4999571330589849,708.5,0.0708535414860593,1.8961455392692368
2021,0,annual,1,slow_conflict_half,0.4565237741153147,0.3760526200546932,0.1127050672600882,0.0962125455249288,54,0.8280606995884774,1179.0,0.1179095885721381,1.9208629275126716
2021,0,annual,1,chop_half,0.4621839206159663,0.3799311541102583,0.1177244610998342,0.0984496947706223,54,0.931241426611797,1392.0,0.1392122565399736,1.7661324068590052
2021,0,annual,1,slow_conflict_half_matched_constant,0.4137156646493357,0.3462214614330791,0.1188279136954769,0.1011411513308465,56,0.8280606995884777,1173.46261682243,0.1173559771417156,1.8961235936902887
2021,0,annual,1,chop_half_matched_constant,0.4760374795291816,0.3893611184908401,0.1326090228416922,0.1130050979952531,56,0.931241426611797,1319.6822429906542,0.1319805119693161,1.8961166919375536
2021,0,annual,3,baseline,0.1440327954842535,0.1345595599280451,0.1852297752442443,0.1640075962908686,94,0.99991426611797,1417.0,0.4252275360079521,0.593626483238294
2021,0,annual,3,constant_075,0.1062142385941611,0.1009435901229398,0.1424127261723449,0.1257138245503486,94,0.7499356995884774,1062.75,0.3188967318290582,0.5937690331369764
2021,0,annual,3,constant_050,0.0696287978037447,0.0673116703434395,0.0973483192045986,0.0856685694491148,94,0.4999571330589849,708.5,0.2125818776245591,0.5939115554033108
2021,0,annual,3,slow_conflict_half,0.1504761408083489,0.1401758921716392,0.1493778401028554,0.1321824891752767,92,0.8280606995884774,1179.0,0.353786316455192,0.6999994956210124
2021,0,annual,3,chop_half,0.1067558452366986,0.1014330740588579,0.1532946328091526,0.138845619442932,135,0.931241426611797,1392.0,0.4177103365913741,0.4596157510492145
2021,0,annual,3,slow_conflict_half_matched_constant,0.117899183692929,0.1114511950791246,0.1560302526052435,0.1378661473502936,94,0.8280606995884777,1173.46261682243,0.35212624349567,0.593724485443022
2021,0,annual,3,chop_half_matched_constant,0.1335183062783751,0.1253263410585666,0.1736846644798555,0.1536577696435583,94,0.931241426611797,1319.6822429906542,0.3960152894015897,0.5936656465742854
2021,0,annual,5,baseline,-0.1384888368421381,-0.1490672652828266,0.2477858310413583,0.2389725436174264,242,0.99991426611797,1417.0,0.7088543612188241,-0.6397364225381694
2021,0,annual,5,constant_075,-0.1057178709462077,-0.1117339729966225,0.192258651628279,0.1851818779632216,242,0.7499356995884774,1062.75,0.5315742949486206,-0.6393615423646769
2021,0,annual,5,constant_050,-0.071741485006114,-0.0744450127982775,0.1326541032264246,0.1276031794819903,242,0.4999571330589849,708.5,0.3543385607662762,-0.6389867807046669
2021,0,annual,5,slow_conflict_half,-0.0913339308412448,-0.0957776129595515,0.1907837407695776,0.1830224201717889,242,0.8280606995884774,1179.0,0.5897398215863829,-0.4675119959186957
2021,0,annual,5,chop_half,-0.162356893928142,-0.1771631569584089,0.2594383755754654,0.2453105430616386,242,0.931241426611797,1392.0,0.696306567608641,-0.7825153330916956
2021,0,annual,5,slow_conflict_half_matched_constant,-0.1160871999153638,-0.1233968636481733,0.2100369658498811,0.2023878299546015,242,0.8280606995884777,1173.46261682243,0.5869743022229681,-0.6394786897289418
2021,0,annual,5,chop_half_matched_constant,-0.129603858106152,-0.1388068354570934,0.2329216267652077,0.2245582845388304,242,0.931241426611797,1319.6822429906542,0.6601484659172497,-0.6396334255545264
2021,0,cumulative,0,baseline,0.7502998146805993,0.5597870959359974,0.1210681506324497,0.1014357088702133,54,0.99991426611797,1417.0,0.0,2.574209271697668
2021,0,cumulative,0,constant_075,0.521718551170053,0.419840321951998,0.0922496991199906,0.0770846551781093,54,0.7499356995884774,1062.75,0.0,2.574209271697668
2021,0,cumulative,0,constant_050,0.3229889699769228,0.2798935479679987,0.0624863471033873,0.0520736889769402,54,0.4999571330589849,708.5,0.0,2.574209271697668
