rank,phase,bars,trading_days,pnl_log,mean_pnl_bps,long_log_pnl,short_log_pnl,negative_log_sum,positive_log_sum,joint_share,joint_log_pnl,slow_only_share,slow_only_log_pnl,chop_only_share,chop_only_log_pnl,neither_share,neither_log_pnl,overnight_gap_log_pnl
1,decline,686,15,-0.15459516715364993,-2.2535738652135557,-0.04727616082942089,-0.10731900632422903,-0.7595452248051769,0.604950057651527,0.13119533527696792,-0.006030107128093835,0.22011661807580174,-0.07733981998006734,0.1793002915451895,-0.05257780845169904,0.46938775510204084,-0.018647431593789694,-0.0185607687896917
1,recovery,2145,46,0.15765209189205676,0.734974787375556,0.04555073277541713,0.11210135911663965,-1.118568149409898,1.2762202413019548,0.041025641025641026,-0.0028648951113823843,0.27132867132867133,0.06318553095065485,0.06573426573426573,0.01766856879052659,0.6219114219114219,0.07966288726225773,0.0220588565142829
2,decline,25,2,-0.13242940862190736,-52.97176344876294,-0.03773469352827037,-0.09469471509363697,-0.1434149006126946,0.010985491990787244,0.0,0.0,0.48,-0.09469471509363697,0.0,0.0,0.52,-0.03773469352827037,-0.0555738685692063
2,recovery,44,2,0.2853086095080964,64.84286579729464,0.2853086095080964,0.0,-0.058050154478749005,0.3433587639868454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2853086095080964,0.1806063643035015
3,decline,1531,33,-0.12904791630778184,-0.8428995186661127,-0.03494543210094409,-0.09410248420683777,-1.0383054900567135,0.9092575737489316,0.0790333115610712,-0.020873470971125237,0.2873938602220771,-0.04055932918236743,0.1286740692357936,-0.044514833025846696,0.5048987589810582,-0.023100283128442492,-0.015724028318581922
3,recovery,1153,25,0.1345248638546126,1.1667377610981144,0.12041021267454736,0.014114651180065208,-0.6185608825358215,0.7530857463904341,0.029488291413703384,-0.010654822995028488,0.3104943625325238,0.020725581855316456,0.07111882046834345,-0.0071640479021587,0.5888985255854293,0.13161815289648332,0.009530168766018
4,decline,740,16,-0.12642382942571775,-1.7084301273745641,-0.06486669282843714,-0.061557136597280605,-0.4575481744887209,0.3311243450630032,0.07972972972972973,-0.016195219625199663,0.16891891891891891,-0.011550428879084921,0.20405405405405405,-0.036193894446543494,0.5472972972972973,-0.06248428647488968,-0.013146270178710194
4,recovery,755,17,0.12779817859763173,1.6926911072534006,0.13815364034866887,-0.010355461751037147,-0.550659751807949,0.6784579304055809,0.030463576158940398,0.01012288075550264,0.31788079470198677,-0.010426051535248039,0.10463576158940398,0.060461819914162815,0.5470198675496689,0.06763952946321432,0.004834139908294001
5,decline,756,17,-0.1135143851149421,-1.5015130306209274,-0.1027119896553811,-0.010802395459560972,-0.7973614057110813,0.6838470205961392,0.0873015873015873,-0.005411283443419658,0.2566137566137566,-0.022101323293911547,0.10185185185185185,-0.002031916353251341,0.5542328042328042,-0.08396986202435955,-0.013420434710011697
5,recovery,1767,37,0.11379314136467966,0.6439906132692681,0.03306047120866631,0.08073267015601338,-1.024094992483704,1.1378881338483837,0.03791737408036219,0.007273881947037587,0.32710809281267683,0.031471987297569205,0.04470854555744199,-0.002611027180198969,0.590265987549519,0.07765829930027185,0.0028630665768835974
