policy,year,basis,cagr,mdd,terminal_nav,calmar,completed_trades,mean_trade_log_bp,win_rate,exposure_fraction,turnover_sides,terminal_filled_position,year_return,year_mdd,year_completed_trades,year_mean_trade_log_bp
F,2025,original_zero_cost,0.8675662509083046,0.14323804733417234,22.718522605701782,6.056814282620628,3482,8.90709179718152,0.3836875358989087,1.0,6966,-1,0.6548712918654269,0.09279838897474757,699,7.048508395818207
F,2025,uniform_fee_proxy,0.4133577344962415,0.18014115868816372,5.639758395992181,2.294632373336685,3482,4.906691743840186,0.3661688684663986,1.0,6966,-1,0.25119021815884957,0.11566808565685782,699,3.0481083424768696
A,2025,original_zero_cost,0.7317967457264103,0.13967499703199582,15.577027838699342,5.239282343129567,2346,11.704165620246458,0.3955669224211424,0.682394801980198,4692,0,0.4003952535129682,0.1396749970319967,480,6.83957181971184
A,2025,uniform_fee_proxy,0.4354245805531947,0.1518352118004651,6.0939922084141,2.8677444144208777,2346,7.703765566905124,0.3797953964194373,0.682394801980198,4692,0,0.15596482103374643,0.151835211800461,480,2.839171766370507
B,2025,original_zero_cost,0.8528232686076169,0.15247137847944914,21.83584388973998,5.59333349716232,3304,9.267014627349727,0.38650121065375304,0.9612383113311331,6610,-1,0.5772988933249031,0.0927983889747469,662,6.717240531922083
B,2025,uniform_fee_proxy,0.42231257861493826,0.1687978120839868,5.8207005100365645,2.501884197437423,3304,5.266614574008394,0.3698547215496368,0.9612383113311331,6610,-1,0.21032308861851803,0.12949010428526964,662,2.71684047858075
AB,2025,original_zero_cost,0.6997847939410605,0.13652032862709496,14.189585162477238,5.125865143882868,2250,11.788925583319557,0.3973333333333333,0.6612864411441144,4500,0,0.3824067601145471,0.13652032862709584,462,6.826210731988718
AB,2025,uniform_fee_proxy,0.41975404497802177,0.15608549373525038,5.768535550566778,2.689257245711774,2250,7.788525529978222,0.3831111111111111,0.6612864411441144,4500,0,0.14936262169639783,0.15608549373524794,462,2.8258106786473847
C,2025,original_zero_cost,0.4833651340550057,0.23668496114678528,7.181916215572067,2.0422300247257215,854,22.9448961791121,0.319672131147541,1.0,1710,-1,0.3001866429184684,0.13731656769256384,164,17.300877828023435
C,2025,uniform_fee_proxy,0.3852857070680556,0.2503030630609656,5.101486793004457,1.539276836473282,854,18.944496125770762,0.30679156908665106,1.0,1710,-1,0.2176238123949759,0.14976845172012165,164,13.3004777746821
AC,2025,original_zero_cost,0.4415222341831087,0.24400820280449276,6.224532328498167,1.8094565228074344,632,28.781703191964446,0.3370253164556962,0.9375171892189219,1265,0,0.2986151930919716,0.17965218743535594,114,24.743958627277177
AC,2025,uniform_fee_proxy,0.3703889458674864,0.2536241858445054,4.833027139012677,1.4603849575078314,632,24.781303138623112,0.3322784810126582,0.9375171892189219,1265,0,0.24097072985771073,0.1920284142201767,114,20.743558573935836
BC,2025,original_zero_cost,0.46903791623035257,0.2275687448978848,6.841715736541394,2.061082317964272,819,23.33292359837012,0.3199023199023199,0.9924539328932893,1640,-1,0.272438809482251,0.14203097902860862,156,16.805253344691923
BC,2025,uniform_fee_proxy,0.3757529027510094,0.23952635638525732,4.928357333611349,1.5687330130244355,819,19.332523545028785,0.3064713064713065,0.9924539328932893,1640,-1,0.19545771912508975,0.1556505978412469,156,12.804853291350593
ABC,2025,original_zero_cost,0.4304543200828323,0.24672779489103536,5.98921589263837,1.7446527265926313,616,28.9036660873878,0.33766233766233766,0.9341824807480749,1233,0,0.27829279365354126,0.17965218743535605,110,24.209827314937186
ABC,2025,uniform_fee_proxy,0.36160910732461865,0.2560116199640524,4.680176568542332,1.4124714627226436,616,24.90326603404646,0.3327922077922078,0.9341824807480749,1233,0,0.22350666594697904,0.1920284142201767,110,20.20942726159586
channel_only,2025,original_zero_cost,0.35191206090137933,0.23452304535804958,4.515878126904243,1.5005436261673573,340,44.0619114447774,0.4,0.8519836358635864,681,0,0.30338418957237767,0.15873320049775963,64,44.647933192800195
channel_only,2025,uniform_fee_proxy,0.3155794400918906,0.23971114793493387,3.940809019580588,1.316498806211341,340,40.06151139143608,0.39705882352941174,0.8519836358635864,681,0,0.2706919115540094,0.16309686886502106,64,40.647533139458865
