trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped
0,0,2,2024-01-02 09:35:00,2024-01-02 09:45:00,1.0,3,-0.008335199133035529,0.0,-0.008335199133035529,0.008335199133035529,True,False,True
1,3,11,2024-01-02 09:50:00,2024-01-02 10:30:00,-1.0,9,-0.0015851425806851958,0.0033560063042316506,-0.0018924167070763398,0.004941148884916847,False,True,False
2,12,24,2024-01-02 10:35:00,2024-01-02 13:05:00,1.0,13,-0.0020351183132715656,0.0012993611334732571,-0.0020351183132715656,0.003334479446744823,False,True,False
3,25,88,2024-01-02 13:10:00,2024-01-03 14:25:00,-1.0,64,0.016070644467546476,0.020292146593749283,-0.0007340666435879832,0.004221502126202807,False,False,False
4,89,97,2024-01-03 14:30:00,2024-01-04 09:40:00,1.0,9,-0.0036656578932756046,0.0013110654584008981,-0.0036656578932756046,0.004976723351676503,False,True,False
5,98,135,2024-01-04 09:45:00,2024-01-04 14:20:00,-1.0,38,0.008528655273686037,0.011408145788034382,0.0,0.0028794905143483453,False,False,False
6,136,150,2024-01-04 14:25:00,2024-01-05 10:05:00,1.0,15,0.0016799361192890462,0.0049828741197951165,-0.00045089784272041994,0.00330293800050607,False,False,False
7,151,157,2024-01-05 10:10:00,2024-01-05 10:40:00,-1.0,7,0.0016555690538136564,0.004180715103453296,0.0,0.0025251460496396394,False,False,False
8,158,160,2024-01-05 10:45:00,2024-01-05 10:55:00,1.0,3,-0.0019268298644331272,0.0,-0.002415224399238738,0.0019268298644331272,True,False,False
9,161,192,2024-01-05 11:00:00,2024-01-08 09:35:00,-1.0,32,0.020110288051349928,0.020110288051349928,-0.0006711532494742533,0.0,False,False,False
10,193,194,2024-01-08 09:40:00,2024-01-08 09:45:00,1.0,2,-0.006184234345442883,0.0,-0.006184234345442883,0.006184234345442883,True,False,False
