policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp,min_year_trades,eligible
e0.05_x0.15_p2_w120_c3_d0,0.05,0.15,2.0,120,3,0,384,4.231405678892094,-24.438196142578803,0.4296875,1.0684477913684303,304.65625,0.0,0.2863233813222964,0.11417345125868006,0.03818619681315605,0.25369063633351674,1624.8597806945643,106.0,True
e0.05_x0.3_p0_w240_c1_d5,0.05,0.3,0.0,240,1,5,351,1.9988033601177881,-35.8254850455042,0.4045584045584046,1.0298765092300466,317.8774928774929,0.002849002849002849,0.11721104768213329,0.009970073978116556,0.0034447318421324535,0.2799252182784634,701.5799794013436,102.0,True
e0.05_x0.3_p1_w120_c1_d5,0.05,0.3,1.0,120,1,5,406,1.3418471530117002,-34.378949467869234,0.39655172413793105,1.0229053032702755,248.55665024630542,0.0024630541871921183,0.10151705728824134,0.004563739842334158,0.0015795764863744122,0.29165497727935275,544.7899441227503,114.0,True
e0.001_x0.05_p2_w480_c1_d5,0.001,0.05,2.0,480,1,5,117,26.3153120226957,9.419357850046772,0.5042735042735043,1.3258341203136512,644.8376068376068,0.0,0.6840189425140681,0.31978409297634625,0.10095587919566973,0.12795627559264422,3078.891506655397,29.0,False
e0.001_x0.15_p0_w240_c3_d5,0.001,0.15,0.0,240,3,5,100,23.920896186271126,-23.117095242481955,0.47,1.374811504085467,433.44,0.0,0.6740440521701381,0.2450408503155368,0.07893054992650339,0.12755147298263003,2392.0896186271125,20.0,False
e0.001_x0.05_p2_w480_c1_d0,0.001,0.05,2.0,480,1,0,120,23.126074365640754,4.066926466451126,0.5,1.284261088963792,639.5583333333333,0.0,0.601556104466397,0.2800220853060862,0.08934335289392314,0.14693268639610502,2775.1289238768904,30.0,False
e0.001_x0.3_p0_w240_c3_d5,0.001,0.3,0.0,240,3,5,104,23.01317363602814,-10.301007156938159,0.49038461538461536,1.4312933590939203,321.7980769230769,0.0,0.7689940389425693,0.25173272114819567,0.08093715814768143,0.13079722447217845,2393.3700581469266,20.0,False
e0.001_x0.15_p0_w480_c3_d5,0.001,0.15,0.0,480,3,5,107,22.34658015756189,-2.1725499458524755,0.48598130841121495,1.334048042264539,466.8785046728972,0.009345794392523364,0.6396035649065219,0.24139085644931568,0.07783310039058922,0.12937074402908988,2391.084076859122,24.0,False
e0.001_x0.05_p2_w240_c3_d5,0.001,0.05,2.0,240,3,5,100,22.23296728594939,-19.154887259654195,0.42,1.3013824778442946,588.29,0.0,0.5597429923945191,0.21917625147863218,0.0711079130396104,0.13180537277561855,2223.296728594939,22.0,False
e0.001_x0.15_p0_w480_c3_d0,0.001,0.15,0.0,480,3,0,110,21.57283047028546,-5.896722395951626,0.4727272727272727,1.3146186583564852,476.9727272727273,0.00909090909090909,0.5953842604774697,0.2382414690528052,0.07688447338296678,0.12187474659889963,2373.0113517314007,24.0,False
