policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp
e0.001_x0.05_p0_w120_c1_d0,0.001,0.05,0.0,120,1,0,61,-2.1582831743834117,-5.9118639730271205,0.4918032786885246,0.9731537060575433,475.78688524590166,0.0,-0.06896344083330115,-0.024650437557158122,-0.02555165382468294,0.1822696612270558,-131.65527363738812
e0.001_x0.05_p0_w120_c1_d5,0.001,0.05,0.0,120,1,5,57,-6.042022114600838,-20.525492600810267,0.45614035087719296,0.920747065461643,485.0,0.0,-0.21307308812070896,-0.04319851649413897,-0.04476211626865012,0.17878417781604938,-344.3952605322478
e0.001_x0.05_p0_w120_c3_d0,0.001,0.05,0.0,120,3,0,38,9.85255944523691,11.053650373502588,0.5,1.1539422550714236,519.7368421052631,0.0,0.3135540695779355,0.03210866341890717,0.033317471349545213,0.10864245354945223,374.3972589190026
e0.001_x0.05_p0_w120_c3_d5,0.001,0.05,0.0,120,3,5,37,6.728813548100407,-2.18747205024572,0.4864864864864865,1.104795363096468,523.027027027027,0.0,0.21820179955126764,0.019456139241462278,0.02018396167501435,0.10864245354945246,248.96610127971508
e0.001_x0.05_p0_w240_c1_d0,0.001,0.05,0.0,240,1,0,44,-16.71819595039993,-25.490227425133405,0.36363636363636365,0.7723777843342268,554.4318181818181,0.0,-0.4989006062569027,-0.07676453426872631,-0.07949159907914616,0.18816028343221036,-735.600621817597
e0.001_x0.05_p0_w240_c1_d5,0.001,0.05,0.0,240,1,5,44,-19.05150632193875,-25.490227425133405,0.36363636363636365,0.7483309780361846,537.6590909090909,0.0,-0.5795509498199305,-0.08627411489007908,-0.08932237474451599,0.19624633781467027,-838.266278165305
e0.001_x0.05_p0_w240_c3_d0,0.001,0.05,0.0,240,3,0,34,-17.93585415429968,-39.40365005231372,0.35294117647058826,0.7429893225856276,535.6176470588235,0.0,-0.47378797018980867,-0.06324622716107997,-0.06551025099982144,0.17098321753176882,-609.8190412461892
e0.001_x0.05_p0_w240_c3_d5,0.001,0.05,0.0,240,3,5,33,-19.160573538687842,-41.80289148090544,0.36363636363636365,0.7360161307423704,544.4545454545455,0.0,-0.49172162277930603,-0.06545185741403448,-0.06779194351013362,0.17293517603851438,-632.2989267766987
e0.001_x0.05_p0_w480_c1_d0,0.001,0.05,0.0,480,1,0,46,-12.524341414857878,-16.125626401108374,0.41304347826086957,0.8402598676725117,547.4565217391304,0.0,-0.38032892717715405,-0.06397962723636397,-0.06626896484621758,0.19552381348904058,-576.1197050834623
e0.001_x0.05_p0_w480_c1_d5,0.001,0.05,0.0,480,1,5,45,-16.92645218122658,-17.615892226138243,0.4,0.7929111415098118,527.0222222222222,0.0,-0.5084175831364361,-0.08113961117899016,-0.08401491649013448,0.20708902100942173,-761.690348155196
