quarter,policy,cost_bps,total_log_return,mdd
2024Q1,baseline,0,0.4462759408164093,0.04561342481236799
2024Q2,baseline,0,0.07288558669471815,0.057340234461367386
2024Q3,baseline,0,0.22565472672957174,0.12403523251617737
2024Q4,baseline,0,0.48171271360559176,0.0922375067661116
2024Q1,constant_075,0,0.33470695561230696,0.03440892857092254
2024Q2,constant_075,0,0.05466419002103863,0.043321027882123726
2024Q3,constant_075,0,0.16924104504717885,0.09454894530555208
2024Q4,constant_075,0,0.36128453520419385,0.07000807851113862
2024Q1,constant_050,0,0.22313797040820466,0.02307289156885814
2024Q2,constant_050,0,0.03644279334735907,0.02909332810067032
2024Q3,constant_050,0,0.11282736336478587,0.064070105465253
2024Q4,constant_050,0,0.24085635680279588,0.04723429258086309
2024Q1,slow_conflict_half,0,0.4031403535982151,0.033779099547068044
2024Q2,slow_conflict_half,0,0.05145686248105946,0.059907298621693916
2024Q3,slow_conflict_half,0,0.24636952885880625,0.08156307742715872
2024Q4,slow_conflict_half,0,0.35739850776959753,0.0845381468194875
2024Q1,chop_half,0,0.4134428154626298,0.0466386858159214
2024Q2,chop_half,0,0.05355972510983174,0.06059604972248161
2024Q3,chop_half,0,0.23540052746078552,0.12403523251617747
2024Q4,chop_half,0,0.470944498759821,0.08484065212330207
2024Q1,slow_conflict_half_matched_constant,0,0.37018696864122863,0.037986257580250045
2024Q2,slow_conflict_half_matched_constant,0,0.060458769851666413,0.04780173323579122
2024Q3,slow_conflict_half_matched_constant,0,0.18718113975574974,0.10403193973546604
2024Q4,slow_conflict_half_matched_constant,0,0.39958185708907357,0.07713565483395961
2024Q1,chop_half_matched_constant,0,0.4166164172015447,0.04264756899566
2024Q2,chop_half_matched_constant,0,0.06804160658725243,0.05363353807079231
2024Q3,chop_half_matched_constant,0,0.21065770115835714,0.11629160690480483
2024Q4,chop_half_matched_constant,0,0.4496980601187187,0.08638041199490777
2024Q1,baseline,1,0.4158729004110151,0.049613841726464845
2024Q2,baseline,1,0.03748204622264735,0.06446810165243846
2024Q3,baseline,1,0.19185134627883746,0.12438558338458024
2024Q4,baseline,1,0.44530907312018553,0.09649471743013219
2024Q1,constant_075,1,0.3119052454412877,0.03744598235948438
2024Q2,constant_075,1,0.02811219857189124,0.04875144096496295
2024Q3,constant_075,1,0.14388914360703248,0.09482056024931168
2024Q4,constant_075,1,0.3339824874994208,0.07328099895485304
2024Q1,constant_050,1,0.20793721035753418,0.02512238824836452
2024Q2,constant_050,1,0.018741908288354658,0.03277083691564419
2024Q3,constant_050,1,0.09592651830844831,0.06425728208486103
2024Q4,constant_050,1,0.22265544674212465,0.04947091806616065
2024Q1,slow_conflict_half,1,0.3790884846506496,0.035034474360139976
2024Q2,slow_conflict_half,1,0.021204328438812314,0.06468998017482842
2024Q3,slow_conflict_half,1,0.21976747614361386,0.08183858783909981
2024Q4,slow_conflict_half,1,0.3271461162583562,0.08801059246180702
2024Q1,chop_half,1,0.3828400801163293,0.0505388292499998
2024Q2,chop_half,1,0.017156489699188322,0.06866455738087546
2024Q3,chop_half,1,0.201897592091315,0.12438558338458024
2024Q4,chop_half,1,0.43474132085934586,0.08611442114141342
2024Q1,slow_conflict_half_matched_constant,1,0.3449680033858983,0.04133227256487511
2024Q2,slow_conflict_half_matched_constant,1,0.03109194846881466,0.05377790348146499
2024Q3,slow_conflict_half_matched_constant,1,0.15914163233370485,0.10432919814204085
2024Q4,slow_conflict_half_matched_constant,1,0.3693854644807175,0.0807271355125138
2024Q1,chop_half_matched_constant,1,0.3882341531963003,0.04639422119719232
2024Q2,chop_half_matched_constant,1,0.0349912070548298,0.060315490796588066
2024Q3,chop_half_matched_constant,1,0.17910110499463153,0.11662156693268273
2024Q4,chop_half_matched_constant,1,0.4157140334808604,0.09038092394201079
2024Q1,baseline,3,0.3550485698674821,0.05781018069010203
2024Q2,baseline,3,-0.03334628605501938,0.09435308408219314
2024Q3,baseline,3,0.12422429455609357,0.12508607488984172
2024Q4,baseline,3,0.37247994049569216,0.10656152406113538
2024Q1,constant_075,3,0.2662915609937482,0.043678041052104044
2024Q2,constant_075,3,-0.025003736607151553,0.07163148803451574
2024Q3,constant_075,3,0.0931739286620707,0.09536366790093848
2024Q4,constant_075,3,0.27936610217407737,0.08103515181759331
2024Q1,constant_050,3,0.17753112903989676,0.029334410846094363
2024Q2,constant_050,3,-0.016665173245999414,0.04834161318947609
2024Q3,constant_050,3,0.06211975684344356,0.06463157916828338
2024Q4,constant_050,3,0.18624816516442722,0.0547800632877802
2024Q1,slow_conflict_half,3,0.3309735295126537,0.03840538159560921
2024Q2,slow_conflict_half,3,-0.03931594916171208,0.10631539235462853
2024Q3,slow_conflict_half,3,0.16655105054721744,0.08238948467399747
2024Q4,slow_conflict_half,3,0.26662697946430536,0.09491775819048094
2024Q1,chop_half,3,0.32161819110979045,0.0635240011445752
2024Q2,chop_half,3,-0.055669400980787584,0.10955808042702614
2024Q3,chop_half,3,0.13487410248217216,0.12508607488984172
2024Q4,chop_half,3,0.3623158904438381,0.10395021988324084
2024Q1,slow_conflict_half_matched_constant,3,0.2945175168463442,0.0481949825406848
2024Q2,slow_conflict_half_matched_constant,3,-0.027656315462113452,0.0789181332151795
