year,view,scenario,cost_bps,policy,alpha,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
2022,0,legacy_on_minute,0,baseline,1.0,0.7402548278485872,0.5540315552898196,0.14717708324042877,0.11499569269000673,50,1.0,1368.0,0.0,2.1033279954924757
2022,0,legacy_on_minute,0,slow_conflict_half,1.0,0.6865171201792312,0.5226655267750293,0.11089917272770364,0.0811741118766164,56,0.8385244490358127,1133.0,0.0,2.3532933300879915
2022,0,legacy_on_minute,0,constant_075,0.75,0.5151639735447027,0.4155236664673647,0.11254948343409522,0.08755007817827412,50,0.75,1026.0,0.0,2.1033279954924753
2022,0,legacy_on_minute,0,constant_050,0.5,0.31918718453773165,0.2770157776449098,0.07651588169607854,0.05925332458201413,50,0.5,684.0,0.0,2.1033279954924757
2022,0,legacy_on_minute,0,matched_constant,0.8385244490358127,0.5913281860137788,0.46456900464785045,0.12496894718911226,0.09736450480640779,50,0.8385244490358127,1147.101446280992,0.0,2.1033279954924757
2022,0,legacy_on_minute,1,baseline,1.0,0.5177331506964956,0.417217873465546,0.15549475644535443,0.12446492901676642,51,1.0,1368.0,0.13681368182427361,1.5642767989594273
2022,0,legacy_on_minute,1,slow_conflict_half,1.0,0.5058482199786437,0.4093563407519816,0.11778458012159504,0.08886060717271083,58,0.8385244490358127,1133.0,0.1133091860230479,1.8221740539072013
2022,0,legacy_on_minute,1,constant_075,0.75,0.36740662397542734,0.31291597069777843,0.11904881787768529,0.0948818995584357,51,0.75,1026.0,0.10260769576958659,1.5642901119546118
2022,0,legacy_on_minute,1,constant_050,0.5,0.23196734295328889,0.20861235741689255,0.08103011069725909,0.06429943217716226,51,0.5,684.0,0.0684034202280171,1.5643034240703584
2022,0,legacy_on_minute,1,matched_constant,0.8385244490358127,0.41885362640500723,0.3498492402181288,0.13213068383119078,0.10546976834530994,51,0.8385244490358127,1147.101446280992,0.1147197644297217,1.5642853979529303
2022,0,legacy_on_minute,3,baseline,1.0,0.15431649088729119,0.14350838601964772,0.1871757513015224,0.1743904024574103,159,1.0,1368.0,0.4105231692701722,0.5248618018191352
2022,0,legacy_on_minute,3,slow_conflict_half,1.0,0.20043361114425656,0.18268283414564623,0.1501082699521879,0.1375930601833255,143,0.8385244490358127,1133.0,0.3399826926293832,0.7948343286037208
2022,0,legacy_on_minute,3,constant_075,0.75,0.11366278663352376,0.10765439068385013,0.14394043080252156,0.13386112245376275,159,0.75,1026.0,0.30786927578351464,0.5249759147734104
2022,0,legacy_on_minute,3,constant_050,0.5,0.07442430885502092,0.07178499148752449,0.09841435453824114,0.09135129964192672,159,0.5,684.0,0.2052307861573854,0.5250900055301461
2022,0,legacy_on_minute,3,matched_constant,0.8385244490358127,0.1278937700820653,0.12035197318191818,0.15950587114042325,0.14843410320551723,159,0.8385244490358127,1147.101446280992,0.3442170314659323,0.5249355101665961
2022,0,legacy_on_minute,5,baseline,1.0,-0.1221773271455735,-0.13031067288131748,0.31926504271052614,0.30828054332725646,159,1.0,1368.0,0.6843422281711368,-0.46500360417509523
2022,0,legacy_on_minute,5,slow_conflict_half,1.0,-0.0431075020423854,-0.04406422617162292,0.26015995863047936,0.25078212745673434,159,0.8385244490358127,1133.0,0.5667297529466524,-0.1874101568283608
2022,0,legacy_on_minute,5,constant_075,0.75,-0.09305076872697014,-0.09766880477427296,0.2505345830129887,0.24148266440795746,159,0.75,1026.0,0.513192471241638,-0.46470170664900107
2022,0,legacy_on_minute,5,constant_050,0.5,-0.06299789561001372,-0.06506975086578191,0.17488762684908893,0.16825726789692266,159,0.5,684.0,0.3420855285106918,-0.4643999051698604
2022,0,legacy_on_minute,5,matched_constant,0.8385244490358127,-0.10346892248426223,-0.10922232115491577,0.27562899998080204,0.2658405453509454,159,0.8385244490358127,1147.101446280992,0.5737913258027663,-0.46480859691139104
2022,0,delay_1m,0,baseline,1.0,0.6894391340624689,0.5243966005170222,0.15810171257689326,0.1244137021086964,50,1.0,1368.0,0.0,1.9454894482490634
2022,0,delay_1m,0,slow_conflict_half,1.0,0.6401095769813613,0.4947630548366062,0.11700912896305567,0.09985824210084779,71,0.8385244490358127,1133.0,0.0,2.181116961385431
2022,0,delay_1m,0,constant_075,0.75,0.4818591033456431,0.39329745038776665,0.1210893649860055,0.09484236823936742,50,0.75,1026.0,0.0,1.9454894482490628
2022,0,delay_1m,0,constant_050,0.5,0.29978426443101275,0.2621983002585111,0.08244984473702652,0.06427231638082674,50,0.5,684.0,0.0,1.9454894482490634
2022,0,delay_1m,0,matched_constant,0.8385244490358127,0.5522715442338304,0.43971937052478927,0.13437783349793833,0.10542601487945241,50,0.8385244490358127,1147.101446280992,0.0,1.9454894482490634
2022,0,delay_1m,1,baseline,1.0,0.4734151222097252,0.38758291869274863,0.1662463727585912,0.13347351293464152,50,1.0,1368.0,0.13681368182427361,1.4208568221515987
2022,0,delay_1m,1,slow_conflict_half,1.0,0.46441210558529095,0.38145386881355847,0.12993007955731148,0.11013574989783342,84,0.8385244490358127,1133.0,0.1133091860230479,1.6630826536232506
2022,0,delay_1m,1,constant_075,0.75,0.33734961304063543,0.29068975461818036,0.12747399015790867,0.10187565977872409,50,0.75,1026.0,0.10260769576958659,1.4208697860557473
2022,0,delay_1m,1,constant_050,0.5,0.21384727310301538,0.19379488003049383,0.08689867163468215,0.06912571324083529,50,0.5,684.0,0.0684034202280171,1.4208827491031724
2022,0,delay_1m,1,matched_constant,0.8385244490358127,0.3840301008043607,0.32499960609506756,0.14140517012328063,0.11319401644506638,50,0.8385244490358127,1147.101446280992,0.1147197644297217,1.420865195663834
2022,0,delay_1m,3,baseline,1.0,0.12061028166176578,0.11387343124685026,0.21719211016461035,0.19940502083552836,159,1.0,1368.0,0.4105231692701722,0.4076457689440418
2022,0,delay_1m,3,slow_conflict_half,1.0,0.1674015274501215,0.15478036220722313,0.17795499501607204,0.15774057565767138,159,0.8385244490358127,1133.0,0.3399826926293832,0.6600527511111772
2022,0,delay_1m,3,constant_075,0.75,0.08918332751097076,0.08542817460425206,0.1677632936681349,0.15362044968411734,159,0.75,1026.0,0.30786927578351464,0.40775712021755095
