year,view,scenario,cost_bps,cell,minutes,base_gross_log,base_net_log,slow_gross_log,slow_net_log
2022,0,legacy_on_minute,0,neither,34405,0.3758805963395355,0.3758805963395355,0.3758805963395355,0.3758805963395355
2022,0,legacy_on_minute,0,chop_only,4918,0.11541890192070348,0.11541890192070348,0.11541890192070348,0.11541890192070348
2022,0,legacy_on_minute,0,slow_only,16097,0.12461437143283316,0.12461437143283316,0.06230718571641658,0.06230718571641658
2022,0,legacy_on_minute,0,both,2660,-0.061882314403252536,-0.061882314403252536,-0.030941157201626268,-0.030941157201626268
2022,0,legacy_on_minute,1,neither,34405,0.3758805963395355,0.2980728153020466,0.3758805963395355,0.30972493692782166
2022,0,legacy_on_minute,1,chop_only,4918,0.11541890192070348,0.1056179217900172,0.11541890192070348,0.10716819308781736
2022,0,legacy_on_minute,1,slow_only,16097,0.12461437143283316,0.0824101508700821,0.06230718571641658,0.028854766727514837
2022,0,legacy_on_minute,1,both,2660,-0.061882314403252536,-0.06888301449659986,-0.030941157201626268,-0.036391555991172365
2022,0,legacy_on_minute,3,neither,34405,0.3758805963395355,0.14241054831892602,0.3758805963395355,0.1773796497184567
2022,0,legacy_on_minute,3,chop_only,4918,0.11541890192070348,0.08601007839111513,0.11541890192070348,0.09066252093217711
2022,0,legacy_on_minute,3,slow_only,16097,0.12461437143283316,-0.002023623766006455,0.06230718571641658,-0.03806458948537687
2022,0,legacy_on_minute,3,both,2660,-0.061882314403252536,-0.08288861692438707,-0.030941157201626268,-0.047294747019610714
2022,0,legacy_on_minute,5,neither,34405,0.3758805963395355,-0.013314033424459082,0.3758805963395355,0.04498904483080852
2022,0,legacy_on_minute,5,chop_only,4918,0.11541890192070348,0.0663943855751103,0.11541890192070348,0.07415117280437127
2022,0,legacy_on_minute,5,slow_only,16097,0.12461437143283316,-0.08649119895329245,0.06230718571641658,-0.10500331290969399
2022,0,legacy_on_minute,5,both,2660,-0.061882314403252536,-0.09689982607867621,-0.030941157201626268,-0.05820113089710872
2022,0,delay_1m,0,neither,34405,0.3585023543926278,0.3585023543926278,0.3585023543926278,0.3585023543926278
2022,0,delay_1m,0,chop_only,4918,0.10662715476356244,0.10662715476356244,0.10662715476356244,0.10662715476356244
2022,0,delay_1m,0,slow_only,16097,0.14354513981272277,0.14354513981272277,0.07177256990636138,0.07177256990636138
2022,0,delay_1m,0,both,2660,-0.0842780484518908,-0.0842780484518908,-0.0421390242259454,-0.0421390242259454
2022,0,delay_1m,1,neither,34405,0.3585023543926278,0.2806945733551388,0.3585023543926278,0.292346694980914
2022,0,delay_1m,1,chop_only,4918,0.10662715476356244,0.09682617463287617,0.10662715476356244,0.09837644593067632
2022,0,delay_1m,1,slow_only,16097,0.14354513981272277,0.1013409192499717,0.07177256990636138,0.038320150917459654
2022,0,delay_1m,1,both,2660,-0.0842780484518908,-0.09127874854523814,-0.0421390242259454,-0.047589423015491496
2022,0,delay_1m,3,neither,34405,0.3585023543926278,0.12503230637201834,0.3585023543926278,0.16000140777154898
2022,0,delay_1m,3,chop_only,4918,0.10662715476356244,0.07721833123397409,0.10662715476356244,0.08187077377503607
2022,0,delay_1m,3,slow_only,16097,0.14354513981272277,0.016907144613883165,0.07177256990636138,-0.028599205295432056
2022,0,delay_1m,3,both,2660,-0.0842780484518908,-0.10528435097302533,-0.0421390242259454,-0.058492614043929844
2022,0,delay_1m,5,neither,34405,0.3585023543926278,-0.030692275371366845,0.3585023543926278,0.02761080288390079
2022,0,delay_1m,5,chop_only,4918,0.10662715476356244,0.05760263841796927,0.10662715476356244,0.06535942564723023
2022,0,delay_1m,5,slow_only,16097,0.14354513981272277,-0.06756043057340284,0.07177256990636138,-0.09553792871974918
2022,0,delay_1m,5,both,2660,-0.0842780484518908,-0.1192955601273145,-0.0421390242259454,-0.06939899792142784
2022,0,delay_1m_observed,0,neither,34405,0.3585023543926278,0.3585023543926278,0.3585023543926278,0.3585023543926278
2022,0,delay_1m_observed,0,chop_only,4918,0.10662715476356244,0.10662715476356244,0.10662715476356244,0.10662715476356244
2022,0,delay_1m_observed,0,slow_only,16097,0.14354513981272277,0.14354513981272277,0.07177256990636138,0.07177256990636138
2022,0,delay_1m_observed,0,both,2660,-0.0842780484518908,-0.0842780484518908,-0.0421390242259454,-0.0421390242259454
2022,0,delay_1m_observed,1,neither,34405,0.3585023543926278,0.2806945733551388,0.3585023543926278,0.292346694980914
2022,0,delay_1m_observed,1,chop_only,4918,0.10662715476356244,0.09682617463287617,0.10662715476356244,0.09837644593067632
2022,0,delay_1m_observed,1,slow_only,16097,0.14354513981272277,0.1013409192499717,0.07177256990636138,0.038320150917459654
2022,0,delay_1m_observed,1,both,2660,-0.0842780484518908,-0.09127874854523814,-0.0421390242259454,-0.047589423015491496
2022,0,delay_1m_observed,3,neither,34405,0.3585023543926278,0.12503230637201834,0.3585023543926278,0.16000140777154898
2022,0,delay_1m_observed,3,chop_only,4918,0.10662715476356244,0.07721833123397409,0.10662715476356244,0.08187077377503607
2022,0,delay_1m_observed,3,slow_only,16097,0.14354513981272277,0.016907144613883165,0.07177256990636138,-0.028599205295432056
