symbol,horizon,sampling,segment,factor,rows,events,alerts,hits,precision,recall,alert_time_share,false_positive_rate
000688.SH,5,nonoverlap,first_30min,3,5820,503,449,400,0.89086859688196,0.7952286282306164,0.07714776632302406,0.00921572315215347
000688.SH,5,nonoverlap,first_30min,4,5820,380,395,324,0.8202531645569621,0.8526315789473684,0.06786941580756013,0.013051470588235295
000688.SH,5,nonoverlap,after_30min,2,16490,916,91,52,0.5714285714285714,0.056768558951965066,0.005518496058217102,0.0025041736227045075
000688.SH,5,nonoverlap,after_30min,3,16490,226,8,3,0.375,0.01327433628318584,0.00048514251061249243,0.0003074274471224791
000688.SH,5,nonoverlap,after_30min,4,16490,80,4,1,0.25,0.0125,0.00024257125530624622,0.00018281535648994517
000688.SH,5,nonoverlap,quiet_after_30min,2,8513,759,84,49,0.5833333333333334,0.06455862977602109,0.009867261834840832,0.0045137993293783854
000688.SH,5,nonoverlap,quiet_after_30min,3,8513,215,8,3,0.375,0.013953488372093023,0.0009397392223657935,0.0006025548324897565
000688.SH,5,nonoverlap,quiet_after_30min,4,8513,77,4,1,0.25,0.012987012987012988,0.00046986961118289676,0.00035561877667140827
000688.SH,15,dense,all,2,101850,2673,832,760,0.9134615384615384,0.2843247287691732,0.008168875797741778,0.0007259747723766599
000688.SH,15,dense,all,3,101850,809,403,323,0.8014888337468983,0.3992583436341162,0.003956799214531174,0.0007917578012885859
000688.SH,15,dense,all,4,101850,383,252,168,0.6666666666666666,0.4386422976501306,0.002474226804123711,0.0008278553618417811
000688.SH,15,dense,first_decision,2,970,456,453,418,0.9227373068432672,0.9166666666666666,0.4670103092783505,0.06809338521400778
000688.SH,15,dense,first_decision,3,970,341,368,293,0.7961956521739131,0.8592375366568915,0.37938144329896906,0.1192368839427663
000688.SH,15,dense,first_decision,4,970,219,250,166,0.664,0.7579908675799086,0.25773195876288657,0.1118508655126498
000688.SH,15,dense,first_30min,2,29100,1592,819,755,0.9218559218559218,0.4742462311557789,0.028144329896907218,0.0023265958993747273
000688.SH,15,dense,first_30min,3,29100,713,403,323,0.8014888337468983,0.453015427769986,0.013848797250859107,0.0028181914256525877
000688.SH,15,dense,first_30min,4,29100,358,252,168,0.6666666666666666,0.4692737430167598,0.00865979381443299,0.0029225523623964927
000688.SH,15,dense,after_30min,2,72750,1081,13,5,0.38461538461538464,0.004625346901017576,0.00017869415807560138,0.00011162427269809821
000688.SH,15,dense,after_30min,3,72750,96,0,0,,0.0,0.0,0.0
000688.SH,15,dense,after_30min,4,72750,25,0,0,,0.0,0.0,0.0
000688.SH,15,dense,quiet_after_30min,2,33464,814,7,3,0.42857142857142855,0.0036855036855036856,0.0002091800143437724,0.0001225114854517611
000688.SH,15,dense,quiet_after_30min,3,33464,75,0,0,,0.0,0.0,0.0
000688.SH,15,dense,quiet_after_30min,4,33464,20,0,0,,0.0,0.0,0.0
000688.SH,15,nonoverlap,all,2,6790,531,453,418,0.9227373068432672,0.7871939736346516,0.06671575846833579,0.005591947595462534
000688.SH,15,nonoverlap,all,3,6790,347,368,293,0.7961956521739131,0.8443804034582133,0.05419734904270987,0.011640540121061617
000688.SH,15,nonoverlap,all,4,6790,222,250,166,0.664,0.7477477477477478,0.036818851251840944,0.012789281364190013
000688.SH,15,nonoverlap,first_decision,2,970,456,453,418,0.9227373068432672,0.9166666666666666,0.4670103092783505,0.06809338521400778
000688.SH,15,nonoverlap,first_decision,3,970,341,368,293,0.7961956521739131,0.8592375366568915,0.37938144329896906,0.1192368839427663
000688.SH,15,nonoverlap,first_decision,4,970,219,250,166,0.664,0.7579908675799086,0.25773195876288657,0.1118508655126498
000688.SH,15,nonoverlap,first_30min,2,1940,458,453,418,0.9227373068432672,0.9126637554585153,0.23350515463917526,0.023616734143049933
000688.SH,15,nonoverlap,first_30min,3,1940,341,368,293,0.7961956521739131,0.8592375366568915,0.18969072164948453,0.04690431519699812
000688.SH,15,nonoverlap,first_30min,4,1940,219,250,166,0.664,0.7579908675799086,0.12886597938144329,0.04880883207437536
000688.SH,15,nonoverlap,after_30min,2,4850,73,0,0,,0.0,0.0,0.0
000688.SH,15,nonoverlap,after_30min,3,4850,6,0,0,,0.0,0.0,0.0
000688.SH,15,nonoverlap,after_30min,4,4850,3,0,0,,0.0,0.0,0.0
000688.SH,15,nonoverlap,quiet_after_30min,2,2142,61,0,0,,0.0,0.0,0.0
000688.SH,15,nonoverlap,quiet_after_30min,3,2142,5,0,0,,0.0,0.0,0.0
000688.SH,15,nonoverlap,quiet_after_30min,4,2142,2,0,0,,0.0,0.0,0.0
000688.SH,30,dense,all,2,87300,2018,696,580,0.8333333333333334,0.2874132804757185,0.007972508591065292,0.0013601932412466875
000688.SH,30,dense,all,3,87300,505,199,128,0.6432160804020101,0.25346534653465347,0.002279495990836197,0.000818019471167694
000688.SH,30,dense,all,4,87300,129,86,38,0.4418604651162791,0.29457364341085274,0.0009851088201603667,0.0005506418418969612
000688.SH,30,dense,first_decision,2,970,370,381,317,0.8320209973753281,0.8567567567567568,0.39278350515463917,0.10666666666666667
000688.SH,30,dense,first_decision,3,970,182,196,125,0.6377551020408163,0.6868131868131868,0.2020618556701031,0.0901015228426396
000688.SH,30,dense,first_decision,4,970,61,86,38,0.4418604651162791,0.6229508196721312,0.088659793814433,0.052805280528052806
000688.SH,30,dense,first_30min,2,29100,1486,696,580,0.8333333333333334,0.39030955585464333,0.023917525773195877,0.0042007677265155354
000688.SH,30,dense,first_30min,3,29100,422,199,128,0.6432160804020101,0.3033175355450237,0.006838487972508591,0.0024757653950763653
000688.SH,30,dense,first_30min,4,29100,99,86,38,0.4418604651162791,0.3838383838383838,0.0029553264604810997,0.0016551153408503156
000688.SH,30,dense,after_30min,2,58200,532,0,0,,0.0,0.0,0.0
000688.SH,30,dense,after_30min,3,58200,83,0,0,,0.0,0.0,0.0
000688.SH,30,dense,after_30min,4,58200,30,0,0,,0.0,0.0,0.0
000688.SH,30,dense,quiet_after_30min,2,22525,328,0,0,,0.0,0.0,0.0
000688.SH,30,dense,quiet_after_30min,3,22525,43,0,0,,0.0,0.0,0.0
000688.SH,30,dense,quiet_after_30min,4,22525,12,0,0,,0.0,0.0,0.0
000688.SH,30,nonoverlap,all,2,2910,390,381,317,0.8320209973753281,0.8128205128205128,0.1309278350515464,0.025396825396825397
000688.SH,30,nonoverlap,all,3,2910,184,196,125,0.6377551020408163,0.6793478260869565,0.06735395189003436,0.026045487894350697
000688.SH,30,nonoverlap,all,4,2910,61,86,38,0.4418604651162791,0.6229508196721312,0.029553264604810996,0.016848016848016848
000688.SH,30,nonoverlap,first_decision,2,970,370,381,317,0.8320209973753281,0.8567567567567568,0.39278350515463917,0.10666666666666667
000688.SH,30,nonoverlap,first_decision,3,970,182,196,125,0.6377551020408163,0.6868131868131868,0.2020618556701031,0.0901015228426396
000688.SH,30,nonoverlap,first_decision,4,970,61,86,38,0.4418604651162791,0.6229508196721312,0.088659793814433,0.052805280528052806
000688.SH,30,nonoverlap,first_30min,2,970,370,381,317,0.8320209973753281,0.8567567567567568,0.39278350515463917,0.10666666666666667
000688.SH,30,nonoverlap,first_30min,3,970,182,196,125,0.6377551020408163,0.6868131868131868,0.2020618556701031,0.0901015228426396
000688.SH,30,nonoverlap,first_30min,4,970,61,86,38,0.4418604651162791,0.6229508196721312,0.088659793814433,0.052805280528052806
000688.SH,30,nonoverlap,after_30min,2,1940,20,0,0,,0.0,0.0,0.0
000688.SH,30,nonoverlap,after_30min,3,1940,2,0,0,,0.0,0.0,0.0
000688.SH,30,nonoverlap,after_30min,4,1940,0,0,0,,,0.0,0.0
000688.SH,30,nonoverlap,quiet_after_30min,2,634,15,0,0,,0.0,0.0,0.0
000688.SH,30,nonoverlap,quiet_after_30min,3,634,1,0,0,,0.0,0.0,0.0
000688.SH,30,nonoverlap,quiet_after_30min,4,634,0,0,0,,,0.0,0.0
