symbol,horizon,sampling,model,rows,log_sigma_rmse,median_absolute_factor_error,spearman,bucket_accuracy,balanced_accuracy,actual_high_share,high_precision,high_recall,predicted_high_time_share
000852.SH,5,dense,multiscale,111550,0.48595599343346485,1.3609921883137472,0.7127542026296676,0.6723352756611385,0.48836609161997035,0.616665172568355,0.7510063807543951,0.9085464245736964,0.746024204392649
000852.SH,5,dense,persistence,111550,0.587641614095705,1.4485406001377816,0.5945173880944298,0.6227252353204841,0.5087702853215671,0.616665172568355,0.7668602499501808,0.7831920801290904,0.6297982967279246
000852.SH,5,dense,clock_only,111550,0.5872806930568534,1.4699747744785565,0.4132497430685797,0.611358135365307,0.408468460082372,0.616665172568355,0.6689076551875411,0.8866388521420576,0.8173913043478261
000852.SH,5,nonoverlap,multiscale,22310,0.4828352853541273,1.3622279413727696,0.7117866223529532,0.674675033617212,0.48143323153574835,0.6267593007619902,0.7556151325588323,0.9070299649574484,0.7523532048408785
000852.SH,5,nonoverlap,persistence,22310,0.644474079037632,1.4660420972842079,0.5388310303715278,0.6075750784401613,0.49295078029233624,0.6267593007619902,0.7657794128255068,0.7592076092397911,0.6213805468399821
000852.SH,5,nonoverlap,clock_only,22310,0.5883984022428775,1.4726335642484287,0.4052643345232211,0.6185118780815778,0.395640917374692,0.6267593007619902,0.6686756542426645,0.9045269255524565,0.8478260869565217
000852.SH,15,dense,multiscale,101850,0.3265052993859137,1.2393489712448522,0.8006982107049385,0.7483357879234168,0.5576715918512525,0.6807363770250369,0.832871302664958,0.9186534550646878,0.7508492881688758
000852.SH,15,dense,persistence,101850,0.40729775476378155,1.289009327624985,0.7132931917642825,0.7145409916543937,0.5519744386243065,0.6807363770250369,0.8260422098416444,0.8682301357218064,0.7155031909671085
000852.SH,15,dense,clock_only,101850,0.4862454914237647,1.3653512661475984,0.40333178368236144,0.6570544918998528,0.39787870059880265,0.6807363770250369,0.722418312074087,0.8944658387780711,0.8428571428571429
000852.SH,15,nonoverlap,multiscale,6790,0.33131447958949106,1.2408289433167128,0.7949356503919628,0.7527245949926362,0.5424579421627236,0.709278350515464,0.8441233140655106,0.9096760797342193,0.7643593519882179
000852.SH,15,nonoverlap,persistence,6790,0.5557717939390844,1.3080231813842296,0.5403930896720189,0.6810014727540501,0.5320722225379718,0.709278350515464,0.8341980112408128,0.8012873754152824,0.6812960235640648
