symbol,mean_squared_log_error_difference,ci97_5_low,ci97_5_high,block_trading_days,bootstrap_replicates
000852.SH,-0.05928575050853241,-0.06419448250454864,-0.05482142994602996,5,999
000688.SH,-0.042666264298031595,-0.04702325720396721,-0.038068655128467785,5,999
