trading_day,eff_1d,fast_share_1d,slow_work_velocity_5d,threshold_work_amplitude_5d,pnl_log,year,eligible,day_index,stage
2021-01-04,0.46214283941681722,0.83202895820557354,0.66241536027800452,1.1368409123030585,0.017058540546497709,2021,True,0,0
2021-01-05,0.024255668840244531,0.9522809737471436,0.65834650993660071,1.1898083305759151,-0.0068795120539457679,2021,True,1,0
2021-01-06,0.12816535065989598,0.89742358830481173,0.68754774909178851,1.1914307738759997,-0.01337020870992538,2021,True,2,0
2021-01-07,0.35646281435838578,0.79187196773113633,0.54257146817581459,1.0494321598477747,0.00032884521114541726,2021,True,3,0
2021-01-08,0.023556928075693546,0.91742435895216423,0.38725123157653402,1.0244785310297551,-0.027623480174445731,2021,True,4,0
2021-01-11,0.10630562228118025,0.90767397024412744,0.28923181998237052,0.98863824730176675,0.011520251849980234,2021,True,5,1
2021-01-12,0.17786465976347837,0.86769516193412088,0.30732981561603712,1.0061554958129089,-0.020566350917300212,2021,True,6,1
2021-01-13,0.025042976644637303,0.91996338366844221,0.32927591941004269,1.0000839238950661,-0.019033190958305603,2021,True,7,1
2021-01-14,0.24060170980952181,0.75678639738763265,0.33560120813665878,0.79061629513929632,0.039419868796328764,2021,True,8,1
2021-01-15,0.0018029300700518759,0.88908548941229526,0.3294377391362413,0.78994517441326484,-0.0074452710796130261,2021,True,9,1
2021-01-18,0.24246376745150758,0.89311030948746473,0.33780374595712193,0.82303592889546717,-0.010691674489676966,2021,True,10,2
2021-01-19,0.32852434744195297,0.88905550744797179,0.32314842435859104,0.80545087890105072,0.015162030955309408,2021,True,11,2
2021-01-20,0.37206558172508497,0.80696010212756897,0.2857157192294722,0.78403183904527762,0.0099849975583430964,2021,True,12,2
2021-01-21,0.018535265209139833,0.87335287956249108,0.21645065917617942,0.92148212310197897,-0.00047955927095215053,2021,True,13,2
2021-01-22,0.048548861138709702,0.87444104343356521,0.21302233658478908,0.89827471412674864,0.021756433600295503,2021,True,14,2
2021-01-25,0.10459792126343023,0.82543695297248509,0.1552406795706828,0.85650384509358068,-0.0037656153039036088,2021,True,15,3
