n_bars,n_days,first_day,last_day,ann_vol,mean_abs_ret_bp,er16_median,er16_mean,er16_std,er16_high_ge06,er16_low_le02,er16_step_turnover,signed_er16_abs_median,ret_ac1,abs_ret_ac1,sign_run_mean,vr4,vr16,jump99_share,bipower_jump_share,overnight_gap_share,sign_flip_rate,er_480bars_median,er_1920bars_median,intraday_er_median,view,symbol,label,bars_per_day,er_96bars_median,er_384bars_median,er_32bars_median,er_128bars_median,er_16bars_median,er_64bars_median,er_8bars_median,er_2bars_median
354240,1476,2020-07-23,2026-08-21,0.19094120465704276,4.547720928303506,0.28275640862992113,0.31772915125204654,0.21985784094578006,0.12400063236821898,0.3627196350331993,0.08127509308243176,0.28275640862992113,0.09239947330149925,0.23792055761022707,2.321494723381255,1.164360242105182,1.2110048196956207,0.4489218758244022,0.2319012731298026,0.27801981016068594,0.42518306901010056,0.05992018164336918,0.03050200931415506,0.08418749138030211,1m_official,000852.SH,csi1000,240,,,,,,,,
354240,1476,2020-07-23,2026-08-21,0.2813074796337983,6.8046179535077,0.23815239271161454,0.2735547456409435,0.19625892591975352,0.07284091422376801,0.4276023081439993,0.08106230097182432,0.23815239271161454,0.02933874561494217,0.2552555065453937,2.080362229396126,1.0530641789749493,1.03489663123361,0.4355804820699864,0.20152867520352563,0.2760413935416508,0.47061297771554716,0.05078658477555738,0.026791167724021667,0.07087943276909958,1m_official,000688.SH,star50,240,,,,,,,,
70848,1476,2020-07-23,2026-08-21,0.2048065768923693,11.81271427765993,0.25742349053400865,0.2906444202335897,0.2036712426842561,0.09083465100519539,0.40044047887960244,0.08107914043764677,0.25742349053400865,0.029262024436185183,0.2303301917703139,2.147428120829795,1.0453929934321533,1.1200595981415074,0.37438254289287,0.1710049840434682,0.24504078611372543,0.4650933009626514,,,0.16294645280672188,5m_offset_0,000852.SH,csi1000,48,0.11735914445399742,0.05899769337762513,,,,,,
70848,1476,2020-07-23,2026-08-21,0.2864975107088798,16.112480126792462,0.24811547869833717,0.28090061229907987,0.19646892895618998,0.07620849333634515,0.4106900835780438,0.08235835718665747,0.24811547869833717,-0.004997728629833106,0.2561316927580415,2.0562363556978607,0.9873360871051633,1.0179395424503268,0.39222988738236925,0.16836707439361398,0.27136123290187414,0.4833865002964176,,,0.15294535229566258,5m_offset_0,000688.SH,star50,48,0.1094994714181207,0.05769754457964326,,,,,,
20664,1476,2020-07-23,2026-08-21,0.22344987635985594,22.98044047613299,0.2693444608283372,0.30370857368176574,0.2119946881316577,0.1084850833010461,0.38274893452150327,0.08050710032836761,0.2693444608283372,0.03875857695893033,0.17760794473999905,2.076289074278822,1.0647199401543987,1.2474343540988717,0.3368891454851696,0.1919886533367763,0.3087860056645766,0.4813183622108218,,,0.29246698628105405,15m_offset_5,000852.SH,csi1000,16,,,0.19569351972089677,0.09792738317476385,,,,
20664,1476,2020-07-23,2026-08-21,0.30493410822269823,30.36893173108348,0.26440917890415605,0.2988263157484171,0.2081360952810718,0.09908950019372337,0.3838628438589694,0.08018443620608524,0.26440917890415605,0.018898150073035067,0.217351390486562,2.071478767192049,1.023957458305497,1.1865441300385327,0.35747615145914424,0.18651050505714634,0.3318560615784675,0.48160875036298517,,,0.2877658213371979,15m_offset_5,000688.SH,star50,16,,,0.1913356061841518,0.09970051614065352,,,,
8856,1476,2020-07-23,2026-08-21,0.24804717469511595,36.60481887211933,0.2668726196578828,0.30362641361832776,0.21073360999637258,0.1084841628959276,0.38631221719457015,0.08136775473280729,0.2668726196578828,0.02265350892530399,0.14374421724558203,2.082549388523048,1.0790487427254944,1.2888371054158372,0.31600167243133115,0.2072329055284804,0.396755810140087,0.48012197876665913,,,0.4602215527933433,30m_offset_15,000852.SH,csi1000,8,,,,,0.2668726196578828,0.1358456589344281,,
8856,1476,2020-07-23,2026-08-21,0.32954036542651827,47.35719867323546,0.2679467288882723,0.29910443451430535,0.20854905262890414,0.10124434389140272,0.38676470588235295,0.08132244193119231,0.2679467288882723,0.01949634231486936,0.13708034412023956,2.0907801418439718,1.0786158561233523,1.2651048034159575,0.32148528052322245,0.24274364249160924,0.4171175264750754,0.4768466229952564,,,0.4841070744675664,30m_offset_15,000688.SH,star50,8,,,,,0.2679467288882723,0.1387488443712269,,
2952,1476,2020-07-23,2026-08-21,0.30661877858931924,68.82754952353476,0.25292756331950517,0.28336784531204956,0.19401905130760813,0.07288828337874659,0.4100817438692098,0.08065208318301803,0.25292756331950517,0.10117941550755732,0.19472697074078493,2.1330441070137383,1.211009698291356,1.188226354476286,0.23886169510396915,0.07782640275447444,0.5681302354773963,0.468135593220339,,,,60m_offset_30,000852.SH,csi1000,4,,,0.1737799465629007,,,,0.36963412133314527,
2952,1476,2020-07-23,2026-08-21,0.41076110030847207,91.38361276838089,0.25582744889185616,0.2766854276242486,0.18780656675454496,0.05653950953678474,0.40633514986376024,0.08039737211021912,0.25582744889185616,0.08135555568680529,0.2144002552187845,2.09375,1.1846785357157368,1.1498243791228007,0.24270043612117845,0.07223092597104093,0.5935451874497847,0.4766101694915254,,,,60m_offset_30,000688.SH,star50,4,,,0.1854931608950814,,,,0.35935953023422984,
