n_bars,n_days,first_day,last_day,ann_vol,mean_abs_ret_bp,er16_median,er16_mean,er16_std,er16_high_ge06,er16_low_le02,er16_step_turnover,signed_er16_abs_median,ret_ac1,abs_ret_ac1,sign_run_mean,vr4,vr16,jump99_share,bipower_jump_share,overnight_gap_share,sign_flip_rate,er_96bars_median,er_384bars_median,intraday_er_median,year,symbol,label,view
5280,110,2020-07-23,2020-12-31,0.1699622848209295,10.916980081951506,0.27322880879077016,0.30730041927407437,0.2119322764665753,0.1145516717325228,0.3751899696048632,0.07819366941943004,0.27322880879077016,0.06279689644540386,0.12199031416781009,2.18099173553719,1.116183515828494,1.3518525291052532,0.2673352975843304,0.14742381307035995,0.17149240133888244,0.458128078817734,0.1291431728365408,0.05031318630616664,0.176277367353294,2020,000852.SH,csi1000,5m_offset_0
5280,110,2020-07-23,2020-12-31,0.23461143515522667,14.565338554501203,0.2757696435933841,0.3025523997548386,0.20318428252588575,0.09308510638297872,0.37272036474164133,0.08001639475150535,0.2757696435933841,0.056014878994774565,0.17650112506876436,2.0257692307692308,1.1329167087270728,1.3645221583170035,0.29189778054185944,0.14352420476928202,0.2656382955719859,0.49109511178476695,0.1376733509281992,0.05827353550675503,0.1584128453556865,2020,000688.SH,star50,5m_offset_0
11664,243,2021-01-04,2021-12-31,0.15648445309487816,9.678241525117825,0.2780713031777436,0.30912104624354164,0.21356712060770325,0.11409684065934066,0.37311126373626374,0.08160105782474525,0.2780713031777436,0.06535075908293568,0.2737058563347718,2.1805087916199026,1.1189137396289628,1.253504384119805,0.28095620628701,0.06352663008555975,0.15094089419285825,0.45824043903275596,0.12309856044238499,0.05540799891740529,0.1881947017064203,2021,000852.SH,csi1000,5m_offset_0
11664,243,2021-01-04,2021-12-31,0.21927650186793712,13.728056044359791,0.26101419175407914,0.2898443143682455,0.19812221416018908,0.08009958791208792,0.3879635989010989,0.08291630768168366,0.26101419175407914,0.020910996975682158,0.2354677485478833,2.026641128330141,1.0360748882693158,1.1093016588865732,0.26007463092955474,0.08346961621531762,0.1343538249101283,0.49116789572972047,0.11619886128758142,0.05387758891540233,0.161317023343865,2021,000688.SH,star50,5m_offset_0
11616,242,2022-01-04,2022-12-30,0.21038029067299402,13.012626753545526,0.25161750507344116,0.28855688575059163,0.20496940030989022,0.0935344827586207,0.4072413793103448,0.08189563331392637,0.25161750507344116,0.027809934487177192,0.1855592677623932,2.1596279069767443,1.0542588539596829,1.1877441064476753,0.3058412479822657,0.13997018566450048,0.17555117436223763,0.4622868951265714,0.11013964052258599,0.0661149721571688,0.1599584509954719,2022,000852.SH,csi1000,5m_offset_0
11616,242,2022-01-04,2022-12-30,0.2538701386190617,15.723148308150073,0.2518567178529826,0.28570511289359196,0.2003435004446751,0.08577586206896552,0.40758620689655173,0.08398646436139426,0.2518567178529826,0.009002769384504623,0.18652998500562798,2.070266404434114,1.0153292322278635,1.0706735809915375,0.2836917743619734,0.1377912103301821,0.16864032738103482,0.4801963147924918,0.11068516805892156,0.05869493781619527,0.14376448614336912,2022,000688.SH,star50,5m_offset_0
11616,242,2023-01-03,2023-12-29,0.12964555351374915,8.022046990603968,0.26099194328497966,0.2884457000549626,0.1980945769233085,0.08086206896551724,0.39525862068965517,0.08139183221333214,0.26099194328497966,0.0475759634557763,0.11362827588254157,2.153946146703807,1.0629350659804166,1.0895637577127888,0.31541283841993617,0.2022435851256398,0.2660885037126919,0.462975718959876,0.12036090265641561,0.05235576266388449,0.15448337798427414,2023,000852.SH,csi1000,5m_offset_0
11616,242,2023-01-03,2023-12-29,0.18068060898997837,11.491812417407665,0.23486331108721692,0.2734260566099002,0.19698564305348013,0.07629310344827586,0.4349137931034483,0.08191547282649855,0.23486331108721692,0.0009958277324599372,0.18126813226258798,2.050700230455593,0.9922043446816528,1.0002130013093256,0.25945570992316686,0.11096995664747711,0.23888859945190533,0.48329602204236266,0.10182033193571209,0.05696297839224609,0.1572423331519446,2023,000688.SH,star50,5m_offset_0
11616,242,2024-01-02,2024-12-31,0.28509714761338195,15.435491991442742,0.2487772769902014,0.2833282917600177,0.1985824053167882,0.0803448275862069,0.41301724137931034,0.08068414885056199,0.2487772769902014,0.0012838022864687677,0.21728362340579863,2.14404432132964,0.9852268232071251,1.0518207768658587,0.45785253082190674,0.24004152787533475,0.292938915736187,0.4658171172722576,0.11849389238053926,0.06315584043508359,0.16589996417014274,2024,000852.SH,csi1000,5m_offset_0
11616,242,2024-01-02,2024-12-31,0.34824560551526723,17.388987512136428,0.24942049954272752,0.28205527821552034,0.1951328316202463,0.0746551724137931,0.4060344827586207,0.08197601863616762,0.24942049954272752,-0.019317759351087514,0.24247269902120688,2.0808625336927222,0.9547834403991062,1.0453564287566781,0.530212565984699,0.2745040255121304,0.3910162329639149,0.4773549164801102,0.10586769858307522,0.05729392508127617,0.16275309219515413,2024,000688.SH,star50,5m_offset_0
