view,label,n_er,er_median,er_mean,er_std_uncond,cv,std128_mean,std128_median,std128_p10,std128_p90,turn128_mean,std128_over_er
1m_official,csi1000,354224,0.28275640862992113,0.31772915125204654,0.21985753060825902,0.6919652469466095,0.20839321694785323,0.20732817158904845,0.16571463102541598,0.25200008958014763,0.08127460527621333,0.6558832141358667
1m_official,star50,354224,0.23815239271161454,0.2735547456409435,0.1962586488929789,0.7174382898499585,0.18565370728266192,0.18360959778023017,0.14566394022260068,0.22870135039869363,0.08105965895812621,0.6786711261311591
5m_offset_0,csi1000,70832,0.25742349053400865,0.2906444202335897,0.20366980497275886,0.7007525030381463,0.19427953162998957,0.19237872573295983,0.15527398492734087,0.23399598253161547,0.08107802973010474,0.668444044010368
5m_offset_0,star50,70832,0.24811547869833717,0.28090061229907987,0.1964675420856908,0.6994201275592391,0.1868536140601752,0.18525622886046295,0.14972858260737149,0.22765753967631167,0.08235665975979287,0.6651947552938362
15m_offset_5,csi1000,20648,0.2693444608283372,0.30370857368176574,0.2119895545290094,0.6980031941776459,0.2039417030497144,0.20416991856766398,0.16783306876216492,0.23997286295412412,0.0805402547810711,0.671504595926917
15m_offset_5,star50,20648,0.26440917890415605,0.2988263157484171,0.2081310551170028,0.6964950680321911,0.1991432557478001,0.19690873457177538,0.1608083223522585,0.2391416627947847,0.0801949603446846,0.666418067127192
30m_offset_15,csi1000,8840,0.2668726196578828,0.30362641361832776,0.21072169033743626,0.6940163335141291,0.20368470202327663,0.2045574931539583,0.1680607167273864,0.23959431101839035,0.08138232427240959,0.6708398640156439
30m_offset_15,star50,8840,0.2679467288882723,0.29910443451430535,0.20853725653439947,0.6972054990526251,0.20005537330778655,0.20094554218977764,0.16075742690030795,0.23811189314731354,0.08132821799667782,0.6688479013447005
60m_offset_30,csi1000,2936,0.25292756331950517,0.28336784531204956,0.19398600710208744,0.684573109868788,0.187587345319683,0.18722499191044967,0.158280991893583,0.21748802720157845,0.08066606863406157,0.6619923481900657
60m_offset_30,star50,2936,0.25582744889185616,0.2766854276242486,0.18777458062355348,0.6786572832399396,0.1829415463103769,0.18147792768974083,0.15485568186403856,0.21337076089711662,0.08016846124122362,0.6611896690085892
daily_noon_close_1130,csi1000,1460,0.22802112967114346,0.2674505816409762,0.1949993824372712,0.7291043498235387,0.19253375121082877,0.19117745866444616,0.17222127599262926,0.22165643758806397,0.08069998457457435,0.7198853336923557
daily_noon_close_1130,star50,1460,0.2476489546025417,0.27023802437636507,0.18257412205889645,0.6756048579034251,0.17988491127923203,0.18039868860914832,0.15422374360655203,0.20256285757036488,0.08149145200071149,0.665653590734897
