view,n_common_bars,return_corr,abs_return_corr,csi_minus_star_ann_vol
1m_official,354240,0.7642348530933786,0.730596431016475,0.1830121839195414
5m_offset_0,70848,0.7830636807176551,0.7286852063566678,0.17925280708870325
15m_offset_5,20664,0.7851543492338935,0.7267925788220433,0.18951983083415316
30m_offset_15,8856,0.782116346761424,0.7024468642055957,0.20557586939850064
60m_offset_30,2952,0.7789564907569441,0.6571092621699698,0.2579247689774304
daily_noon_close_1130,1476,0.7832857297163429,0.6568680827673403,0.1942466561530221
