view,label,er16_median,er16_high_ge06,ann_vol
5m_offset_0,csi1000,0.25742349053400865,0.09083465100519539,0.2048065768923693
5m_offset_0,star50,0.24811547869833717,0.07620849333634515,0.2864975107088798
5m_offset_1,csi1000,0.2525727764871136,0.08310253388332352,0.21062251237561105
5m_offset_1,star50,0.24594248758791898,0.07446965232763701,0.2915664600639501
5m_offset_2,csi1000,0.25326768737282607,0.08489982321744255,0.2108872238805786
5m_offset_2,star50,0.2489812902288403,0.07474955804360636,0.29075479545442096
5m_offset_3,csi1000,0.2568154742828067,0.08674130819092517,0.21078258952781062
5m_offset_3,star50,0.2505116624419723,0.0768120212139069,0.29001263641636504
5m_offset_4,csi1000,0.25956455712862214,0.08971714790807307,0.210540704887125
5m_offset_4,star50,0.25409105226224327,0.07772539776075427,0.2884380586318934
