view,year,label,er_median,std128_mean,std128_median,turn128_mean,er_std_uncond
1m_official,2020,csi1000,0.3234643918151311,0.22398465084211197,0.2243329858061704,0.08076241435262493,0.23242319266146472
1m_official,2021,csi1000,0.30797279779279774,0.2158993171006718,0.2156700769517734,0.08064728764124306,0.22771108436809173
1m_official,2022,csi1000,0.3040542117087205,0.21703276813893776,0.21703173697811554,0.08113323572621936,0.2287677462866856
1m_official,2023,csi1000,0.27605300675595934,0.20464540500364628,0.2032059055260227,0.08112849570458332,0.2138576152364949
1m_official,2024,csi1000,0.26790623486570797,0.20537611623581012,0.20319135193649066,0.08182817444133704,0.21615507174594667
1m_official,2025,csi1000,0.26453325004042727,0.20155157146833377,0.20032608948328756,0.08217028027136589,0.21116979744117986
1m_official,2026,csi1000,0.25354378366176394,0.1931847324233151,0.1925127775857761,0.08077467626670556,0.20273941769934986
1m_official,2020,star50,0.25013781819245856,0.19065520112730722,0.18966196406222366,0.07998077739970144,0.2077029143308931
1m_official,2021,star50,0.24420935433162283,0.1884608146153195,0.18654393956888074,0.0809745267650177,0.1988800046429518
1m_official,2022,star50,0.2498843917285546,0.19111333319270526,0.19145628587986557,0.08113847852281686,0.20157782889472903
1m_official,2023,star50,0.22489838104114035,0.17638871369254056,0.17528807400718233,0.08115241649985602,0.18555876008088817
1m_official,2024,star50,0.23677743601893225,0.18816444628907497,0.1845820686721276,0.08101496832019645,0.198774853709503
1m_official,2025,star50,0.2285780481197261,0.18112925342512035,0.17900529231255335,0.08152636317815633,0.18941439252845432
1m_official,2026,star50,0.24295288560815392,0.1864414248334226,0.18408163158001742,0.08098054817847147,0.19532582672054374
5m_offset_0,2020,csi1000,0.27322880879077016,0.20363516533271933,0.20360428382933551,0.07818622209092486,0.21191214516503698
5m_offset_0,2021,csi1000,0.2780713031777436,0.20333673219758608,0.20118809231859497,0.08166154982768563,0.21355795286626364
5m_offset_0,2022,csi1000,0.25161750507344116,0.1949632423311459,0.19230939580660286,0.08189382125624212,0.20496056523153056
5m_offset_0,2023,csi1000,0.26099194328497966,0.18895421741771962,0.18740169386413,0.08152961635721016,0.19808603817992976
5m_offset_0,2024,csi1000,0.2487772769902014,0.1896324678483225,0.1900674017594086,0.08069962700308418,0.19857384554587035
5m_offset_0,2025,csi1000,0.24200944115794443,0.19017958701012,0.18748607875291237,0.0812730388646454,0.19832415651742136
5m_offset_0,2026,csi1000,0.2551568661314301,0.19138160297056336,0.19118159640767715,0.08086937162088356,0.20074664003313308
5m_offset_0,2020,star50,0.2757696435933841,0.1936415291301981,0.18768596170787438,0.07997728882035962,0.20316498219029
5m_offset_0,2021,star50,0.26101419175407914,0.1894875899050057,0.18891064059055573,0.08303275723321268,0.19811370941831824
5m_offset_0,2022,star50,0.2518567178529826,0.19123976721162483,0.1894642916298088,0.08400705794544365,0.20033486476284845
5m_offset_0,2023,star50,0.23486331108721692,0.18555698972583307,0.18552681540845053,0.08199866100005765,0.19697715211000527
5m_offset_0,2024,star50,0.24942049954272752,0.18329345568488684,0.18091362264095365,0.08197400112839076,0.19512442054105447
5m_offset_0,2025,star50,0.2356480833835925,0.17881746427520512,0.17656619555577618,0.08235351087046477,0.18547079958650342
5m_offset_0,2026,star50,0.24258117307361926,0.18829348462345258,0.18725758855966881,0.08193840903481885,0.1969641317822758
